fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
adondevivir|departamentos|alquiler|Lima Centro|Lima Cercado|"Calle Teodoro Cárdenas 214
Lima Cercado, Lima"|S/ 2,600 · USD 774|2600|774||320|"80 m² tot.
3 dorm.
2 baños"|80|3|2||Solo se alquila amoblado!! Solo se alquila amoblado!! Celular: 9. 6. 1. 8. 9. 1. 5. 2. 7 / Solicitar Video por WhatsApp. Se alquila lindo Departamento de 3 Dormitorios con walking closet, y cuenta con balcón en la sala y dormitorio, de area 80m2, ubicado en piso 14 vista panoramica, departamento bien ubicado muy cerca al Hospital Rebagliati a tan solo 2 cuadras, edificio muy buscado por personal Medico, cuenta con Linda areas comunes. Dirección: teodoro cardenas 214, . imite a lince. Edificio cuenta con gas Natural. Características: - 3 Dormitorios con camas. - 2 Baños completos. - Area 80m2. - Sala con Balcón. - cuenta con lavadora. - Cocina con Reposteros altos y bajos. - Cocina y Horno empotrado. - Ubicado piso 14 vista exterior. - terma y cocina a gas natural. - Mantenimiento S/. 320 incluye agua. - Inquilino paga arbitrios. Areas comunes: - Piscina. - Gimnasio. - 2 Zonas de parrillas. - Zona de juegos para Niños. - Sala de Reuniones. Condiciones: - Contrato mínimo 12 meses. - Previa evaluación a infocorp. - Demostrar sustento de ingresos (Boletas de pago) - Garantía 2x1|https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-amoblado-de-80-m-sup2--de-3-148910435.html?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=1|2026-02-23
adondevivir|departamentos|alquiler|Lima Centro|Lima Cercado|"Republica de Venezuela al 2500
Lima Cercado, Lima"|S/ 2,399|2399||||"73 m² tot.
3 dorm.
2 baños
1 estac."|73|3|2|1|Alquiler de moderno departamento en el corazón de Cercado de Lima, ubicado en Republica de Venezuela 2575, Piso 10, Con 73 m² de superficie techada, esta propiedad ofrece 3 dormitorios, 1 dormitorio de servicio y 2 1/2 baños, ideal para su comodidad y estilo de vida. La disposición al frente garantiza luminosidad y vistas despejadas. El edificio cuenta con 2 ascensores, facilitando el acceso. Disfrute de servicios completos como agua corriente, electricidad, Internet y cable. Entre las comodidades adicionales se incluyen gimnasio, parrilla, sala de juegos, lavandería, club house, zonas verdes y una recepción 24 horas. El departamento es apto para mascotas y dispone de armarios empotrados. La cercanía a servicios públicos y la disponibilidad de un estacionamiento cubierto hacen de este departamento una opción atractiva para quienes buscan comodidad en una ubicación céntrica.|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-de-estreno-03-dorm.-148924040.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=2|2026-02-23
adondevivir|departamentos|alquiler|Lima Centro|Lima Cercado|"Avenida Tingo María 1048
Lima Cercado, Lima"|"S/ 1,900
5%"|1900||5%|220|"63 m² tot.
3 dorm.
2 baños"|63|3|2||Se alquila amplio y cómodo departamento ubicado en la Av. Tingo María, cruce con Av. Venezuela, en el Cercado de Lima límite con Breña. Zona estratégica, muy cerca de la Universidad upn, colegios, comercios y principales vías de acceso. Área: 64 m² Piso 5. Vista interna. 3 dormitorios. 2 baños (uno incorporado en el dormitorio principal) Sala – comedor. Cocina con reposteros altos y bajos. Cocina empotrada, horno, campana y terma. Gas natural. Áreas comunes del edificio: - Sala sum. Precio de alquiler: S/ 1900. Mantenimiento: S/ 220. Contrato mínimo: 1 año. Condiciones: 2 meses de garantía + 1 mes de adelanto. Ideal para familias, parejas o personas que busquen comodidad, buena ubicación y fácil acceso a todo.|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-acogedor-departamento-bien-ubicado-148785498.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=3|2026-02-23
adondevivir|departamentos|alquiler|Lima Centro|Lima Cercado|"Av. Oscar R. Benavides 1120
Lima Cercado, Lima"|S/ 1,700|1700|||100|"66 m² tot.
3 dorm.
2 baños"|66|3|2||"Alquiler | Departamento de Estreno en el Centro de Lima – Ubicación, comodidad y conectividad en un solo lugar️ Vive en el corazón de Lima, a pasos de la Plaza Dos de Mayo, en un departamento de estreno diseñado para quienes valoran la practicidad, el confort y una excelente conectividad. Ideal para familias o profesionales que desean estar cerca de todo sin renunciar a la tranquilidad y seguridad. Área: 66 m² | Piso: 17. Salida rápida al Aeropuerto Jorge Chávez y fácil acceso a transporte público, comercios, centros educativos y servicios esenciales. Características del departamento: ️ 3 habitaciones cómodas y bien iluminadas. ️ 2 baños completos. ️ Sala–comedor con vista externa, ideal para disfrutar de luz natural. ️ Cocina cerrada funcional. ️ Zona de lavandería cerrada. Áreas comunes pensadas para disfrutar en familia: ️ Parques internos. Juegos para niños. Zona de parrillas. Salón para niños. Sala de reuniones. Seguridad 24/7 para tu tranquilidad. Mantenimiento: aprox. S/ 100. Precio de alquiler: - Sin cochera: S/ 1, 700. Requisitos: - Sustento de ingresos. Una excelente oportunidad para vivir bien ubicado, con todo lo que necesitas a tu alcance. ¡Agenda tu visita y conoce tu próximo hogar!"|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-de-estreno-en-el-centro-de-148615740.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=4|2026-02-23
adondevivir|departamentos|alquiler|Lima Centro|Lima Cercado|"Av AREQUIPA 1388 - 10
Santa Beatriz, Lima Cercado"|S/ 1,600|1600|||120|"40 m² tot.
1 dorm.
1 baño"|40|1|||Alquilo mini departamento - santa beatriz- av. Arequipa cdra 13- alquilo mini departamento. piso 13. edificio de 20 pisos. 2 ascensores. area: 40 M2. sala comedor con vista A arenales. 1 dormitorio con closet. 1 baño completo incorporado. cocina abierta tipo kitchenette con reposteros altos Y bajos. lavanderia. no tiene cochera. areas comunes: piscina. sala de eventos. sala de reuniones. sala de internet. lavanderia. vigilancia 24 horas. mantenimiento 110 soles. no mascotas. no niños. alquiler: 1, 600 soles. contrato minimo 1 año. condiciones 2X1. Requisitos: no estar mal reportado en infocorp, sustento de ingresos.|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-mini-departamento-santa-beatriz-av-148864770.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=5|2026-02-23
adondevivir|departamentos|alquiler|Lima Centro|Lima Cercado|"Calle Casapalca 1674 – Condominio Amauta
Lima Cercado, Lima"|S/ 1,550|1550|||160|"73 m² tot.
2 dorm.
2 baños"|73|2|2||Vive en un condominio seguro y completo, en una ubicación estratégica a un paso de Breña y Pueblo Libre, con acceso rápido a avenidas principales, mercados, bodegas y todo lo que necesitas para tu día a día. Ubicación: Calle Casapalca 1674 – Condominio Amauta. Referencia: Cdra. 22 de Prolongación Arica, altura fábrica Azaleia. precio de alquiler: S/ 1, 550. - Edificio de 20 pisos 16 dptos. Por piso. - Departamento disponible ubicado en el Tercer piso. - Cuatro ascensores. - Áreas comunes ideales para la familia: Parque interno, juego para niños, salón de eventos, zona de parrilla y piscina. - 73M2. - Sala Comedor con balcón. - Vista al parque del condominio. - kitchenette con muebles altos y bajos, horno y campana empotrada. - Lavandería. 02 Dormitorios. - Principal con baño propio, clóset espacio para cama Queen o de 2 plazas. - Dormitorio Secundario espacio para cama de 1½ o 2 plazas. - 2 baños en toda la propiedad, baño en el cuarto principal y un baño para compartir también con ducha. - Se acepta 01 mascota de raza pequeña. **El departamento se entrega sin amoblar** servicios. - Luz independiente. - Gas independiente. - Mantenimiento mensual: S/ 160 Aprox. - Arbitrios mensuales S/ 25 soles. - 1 mes de garantía y 1 mes de adelanto. requisitos. - Sustentar ingresos (boletas, recibos por honorarios o pdt) - No estar mal reportado en Infocorp. - Contrato mínimo de 1 año|https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-moderno-departamento-en-prolongacion-arica-148799577.html?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=6|2026-02-23
adondevivir|departamentos|alquiler|Lima Centro|Lima Cercado|"Av Arequipa 1388
Santa Beatriz, Lima Cercado"|S/ 2,300 · USD 680|2300|680||195|"70 m² tot.
3 dorm.
2 baños"|70|3|2||"Alquilo lindo Departamento en Av. Arequipa – Santa Beatriz | Vista Exterior | Piso 5. no tiene cochera no se acepta mascota. Santa Beatriz, Cercado de Lima, con acceso inmediato a: Av. Arequipa, Vía Expresa y principales arterias de la ciudad. Centros de salud, comercios y servicios como starbucks. Transporte público y ciclovía. Piso: 5 torre A. Vista: Exterior. Sala comedor on salida a balcón y vista urbana muy iuminado. Dormitorios: 3 ️ uno con baño incorporado, el otro de tamaño bueno y el otro más pequeño, tipo estudio (Todos con closets) Otro baño completo para los dos dormitorios secundarios. Cocina independiente, funcional y bien distribuida️ Lavandería con terma a lado de la cocina. no tiene cochera no se acepta mascota. Renta 2300 soles dos meses de garantía por 1 de adelanto. Mantenimiento 195 soles. El cliente deberá estar bien en la central de riesgos y contar con ingresos comprobables. Visitas y consultas con Alejandro Lostaunau añ Ver datos"|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-lindo-departamento-en-av-arequipa-santa-148810117.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=7|2026-02-23
adondevivir|departamentos|alquiler|Lima Centro|Lima Cercado|"Mariano Carranza al 600
Santa Beatriz, Lima Cercado"|S/ 2,500 · USD 750|2500|750|||"77 m² tot.
2 dorm.
2 baños
1 estac."|77|2|2|1|Alquilo acogedor departamento con balcón ubicado en Mariano Carranza, cerca de la estación Metropoliano, Cerca del Circuito Mágico de las aguas, a pocas cuadras de la Av. PetitThouars y de la Av. Arequipa. Detalle: Área: 77m2 Ubicado en segundo piso con ascensor. Sala comedor con balcón y vista a calle. Cocina cerrada con muebles altos y bajos. Lavandería con lavadero y terma. 02 Dormitorios en total con clóset incorporado (01 principal con baño privado). 01 habitación adicional como para cuarto de estudio o de bebé. 01 baño principal compartido. Pasadizo con clóset para guardar ropa blanca. Incluye cochera. Vigilancia. Mantenimiento 170 aprox incl agua. Alquiler mensual: 2, 500 soles (2x1) informes Y contacto: marina Ver datos|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-santa-beatriz-cercado-de-148837581.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=8|2026-02-23
adondevivir|departamentos|alquiler|Lima Centro|Lima Cercado|"Avenida Alejandro Bertello 830
Lima Cercado, Lima"|S/ 2,900 · USD 880|2900|880||200|"73 m² tot.
2 dorm.
2 baños"|73|2|2||Departamento de estreno en alquiler, ubicado en la accesible Avenida Alejandro Bertello cdra 8, en el sexto piso de un imponente edificio con vista externa. Este departamento cuenta con un buena distribución de 73 m2, ofreciéndote todo el espacio que necesitas para disfrutar y sentirte cómodo. Consta de Sala-comedor con balcón, cocina tipo americana con lavandería, sala tv perfecto para transformar en tu oficina en casa si lo deseas. También cuenta con dos habitaciones donde la principal tiene W/Closet y baño; un segundo baño para la habitacion 2 y la visita. Finalmente contarte que el edificio cuenta con personal 24/7, y con áreas sociales de zona de parrilla y piscina en la parte superior para que ademas disfrutes de la vista del distrito.|https://www.adondevivir.com/propiedades/clasificado/alclapin-de-estreno!-alquiler-departamento-en-bertello-lima-148969196.html?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=9|2026-02-23
adondevivir|departamentos|alquiler|Lima Centro|Lima Cercado|"Calle Teodoro Cárdenas número 214
Santa Beatriz, Lima Cercado"|S/ 2,300 · USD 685|2300|685||250|"68 m² tot.
3 dorm.
2 baños"|68|3|2||Se alquila lindo Departamento de 3 Dormitorios, con un área 68 m2, ubicado en piso 19, vista panorámica, buena ubicación, a tan solo 2 cdras del Hospital Rebagliati, lindas areas comunes; piscina, zona de parrilla, juego de niños, sum, cerca a Centro Comercial, supermercados, bancos, colegios, universidades, clínicas, farmacias, restaurantes. Dirección: Teodoro Cárdenas 214, limite a lince. Edificio cuenta con gas Natural Cálidda. Características: - 3 Dormitorios. - 2 Baños completos - puertas de ducha con vidrio templado. - Área 68m2. - Sala - Comedor. - Cocina empotrada. - Zona de lavandería con calentador a Gas Cálidda. - Ubicado piso 19. - Cocina a gas Cálidda. - Mantenimiento S/ 250 incluye servicio de agua. - Inquilino pagan arbitrios. reestreno: Pisos porcelanato nuevos, paredes empastadas y pintadas, cortinas nuevas, totalmente renovado. A pasos de: Kentucky Fried Chicken, Starbucks, Mifarma, Serpost, entre otros. Areas comunes: - Piscina. - Gimnasio. - 2 Zonas de parrillas. - Zona de juegos para Niños. - Sala de Reuniones. Condiciones: - Contrato mínimo 1 año. - Garantía 2 meses x 1 mes adelantado. *sin cochera*|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-dpto.-de-68-m-sup2-.-en-condominio-149001706.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=10|2026-02-23
