fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
adondevivir|departamentos|alquiler|Lima Moderna|Jesus Maria|"Avenida General Santa Cruz 673
Jesús María, Lima"|S/ 3,200 · USD 952|3200|952||300|"83 m² tot.
3 dorm.
2 baños
1 estac."|83|3|2|1|Vive en uno de los distritos más céntricos y mejor conectados de Lima. Este amplio y funcional departamento de 83. 4 m² es ideal para familias o profesionales que buscan comodidad, buena distribución y excelentes áreas comunes. El departamento cuenta con: 3 dormitorios, el principal con baño incorporado. Baño completo para las habitaciones secundarias. Baño de visitas. Sala y comedor bien iluminados. Balcón con vista agradable. Cocina funcional cerrada. Lavandería independiente. 1 cochera de 15 m² incluida. El edificio ofrece áreas comunes modernas pensadas para tu estilo de vida: Área de coworking. Zona de parrillas. Gimnasio equipado. Sala para reuniones sociales y eventos. Espacios ideales para trabajar, entrenar y compartir sin salir de casa. Ubicación estratégica- Ubicado en Jesús María, con rápido acceso a avenidas principales como Brasil, Salaverry y San Felipe. A pocos minutos de: Centros comerciales (Real Plaza Salaverry, tiendas y supermercados) Colegios y universidades. Restaurantes, cafés y servicios. Hospitales y clínicas. Fácil conexión al Metropolitano y transporte público. Una excelente opción para quienes buscan calidad de vida, conectividad y seguridad en una de las zonas más demandadas de Lima. Contáctanos para más información y agenda tu visita.|https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-en-jesus-maria-moderno-148869353.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=1|2026-03-18
adondevivir|departamentos|alquiler|Lima Moderna|Jesus Maria|"Avenida San Felipe 11440
Jesús María, Lima"|S/ 2,000|2000|||200|"50 m² tot.
1 dorm.
1 baño
1 estac."|50|1||1|Se alquila mini departamento super iluminado de 50m2 en cuarto piso mas 1 estacionamiento ubicados en la av San Feilpe 1140, Jesús María. Sin mascotas, (ninguna excepción) Distribución: - 1 dormitorio amplio. - 1 espacio para una oficina. - Cocina americana y lavandería. Contrato mínimo 1 año, 2 meses de garantía mas 1 renta adelantada, mantenimiento S/200 incluye el servicio del agua. Edificio de 4 años de antigüedad, no areas comunes, acceso por Avenida San Felipe. Informes y citas al Ver datos Jose Palomino.|https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-lindo-mini-dpto-con-1-estac-en-av-san-145305842.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=2|2026-03-18
adondevivir|departamentos|alquiler|Lima Moderna|Jesus Maria|"Av San Felipe 209 Piso 17 Vista Lateral Avenida, Amoblado y Cochera
Jesús María, Lima"|S/ 2,300 · USD 660|2300|660|||"40 m² tot.
1 dorm.
1 baño
1 estac."|40|1||1|Vive en la mejor zona de Jesús Maria. Depa amoblado y equipado con cochera en alquiler! Disponible para mudarse a partir del 1ero de abril, se puede agendar visitas desde ahora. Departamento en Av. San Felipe cuadra 2. Disfruta de una ubicación privilegiada en la zona más conectada y tranquila de Jesús María. Este moderno departamento, ideal para parejas o persona sola, combina confort, diseño y una vista panorámica espectacular desde el piso 17. Características principales: Área: 40 m²Piso 17 con balcón en sala y vista panorámica1 dormitorio, sala–comedor iluminada, kitchenette modernaBaño completo y con buenos acabados, se ubica fuera del dormitorio ideal tanto para el uso diario como para tus visitas. Cuarto de lavadoCochera techada incluida en el precioSolo 4 años de antigüedad, en excelente estadoPrecio de alquiler en soles 2, 300, precio en dólares es referencial. Áreas comunes que ofrecen comodidad y estilo de vida: zona de parrillas, gimnasio, sala sum, zona infantil, estacionamiento de bicis, sala de adultos. Ubicación inmejorable: Cerca de universidades, centros comerciales, parques y avenidas principales. Una zona segura, conectada. Mantenimiento 220 soles aprox incluye agua. Se alquila amoblado y equipado con todo lo que se ve en fotos ( menos refrigeradora ni lavaseca, solo 1 tv) Contáctanos y agenda tu visita hoy. ¡No dejes pasar esta oportunidad! Mascotas se evaluara cada caso. Condiciones: 2 meses de garantía x 1 de adelantoBuen filtro en infocorp, sustentos de ingresos solicitados.|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-en-jesus-maria-1-dorm-con-149247766.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=3|2026-03-18
adondevivir|departamentos|alquiler|Lima Moderna|Jesus Maria|"Av. San Felipe 1140
Jesús María, Lima"|S/ 2,500 · USD 741|2500|741||260|"51 m² tot.
2 dorm.
1 baño"|51|2|||Solicitar Video al WhatsApp. Se alquila departamento amoblado moderno de 51m2 en piso 15, de 2 dormitorios, en el Distrito de Jesús María, en una zona segura y tranquila, edificio con lindas areas comunes, muy cerca al cc Real Plaza Salaverry, Universidades, Hospitales, Colegios, rodeado de áreas verdes, con todo lo que necesitas para hacer tus días más prácticos y dedicar tu tiempo libre en lo que más desees. Vive cerca del hospital Rebagliati a tan solo unos pasos del canal 2. Ubicación: Av. San Felipe cuadra 11. Características: - 2 Dormitorios. - 1 Baño completo. - Sala Comedor. - Área 51m2. - Área de lavanderia. - Mantenimiento S/. 260 incluye agua. - Terma electrica ( cocina a electrica) Areas Comunes. - Sala de reuniones. - Zona de Parrilla. Contrato por 1 año minimo. no tener mala calificacion. 2 meses de garantia 1 mes de adelanto|https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-amoblado-de-2-dorm.-area-de-51-149139786.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=4|2026-03-18
adondevivir|departamentos|alquiler|Lima Moderna|Jesus Maria|"Jirón Ramón Dagnino 276
Jesús María, Lima"|S/ 2,900|2900|||350|"89 m² tot.
3 dorm.
2 baños"|89|3|2||"Moderno y bien distribuido departamento en excelente zona de Jesús María, ubicado en edificio residencial de baja densidad, con ambientes amplios, buena iluminación natural y vista exterior. ** ubicación: Jr. Ramón Dagnino 276 Jesús María. ** precio: S/ 2, 900 (Incluye Cochera) -Edificio de 15 pisos | 5 departamentos por piso. -Departamento disponible en piso 09. -Edificio con vigilancia 24h. -Áreas comunes en el edificio: gym, Zona de parrillas, Sala sum. Descripción: - Área: 89 m² ️- Sala comedor amplia con balcón con vista exterior. - Cocina espaciosa con mueblería empotrada, barra de granito, cocina, horno y campana empotrada. - Lavandería ventilada con terma. - 2 baños. - 3 dormitorios con closet. Cuarto Principal con baño. servicios: - Luz independiente. - Gas natural. - Se permite 1 mascota pequeña. - Mantenimiento aprox. S/ 350 variable según consumo de agua. - Arbitrios mensuales S/60 soles. - 2 mes de garantía y 1 mes de adelanto. requisitos: - Sustentar ingresos (boletas, recibos por honorarios o pdt) - No estar mal reportado en Infocorp. - Contrato mínimo de 1 año. **Solicita mayor información al +Ver datos – Ver datos**"|https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-dpto.-89-m-sup2--espacioso-con-cochera-148922971.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=5|2026-03-18
adondevivir|departamentos|alquiler|Lima Moderna|Jesus Maria|"Jirón Pablo Bermudez
Jesús María, Lima"|S/ 7,200 · USD 2,120|7200|2120|||"95 m² tot.
4 dorm.
4 baños"|95|4|4||Alquiler dúplex en jesus maria, la misma que se encuentra completamente remodelada, manteniendo una estructura e infraestructura de estreno, con amplia iluminación en todos los ambientes. Ubicada a unos pasos del Ministerio de Trabajo, Av. Arenales y Av. Salaverry, cerca de todo tipo de entidades bancarias, comerciales, cerca de Essalud, se encuentra dentro de un hermoso condominio. Primer nivel: - Hall de ingreso. - Sala amplia con techo alto. - Segundo ambiente amplio con techo alto y mamparas de pared a pared. - Baño de visita completo. - Cocina estilo americano con muebles altos y bajos. - Medio baño de visita. - Lavadero para lavandería. - Amplio patio bien iluminado. - Motor y bomba de agua. - Techado: 81. 50 m2 – área ocupada: 100. 72m2. segundo nivel: - Hermosa escalera. - Hall amplio como sala de estar. - 2 dormitorios amplios e iluminados con closet. - 1 dormitorio con baño propio completo. - 1 baño completo para las habitaciones. - Techado: 93. 26 m2 – área ocupada: 116. 90m2. tercer nivel: - Habitación amplia e iluminada con baño completo. - Lavandería con lavadero y zona para lavadora. - Pasadizo amplio. - Techado: 22. 77 m2 – área ocupada: 46. 31m2. cuarto nivel: - 4 habitaciones, construido en Drywall. - 2 centro de lavados. - Amplia terraza. - Techado: 85. 67 m2 – área ocupada: 100. 72m2. otros: - Área de terreno ocupada: 449. 60 m2. - Área techada: 205. 36 m2. - Área de terreno: 95. 25 m2. visita previa cita|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-duplex-en-jesus-maria-149204040.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=6|2026-03-18
adondevivir|departamentos|alquiler|Lima Moderna|Jesus Maria|"Inca Ripac 225
Jesús María, Lima"|S/ 2,400 · USD 694|2400|694||300|"61 m² tot.
2 dorm.
2 baños"|61|2|2||"2 dormitorios | 2 baños | Vista interna | No incluye cocheraCaracterísticas del departamento (piso 11): - Sala Comedor con vista interna- Cocina abierta - Dormitorio principal con closet y baño incorporado (Cama King) - Dormitorio secundario con closet (Cama Queen) - Baño completo secundarioCaracterísticas del edificio: - Ubicado en piso 11- Amplia zona de parrillas- El edificio cuenta con sala de reuniones y zona de niños- 3 ascensores- 21 pisos en total- Opción de alquilar cochera en el mismo edificioCaracterísticas de la zona: - Ubicado en cruce de Av. San Felipe y Calle Inca Ripac- A pocos pasos de la Universidad del Pacífico y upc- A 5 minutos de Real Plaza Salaverry- Fácil acceso a Av Salaverry y Av Brasil"|https://www.adondevivir.com/propiedades/clasificado/alclapin-venta-departamento-ideal-para-inversion-a-pasos-de-la-149254383.html?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=7|2026-03-18
adondevivir|departamentos|alquiler|Lima Moderna|Jesus Maria|"Avenida Salaverry
Jesús María, Lima"|S/ 2,850 · USD 852|2850|852||330|"79 m² tot.
2 dorm.
2 baños
1 estac."|79|2|2|1|Excelente departamento Amoblado y Equipado, de 01 Dormitorio completo y 01 estudio o dormitorio, el departamento mide 79m2. At. Con una excelente vista, tiene sala, comedor, terraza, 2 baños completo, cocina equipada, lavanderia equipada, terma a gas, el edificio cuenta con area comun, el edifico se encuentra cerca a todo Universidades como Pacifico, upc, utp, y Centro Comercial Real Plaza Salaverry, se Alquila de esta forma Sin cochera en S/. 2, 850 y con cochera S/.. 3, 100 llamar al Ver datos|https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-dpto-2-dorm.-amoblado-cerca-a-upc-u.-pacifico-65888031.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=8|2026-03-18
adondevivir|departamentos|alquiler|Lima Moderna|Jesus Maria|"Daniel Olaechea, Jesús María
Jesús María, Lima"|S/ 2,184 · USD 650|2184|650||250|"43 m² tot.
1 dorm.
1 baño
1 estac."|43|1||1|Departamento amoblado de un dormitorio de estreno en alquiler en Jesús María. Moderno y muy bien iluminado. Idealmente ubicado, a un par de cuadras del centro comercial Real Plaza Salaverry, de la Universidad del Pacífico, de la upc campus de San Isidro, de la Cámara de Comercio de Lima, etc. Piso laminado en todo el departamento. Consta de: - Sala - comedor, - Cocina equipada, - Dormitorio, - Baño completo con ducha, - Área de lavandería con lavasecadora. El departamento se alquila con un estacionamiento y depósitos. Cuota de mantenimiento del edificio: 250. 00 Soles mensuales. Edificio muy seguro, con servicio de portería las 24 horas del día.|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-amoblado-de-1dormitorio-en-jesus-149181742.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=9|2026-03-18
adondevivir|departamentos|alquiler|Lima Moderna|Jesus Maria|"Avenida San Felipe 1081
Jesús María, Lima"|S/ 3,100|3100|||300|"90 m² tot.
3 dorm.
2 baños
1 estac."|90|3|2|1|Se alquila moderno departamento de 90 m² ubicado en la exclusiva zona de San Felipe, en Jesús María, con una vista espectacular que te permitirá disfrutar cada amanecer y atardecer desde la comodidad de tu hogar. Este inmueble se encuentra en una de las zonas más seguras y céntricas de Lima, a pocos pasos del Hospital Rebagliati, Real Plaza Salaverry, el Círculo Militar, el Colegio Sophiano y Canal Latina, lo que te brinda una excelente conexión con todo lo que necesitas para tu día a día. Vive rodeado de áreas verdes, comercios, centros educativos y servicios, en un entorno tranquilo y familiar. No pierdas la oportunidad de invertir en una propiedad que combina ubicación, comodidad y valorización garantizada. Confía en re/max capital, líderes en bienes raíces, y permítenos acompañarte en cada paso para hacer realidad tu próxima inversión o nuevo hogar. *Contáctate con Julissa Arana 9. 9. 6. 6. 1. 7. 8. 4. 3* - Área de 90. 05m2. - 18vo Piso. - 01 Cochera. - 01 Depósito. Características del departamento: - 02 Amplias habitaciones. - 01 habitación pequeña (cama de 1 plaza o escritorio) - 02 Baños completos. - Cocina semi cerrada moderna. - Área de lavandería independiente. - Ambientes luminosos y bien distribuidos} - Impecablemente cuidado, con acabados modernos. - Zona coworking, zona para niños, zona parrillas y zona zen jacuzzi. Precio De Alquiler: S/. 3, 100. 00. Mantenimiento S/. 300. 00. ¡Todo lo que necesitas para vivir de la mejor manera! No pierdas la oportunidad. Contáctanos ahora para más información y agendar una visita. *Contáctate con Julissa Arana 9. 9. 6. 6. 1. 7. 8. 4. 3*|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-depa-en-san-felipe-jesus-maria-90-149054990.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=10|2026-03-18
