fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
adondevivir|departamentos|alquiler|Lima Norte|Carabayllo|"Avenida Condorcanqui 1582
Carabayllo, Lima"|S/ 680|680|||50|"60 m² tot.
2 dorm.
1 baño"|60|2|||Departamento de estreno, excelente ubicación. Vive la experiencia de estrenar tu hogar en este moderno departamento, que ha sido diseñado aprovechando cada espacio con comodidad y funcionalidad. 2 dormitorios, uno de ellos con vista exterior y un baño completo. Sala comedor muy iluminada con vista a calle, cocina tipo kitchenette, ideal para un estilo de vida practico y moderno. Ubicación privilegiada, en avenida principal, con rápido acceso a distintos comercios, restaurantes y entidades financieras, facilitando tu dia a dia.|https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-estreno!-alquiler-vista-calle-2-dorm.-148744547.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=1|2026-03-18
adondevivir|departamentos|alquiler|Lima Norte|Carabayllo|"Héroes de la Paz
Carabayllo, Lima"|S/ 1,200|1200||||"113 m² tot.
3 dorm.
1 baño"|113|3|||"Alquiler Segundo Piso – 113 m² frente a Colegio Juan Pablo Peregrino | Residencial Lucyana – Carabayllo. Se alquila amplio espacio de 113 m² en segundo piso, ubicado frente al Colegio Juan Pablo Peregrino, en la zona residencial de Lucyana. Distribución: * Sala – comedor amplio con balcón. * 3 ambientes grandes (habitaciones / oficinas / consultorios) * Cocina espaciosa. * 1 baño. Ubicación estratégica cerca de la Avenida Universitaria, cerca a Mass, Boticas, Gimnasio. Con transporte permanente, paraderos cercanos y acceso al Metropolitano de Lima. La zona cuenta con mercados, bodegas, restaurantes, colegios e institutos, generando buen flujo de personas. Ideal para: * Vivienda. * Centro educativo o terapias de aprendizaje. * Consultorio psicológico o nutricional. * Cosmiatría / estética. * Home studio o negocio de servicios. Condiciones: * Abono de 2 meses de garantía + 1 mes de adelanto. * Contrato a un año. * Costo 1250 soles. Gran potencial comercial por estar en zona comercial frente a colegio."|https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-113-m-sup2--con-3-dorm.-en-alquiler-en-149260917.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=2|2026-03-18
adondevivir|departamentos|alquiler|Lima Norte|Carabayllo|"MZ. 43 LOTE 23 URB. TORREBLANCA II ETAPA
Manuel Scorza, Carabayllo"|S/ 500 · USD 22,256|500|22256|||"33 m² tot.
2 dorm.
1 baño"|33|2|||Segundo Piso – Dpto A – 33. 17 m² – S/75, 000. “Tu Primer Depa Desde S/75, 000 en Torreblanca” “Precio Perfecto: 33 m² Inteligentes en el Segundo Piso” “La Mejor Entrada al Mercado Inmobiliario: S/75, 000”|https://www.adondevivir.com/propiedades/clasificado/veclapin--oportunidad-torreblanca-ii-ex-techo-propio-o-doral-148344288.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=3|2026-03-18
adondevivir|departamentos|alquiler|Lima Norte|Carabayllo|"Av, Condorcanqui
Carabayllo, Lima"|S/ 750 · USD 203|750|203|||"76 m² tot.
2 dorm.
1 baño"|76|2|||Excelente oportunidad de alquiler en Carabayllo, Hermoso departamento de 76 m², con una impresionante vista panorámica de la Avenida Condorcanqui. Área: 76 M2Ubicado en el 3er piso con ingreso independiente (sin ascensor) 2 habitaciones - (ingresan camas de 2 plazas) CocinaLavandería con instalación con lavadora1 baño completoSala y comedor. Espacio para oficina, hall. Luz natural en todo el departamento. No se paga mantenimientoLuz independienteGas cálidaA tan solo 2 cuadras de la estación Metropolitano (troncal), cerca a la Av. Universitaria, Av. Chimpu Ocllo, colegio Innova School, Mercados, enace, Parques y másPrecio de alquiler. S/750. 00Modalidad 2x1No estar reportados en Infocorpsc. rp1R. U. C Ver datos|https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-en-carabayllo-146492447.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=4|2026-03-18
adondevivir|departamentos|alquiler|Lima Norte|Carabayllo|"Calle las Araucarias
Carabayllo, Lima"|S/ 700 · USD 180|700|180|||"90 m² tot.
3 dorm.
2 baños"|90|3|2||¡Tu Nuevo Hogar en San Antonio De Carabayllo te Está Esperando! ¡No te pierdas esta increíble oportunidad de alquilar un departamento que lo tiene todo! Ubicado estratégicamente en Santa Antonio de Carabayllo este encantador hogar ofrece la combinación perfecta de tranquilidad y seguridad. Imagina despertarte cada mañana en un entorno rodeado de parques y colegios. Descripción: -Área Construida: 89. 90m2 -Antigüedad: estreno - 3 dormitorios habitación principal con baño- 2 baños -Cocina: americana -Sala / Comedor -Lavadero -Balcón Beneficios para Ti y tu Familia: Seguridad y tranquilidad para tus seres queridosRodeado de parques para ejercitarse y pasar momentos familiares inolvidablesDepartamentos de estreno con diseño moderno y listos para habitarClima ideal y calido todos los dias del año. Ubicación: -Calle las Araucarias 283 a 3 cuadras de la Av. Las Palmeras-A 8 minutos del Ovalo de Puente Piedra -Urbanización segura rodeado de parques, colegios como Innova School, Saco Oliveros y de fácil acceso transporte público y privado. gw-fw -rp2¡Haz de Este Departamento tu Nuevo Hogar! ¡No dejes pasar esta oportunidad única de vivir en un lugar que se adapta a tu estilo de vida universitario o familiar! Contáctanos ahora para más detalles y asegura tu departamento en San Antonio de Carabayllo. Contactame: 9. 5. 8. 9. 2. 6. 0. 5. 2. - Gean Pierre Wilson R. U. C Ver datos|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-san-antonio-de-carabayllo-144552077.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=5|2026-03-18
adondevivir|departamentos|alquiler|Lima Norte|Carabayllo|"Calle Perales al 100
Carabayllo, Lima"|S/ 850 · USD 252|850|252|||"55 m² tot.
3 dorm.
1 baño"|55|3|||Alquilo departamento 850 soles incluido mantenimiento*? estreno? *condominio club - valle grande carabayllo”? ubicado a 5 min de tottus, plaza vea, promart del ovalo puente piedra. Universidades, colegios y más. cuenta con: - 3 dormitorios- sala, comedor, cocina- lavanderia- intercomunicador- medidor de luz independiente- 01 baño- piso 1-áreas comunes: -? Piscina? -? Hobby- Sala de reuniones-? Zona de Juegos para niños- seguridad? 24 horas-? Condominio Privadoprecio del alquiler 850 soles incluido mantenimiento. Acceso a las áreas comunes: como piscina, juego para niños, sala de reuniones. no esperes mas agenda tu visitar. U. C Ver datos|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-carabayllo-en-1er-piso-148749149.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=6|2026-03-18
adondevivir|departamentos|alquiler|Lima Norte|Carabayllo|"Av. Chillón Trapiche & Av.u
Carabayllo, Lima"|S/ 650 · USD 193|650|193|||"55 m² tot.
2 dorm.
1 baño"|55|2|||En el mejor clima del cono norte para vivir! Vivir en la Urb. Santo Domingo, Carabayllo, se percibe como una experiencia mixta: es un lugar con áreas verdes, parques bien cuidados y un ambiente que busca ser más tranquilo, ideal para familias, con acceso a servicios básicos y transporte (cerca al Metropolitano, Av Universitaria, Av Trapiche, cerca av Panamericana Norte y Av Tupac Amaru fácil acceso de salidas para los cono Norte y Sur), rodeado de casas y departamentos modernos y potencial, rodeado de parques Y todo comercio, bancos, universidades, colegios, supermercados, clínicas, centro comerciales, Mall, mercado grandes etc etccaracteriticas02 Habitaciones01 bañoCocina con gas caliddalavanderíasala comedor con vista externa, ubicado en el 3er piso dpto bla calle se encuentra enrejado con vigilante 24/7modalidad de pago: 2X1 (2 de garantía y uno de renta) precio de alquiler650 nuevos soles* condiciones: - Mostrar sustento de Ingresos- Mostar sus antecedentes penales- No mascotas- No extranjero- No estar reportado en Infocorpagendamos visita con un día de anticipación! R. U. C Ver datos|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-dpto-urb-santo-domingo-148574941.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=7|2026-03-18
adondevivir|departamentos|alquiler|Lima Norte|Carabayllo|"Av. Chillón Trapiche & Av.u
Carabayllo, Lima"|S/ 550 · USD 163|550|163|||"45 m² tot.
2 dorm.
1 baño"|45|2|||En el mejor clima del cono norte para vivir! Vivir en la Urb. Santo Domingo, Carabayllo, se percibe como una experiencia mixta: es un lugar con áreas verdes, parques bien cuidados y un ambiente que busca ser más tranquilo, ideal para familias, con acceso a servicios básicos y transporte (cerca al Metropolitano, Av Universitaria, Av Trapiche, cerca av Panamericana Norte y Av Tupac Amaru fácil acceso de salidas para los cono Norte y Sur), rodeado de casas y departamentos modernos y potencial, rodeado de parques Y todo comercio, bancos, universidades, colegios, supermercados, clínicas, centro comerciales, Mall, mercado grandes etc etccaracteriticas02 Habitaciones01 bañoCocina con gas caliddalavanderíasala comedor con vista externa, ubicado en el 3er piso dpto ala calle se encuentra enrejado con vigilante 24/7modalidad de pago: 2X1 (2 de garantía y uno de renta) precio de alquiler550 nuevos soles* condiciones: - Mostrar sustento de Ingresos- Mostar sus antecedentes penales- No mascotas- No extranjero- No estar reportado en Infocorpagendamos visita con un día de anticipación! R. U. C Ver datos|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-en-la-mejor-zona-del-cono-norte-148586792.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=8|2026-03-18
adondevivir|departamentos|alquiler|Lima Norte|Carabayllo|"Valle Grande Condominio Club
Carabayllo, Lima"|S/ 1,350 · USD 402|1350|402|||"50 m² tot.
3 dorm.
1 baño"|50|3|||Torre gcondominio Valle Grande CarabaylloEtapa 1Se alquila un lindo departamento ubicado dentro de Condominio Valle Grande en Carabayllo, a unos minutos del Ovalo de Puente PiedraPiso 5 con excelente vista a la piscina? Sin ascensorEscaleras amplias para subirEl departamento se alquila amobladoDescripciónSala comedorCocina con repostería alta y baja - lavanderia3 habitacionesEl departamento cuenta conCocina de 4 hornillas marca MabeLavadoraFreidora de aireFrigiderLicuadoraMenajeUna cama completa de plaza y mediaUn colchón de 2 plazasMesita en la habitaciónMesita de centro en salaZapatera con espejoMueble cómoda pequeñaTelevisor de 55 pulgadasMueble completo de sala donde esta ubicado el televisorEquipo de sonidoMuebles de cuero modularEl Condominio cuenta conVigilancia permanente Una linda piscinaGimnasioJuego para niñosMinimarketServicios de luz independientePago de mantenimientoS/110 incluye aguaEn Exclusiva6 mesesAntigüedad 5 añosPrecioS/1, 3501x1R. U. C Ver datos|https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-de-50-m-sup2--en-estreno-149224459.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=9|2026-03-18
adondevivir|departamentos|alquiler|Lima Norte|Carabayllo|"Av. Condorcanqui
Carabayllo, Lima"|S/ 800 · USD 217|800|217|||"76 m² tot.
2 dorm.
1 baño"|76|2|||Excelente oportunidad de alquiler en Carabayllo, Hermoso departamento de 76 m², con una impresionante vista panorámica de la Avenida Condorcanqui. Área: 76 M2Ubicado en el 2do piso con ingreso independiente2 habitaciones - La Principal con closet de madera (ingresan camas de 2 plazas) Cocina implementada con muebles de madera altos y bajoLavandería con instalación con lavadora1 baño completoSala y comedor. Espacio para oficina, hall. Aceptan mascotas. Luz natural en todo el departamento. No se paga mantenimientoLuz y agua independienteA tan solo 2 cuadras de la estación Metropolitano (troncal), cerca a la Av. Universitaria, Av. Chimpu Ocllo, colegio Innova School, Mercados, parques y másPrecio de alquiler. S/8002x1R. U. C Ver datos|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-en-carabayllo-confortable-departamento-de-76-147385231.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=10|2026-03-18
