fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
adondevivir|departamentos|alquiler|Lima Sur|Chorrillos|"Calle Othon Gastañeta - Esquina CON Malecon Costa SUR al 100
Chorrillos, Lima"|S/ 2,450|2450|||180|"45 m² tot.
1 dorm.
1 baño"|45|1|||"Departamento nuevo en alquiler – vista al mar | chorrillos límite con barranco Moderno departamento nuevo de 45 m², ubicado en una de las zonas más privilegiadas de Chorrillos, límite con Barranco, en la calle Otho Gastañeda, esquina con el Malecón Costa Sur. Vista al mar Edificio contemporáneoExcelente iluminación naturalCaracterísticas del departamento: Área: 45 m²Departamento nuevoVista directa al marDistribución funcional y modernaÁreas comunes del edificio: - Piscina- Gimnasio- Zona de parrillas- Sala de juegos- Zona de lavandería- Estacionamiento para bicicletasUbicación estratégica, cerca de Barranco, malecón, áreas verdes, restaurantes y con fácil acceso a vías principales. Ideal para quienes buscan comodidad, estilo y una vista privilegiada al mar. Agenda tu visita y vive frente al mar."|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-una-habitacion-vista-al-mar-esquina-en-148819930.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=1|2026-02-01
adondevivir|departamentos|alquiler|Lima Sur|Chorrillos|"DARIO TORRES
Costa Sur, Chorrillos"|S/ 1,800 · USD 550|1800|550||350|"40 m² tot.
1 dorm.
1 baño
1 estac."|40|1||1|Depa smart en Alquiler en zona exclusiva. (malecon de chorrillos) Ubicación Privilegiada. descripción: Departamento de estreno smart en una de las zonas más privilegiadas de la ciudad, malecon de chorrillos. características generales: Área Total: 40 m² N° de Piso: 5. N° Habitaciones: 1 habitaciones. N° Baños: 1 baños completo. Renta Mensual: S/. 1800. 00. Estacionamiento: S/. 200. 00. en la zona: inmejorable ubicacion en el malecon!! Zona privilegiada con controles de acceso y avenidas principales como Av. Pedro de Osma, Circuito de Playas y Av. Grau. Rodeado de cafés, restaurantes, parques, supermercados y la Plaza de Barranco. Zona segura, tranquila y super residencial. extras: - Seguridad 24/7. - Area de Parrilla. - Gimnasio. - Zoom. - Edificio seguro y de pocos vecinos. excelente oportunidad!! Depa nuevo de estreno!|https://www.adondevivir.com/propiedades/clasificado/alclapin-depa-smart-de-estreno-en-zona-exclusiva-148399067.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=2|2026-02-01
adondevivir|departamentos|alquiler|Lima Sur|Chorrillos|"Avenida Los Faisanes 212
La Campiña, Chorrillos"|S/ 1,700 · USD 510|1700|510|||"55 m² tot.
2 dorm.
2 baños
1 estac."|55|2|2|1|"Flat de estreno | Vista externa con balcón | Gas natural Cálidda | Rooftop con zona de parrilla. Vive a pasos de Universidad Privada del Norte, cc Real Plaza y colegio Innova Schools, con salida rápida a Panamericana Sur. Departamento de estreno, con estacionamiento y depósito, con vista externa a Avenida Guardia Peruana y excelente luz natural. Edificio moderno con buenos acabados, seguridad 24/7 y rooftop con áreas comunes. 55 m² | 2 dormitorios | 2 baños | 1 estacionamiento | 1 depósito | Mantenimiento aprox. S/ 200. Distribución del inmueble: - Sala comedor bien iluminada, con balcón con vista externa a Avenida Guardia Peruana. - Cocina americana con barra de granito y muebles bajos. - Gas natural Cálidda. - Lavandería integrada, con terma y espacio para lavaseca (Cálidda). - Espacio para escritorio. - Dormitorio principal (2 plazas), closet empotrado y baño completo. - Baño de visita completo con buenos acabados, comparte la habitación secundaria. - Dormitorio secundario (1. 5 plazas) con closet empotrado. - Incluye rollers en el dormitorio principal y en la sala comedor. - Buena iluminación y ventilación natural en todos los ambientes. Áreas comunes: - Rooftop con area de bbq. - Tablero de Ajedrez gigante. - Sala Multi Usos. - Sala de coworking. - Pet zone. - Lavandería. - Kids Park. - Estacionamiento de bicicletas. - Seguridad 24/7. Entorno cercano: - A una cuadra de upn sede Chorrillos, a dos cuadras de colegio Innova Schools. - Rápida conexión a Panamericana Sur y Costa Verde. - Cerca de cc Real Plaza Guardia Civil. Características adicionales: - Edificio desarrollado por Avenir Grupo Inmobiliario. - 12 pisos | 2 Torres | 3 dptos. Por piso por torre. - 2 ascensores, 1 por cada torre. - Incluye estacionamiento y depósito. - Mantenimiento aproximadamente S/ 200."|https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-estreno-en-los-faisanes-chorrillos-148628154.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=3|2026-02-01
adondevivir|departamentos|alquiler|Lima Sur|Chorrillos|"CALLE OTHON GASTAÑETA
Chorrillos, Lima"|"S/ 2,108 · USD 620
7%"|2108|620|7%||"38 m² tot.
1 dorm.
1 baño"|38|1|||Loft monoambiente amoblado y equipado, ubicado en el piso 14, con espectacular vista al mar. Ambiente integrado de sala-comedor y dormitorio, cocina abierta, baño completo y balcón. Excelente iluminación natural. Ideal para persona sola o pareja, también perfecto para inversión por su alta demanda de alquiler. -Precio: us$ 620. -Área: 39 m² -Piso: 14. -Vista: Vista al mar. Ubicación: Calle Othón Gastañeta - Chorrillos xx. Edificio Arise – Dpto. 1403. Distribución: -Ambiente integrado (sala-comedor-dormitorio) -Cocina abierta. -1 baño completo. -Balcón con vista al mar. Características: -Amoblado y equipado. -Vista al mar. -Piso 14. -Edificio de estreno. Areas comunes: -Piscina. -Gym. -bbq. -Coworking|https://www.adondevivir.com/propiedades/clasificado/alclapin-loft-en-alquiler-edificio-arise-chorrillos-148508509.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=4|2026-02-01
adondevivir|departamentos|alquiler|Lima Sur|Chorrillos|"Lisandro de la Puente 249 – Dpto. 302 Urb. Santa Leonor | Chorrillos
Santa Leonor, Chorrillos"|S/ 1,900|1900|||140|"60 m² tot.
2 dorm.
2 baños"|60|2|2||"Lisandro de la Puente 249 – Dpto. 302. Urb. Santa Leonor | Chorrillos. Departamento funcional, bien ubicado y en una zona segura y cerrada, ideal para quienes buscan comodidad y conectividad sin pagar de más. Negocio redondo. ⸻ Características del departamento. - Área: 60 m² - 2 habitaciones. - 2 baños completos. - Sala. - Comedor. - Cocina. - Lavandería. - 3er piso con ascensor. - 5 años de antigüedad. ⸻ Estacionamiento. - No cuenta con cochera. - Zona totalmente cerrada, con rejas y seguridad. - Se puede estacionar tranquilamente en la calle. ⸻ Ubicación estratégica. - Entre Paseo de la República y Av. Huaylas. - A media cuadra de parque. - Muy cerca de: - Plaza Lima Sur. - Metro de Huaylas. - Tottus. - Makro. - Comercios, bancos y transporte. Conectividad total. Acá el tiempo se ahorra y la calidad de vida se nota. ⸻ Condiciones. - Alquiler: S/ 1, 900. - Mantenimiento: S/ 140"|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-santa-leonor-chorrillos-148718272.html?n_src=Listado&n_pills=Frente+a+parque&n_pg=1&n_pos=5|2026-02-01
adondevivir|departamentos|alquiler|Lima Sur|Chorrillos|"Los Alarifes, Chorrillos
Chorrillos, Lima"|S/ 1,600 · USD 430|1600|430|||"70 m² tot.
2 dorm.
1 baño"|70|2|||Alquilo departamento de 2 dormitorios en piso 3 con vista a la calle. S/ 1, 600. Tiene ascensor. El departamento cuenta con 1 baño completo. Muebles altos y bajos de cocina, terma. No cuenta con estacionamiento pero existen muchísimos espacios libres al frente. Muy cerca a paraderos de bus y a la escuela militar. Mantenimiento incluye agua. Gas Calidda y electricidad se pagan aparte según recibo. solicita el video de la propiedad|https://www.adondevivir.com/propiedades/clasificado/alclapin-2-dorm.-70-m-sup2--matellini-143076532.html?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=6|2026-02-01
adondevivir|departamentos|alquiler|Lima Sur|Chorrillos|"Avenida Los Faisanes 222
La Campiña, Chorrillos"|S/ 1,500|1500|||200|"55 m² tot.
2 dorm.
2 baños"|55|2|2||Departamento en alquiler ubicado en La Campiña, ideal para quienes buscan comodidad y seguridad. Este inmueble de 55 m² ofrece 2 recámaras y 2 baños, perfecto para una pequeña familia o profesionales. El departamento cuenta con un hall de ingreso que da la bienvenida a un espacio bien distribuido. La propiedad tiene sala, comedor y cocina integrada. En cuanto a seguridad, el departamento ofrece guardianía/seguridad privada, control de accesos y video vigilancia, brindando tranquilidad a sus residentes. Además, cuenta con servicios básicos (agua/luz) y desagüe. El edificio también incluye parque interno y sistema contra incendios con detectores de humo. La Campiña es una zona residencial tranquila con acceso a diversos servicios. Encontrarás supermercados, farmacias y centros de salud cercanos. La zona cuenta con buenas opciones de transporte público, facilitando el acceso a otras áreas de la ciudad. No dejes pasar esta oportunidad, para mayor informacion al 9. 9. 9. 2. 7. 0. 9. 1. 8.|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-2-dorm.-la-campina-chorrillos-148826670.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=7|2026-02-01
adondevivir|departamentos|alquiler|Lima Sur|Chorrillos|"bajada agua dulce
Chorrillos, Lima"|S/ 3,528 · USD 980|3528|980||590|"155 m² tot.
2 dorm.
2 baños
2 estac."|155|2|2|2|Calle bajada de agua dulce cdra. 1, dpto 5 - chorrillos. A. O. 155m2. Flat, remodelado. Antigüedad: 5 años de uso. Sala comedor grande con balcón, cocina cerrada con comedor de diario, 2 dormitorios: principal con 2 walking closets y baño. Escritorio. Segundo baño y baño de visita. Sala de estar. Lavandería, cuarto y baño de servicio. Gas Natural. 2 cocheras paralelas. Se alquila sin deposito. Se vende con 1 deposito. Mantenimiento: S/. 590 soles aprox. Precio de alquiler: us$ 980 (linea blanca) * También, esta disponible en venta por 239, 000usd|https://www.adondevivir.com/propiedades/clasificado/alclapin-chorrillos:-alquilo-flat-linea-blanca-155-m-sup2--145634735.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=8|2026-02-01
adondevivir|departamentos|alquiler|Lima Sur|Chorrillos|"Malecón Grau 207
Chorrillos, Lima"|S/ 1,600|1600||||"38 m² tot.
1 dorm.
1 baño"|38|1|||{[deg803]} Malecón Grau 207, Chorrillos. ¡Vive con estilo, comodidad y en una ubicación privilegiada! Este moderno departamento te ofrece todo lo que necesitas para disfrutar de una excelente calidad de vida, en un edificio con áreas comunes exclusivas y seguridad las 24 horas. ⸻ ️ Características del Departamento: - 1 habitación con excelente iluminación natural. - 1 baño completo. - Sala-comedor acogedora y bien iluminada. - Cocina moderna con gas natural, equipada con: - Encimera. - Campana extractora. - Terma a gas. - Área de lavandería integrada. - Espacios de almacenamiento bien distribuidos. - Incluye luminarias instaladas y rollers en todas las ventanas. ⸻ Áreas Comunes del Edificio: Piscina. Coworking. Parrilla. Sala sum (eventos) Lobby elegante con vigilancia 24/7. ⸻ Ubicación Estratégica: Ubicado en Malecón Grau 207, Chorrillos. Rodeado de todo lo que necesitas: ️ Centros comerciales. Clínicas y hospitales. Universidades. Restaurantes y cafés. Supermercados. Fácil acceso a vías principales. ⸻ Condiciones del Alquiler: - 2 meses de garantía + 1 mes de adelanto. - Contrato mínimo de 1 año. No dejes pasar esta oportunidad de vivir con estilo, en un espacio moderno y con excelente ubicación. ¡Contáctanos para agendar tu visita! Malecón Grau 207, Chorrillos. Metraje: 38. 79m² Precio: S/. 1600. Mantenimiento: S/. ¿Acepta mascotas?: no. Piso del departamento: 8. Total de pisos del edificio: 12. Áreas comunes: Sala de reuniones, Parrilla, Piscina, Coworking, Lobby. Cochera: No. Cocheras para visitas: No. Estado: No amoblado. Condiciones: 2 meses de garantía, 01 de adelanto a contrato mínimo de 1 año. Disponibilidad: Inmediata.|https://www.adondevivir.com/propiedades/clasificado/alclapin-moderno-y-luminoso-departamento-de-estreno-en-alquiler-148728429.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=9|2026-02-01
adondevivir|departamentos|alquiler|Lima Sur|Chorrillos|"Parque Marqués
Chorrillos, Lima"|S/ 900|900||||"40 m² tot.
1 dorm.
1 baño
1 estac."|40|1||1|Solicita información en el 9. 3. 3. 1. 6. 3. 3. 3. 1 – Katia Delgado Diseñado para estudiantes, jóvenes o parejas que quieren su primer hogar con estilo Con 40? m² bien distribuidos en el 5to piso de un edificio de 5 pisos (no ascensor) ofrece comodidad, funcionalidad y un estilo innovador. • Cocina abierta con reposteros altos y bajos, integrada a una cálida sala-comedor. • Una amplia habitación (cama 02 plazas) con un pequeño clóset • 1 baño completo (duchas con vidrio pavonado) • Contómetro independiente de luz y agua. • Pisos cerámicos en todo el departamento. • Lavandería compartida. El edificio se ubica en la Urb. Marqués de Corpac, camino al Club Cultural Lima, a solo 15 minutos de la Av. Alameda Sur y a 25 minutos de la upc campus Villa. Zona tranquila, segura y con parque al lado. ¡Perfecta para desconectarte del caos sin alejarte de todo! • ¡Sin pago de mantenimiento! • No se aceptan mascotas. • 02 garantías y 01 adelanto Y si deseas un estacionamiento, los tenemos con S/100 adicionales ¡Agenda tu visita hoy mismo! Coordina una visita en el 9. 3. 3. 1. 6. 3. 3. 3. 1|https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-minidepartamento-de-estreno-en-chorrillos-147985975.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=10|2026-02-01
