fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
urbania|departamentos|alquiler|Lima Centro|Lima Cercado|"Republica de Venezuela al 2500
Lima Cercado, Lima"|S/ 2,300|2300||||"73 m² tot.
3 dorm.
2 baños
1 estac."|73|3|2|1|Alquiler de moderno departamento en el corazón de Cercado de Lima, ubicado en Republica de Venezuela 2575, Piso 10, Con 73 m² de superficie techada, esta propiedad ofrece 3 dormitorios, 1 dormitorio de servicio y 2 1/2 baños, ideal para su comodidad y estilo de vida. La disposición al frente garantiza luminosidad y vistas despejadas. El edificio cuenta con 2 ascensores, facilitando el acceso. Disfrute de servicios completos como agua corriente, electricidad, Internet y cable. Entre las comodidades adicionales se incluyen gimnasio, parrilla, sala de juegos, lavandería, club house, zonas verdes y una recepción 24 horas. El departamento es apto para mascotas y dispone de armarios empotrados. La cercanía a servicios públicos y la disponibilidad de un estacionamiento cubierto hacen de este departamento una opción atractiva para quienes buscan comodidad en una ubicación céntrica.|https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-lima-cercado-lima-3-dormitorios-148924030?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=1|2026-03-18
urbania|departamentos|alquiler|Lima Centro|Lima Cercado|"Jirón Enrrique Barrón Santa Beatriz Cercado de Lima
Santa Beatriz, Lima Cercado"|S/ 2,500 · USD 676|2500|676||340|"95 m² tot.
3 dorm.
2 baños"|95|3|2||Piso 10 con ascensor Dúplex, en Santa Beatriz, Jirón Enrrique Barrón cuadra 11, a una cuadra de av. Petit Thouars cuadra 11, Cercado de Lima, edificio multi Familiar Moderno Smart, con Vigilancia 24/7. Área 95 metros total, área construida 80 metros, terraza 15 metros Piso N°10, 3 dormitorios, dos con closet, 2 Baños, sala al Estilo americano con muebles altos y bajos, cocina empotrada y campana extractora, hall, Terraza libre. No hay estacionamiento. Proyectum|https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-santa-beatriz-lima-cercado-3-dormitorios-149272874?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=2|2026-03-18
urbania|departamentos|alquiler|Lima Centro|Lima Cercado|"Av. Alejandro Bertello
Lima Cercado, Lima"|S/ 2,200|2200||||"70 m² tot.
3 dorm.
2 baños
1 estac."|70|3|2|1|"Departamento acogedor y bien distribuido, edificio pequeño de 3 pisos seguro y tranquilo, ideal para quienes buscan un piso bajo con buena distribución y excelente precio en el Cercado de Lima. ** ubicacion: Av. Bertello 765 - Piso 3 Cercado de Lima. ** precio de alquiler: S/2, 200 (Incluye Cochera) Edificio de 3 pisos | 1 departamento por piso. Departamento ubicado en piso 03 con escaleras. descripcion: - Área: 70 m² ️- Sala / comedor. Un centro de entretenimiento y tv. Sofá tipo L. Una mesa de vidrio y cuatro sillas. - Cocina equipada separada de la sala con muebles altos y bajos. Refrigerador. Microondas. Cocina 4 hornillas con horno a gas. - 02 baños completos con ducha. ️- 03 Dormitorios. *Dormitorio 01: 1 cama individual y ropero incluido. 1 escritorio. Se entrega con cortinas. *Dormitorio 02: 1 cama individual y ropero incluido. 1 escritorio. Se entrega con cortinas. *Dormitorio 03: 1 cama individual y ropero incluido. 1 escritorio. Se entrega con cortinas. servicios: - La renta incluye: - Luz | Agua | Internet | Cable | Cochera. - Se permite 1 mascota (Únicamente Gato) - 2 meses de garantía y 1 mes de adelanto. requisitos: - Sustentar ingresos (boletas, recibos por honorarios o pdt) - No estar mal reportado en Infocorp. - Contrato mínimo de 1 año. ** Solicita mayor información al + Ver datos – Ver datos **"|https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-lima-cercado-lima-3-dormitorios-148980135?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=3|2026-03-18
urbania|departamentos|alquiler|Lima Centro|Lima Cercado|"Pje.2
Lima Cercado, Lima"|S/ 1,500 · USD 441|1500|441||100|"60 m² tot.
2 dorm.
2 baños"|60|2|2||"A media cuadra de la av Dueñas y Jirón Pimentel - 4 departamentos disponibles (Piso 1, 2, 3, 4) 60 m2 | 2 hab. | 2 baños | cocina cerrada | 1er pisoSe aceptan mascotas Distribución- 2 habitaciones (2 plazas) - Cocina cerrada- Lavandería- 2 baños completosCaracterísticas- 1 er piso- Pisos de mayolica- therma electrica- sistema de automatización y control inteligente de vivienda (luces) - Camaras de vigilancia- Pet friendly- Estacionamiento para bicimotoCondiciones- 2 x1 - Mantenimiento s/100 soles"|https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-lima-cercado-lima-2-dormitorios-149296880?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=4|2026-03-18
urbania|departamentos|alquiler|Lima Centro|Lima Cercado|"Jr. José Gálvez 1264
Santa Beatriz, Lima Cercado"|S/ 2,200|2200|||250|"60 m² tot.
2 dorm.
2 baños"|60|2|2||Departamento en alquiler en Santa Beatriz, ideal para quienes buscan comodidad y accesibilidad. Este inmueble de 60 m² ofrece 2 recámaras, perfecto para familias pequeñas o parejas. Cuenta con 2 baños, área de lavandería y un balcón para disfrutar del aire libre. Ubicado en el piso 4 de un edificio de 20 pisos con 2 ascensores, este departamento proporciona fácil acceso y movilidad. El edificio ofrece amenidades como gimnasio, piscina, salón de juegos infantiles y sala de entretenimiento, además de un parque interno para el disfrute de los residentes. La seguridad está garantizada con guardianía y control de accesos. El área de bbq y la parrilla son perfectas para reuniones sociales. Santa Beatriz es una zona céntrica y bien comunicada, con fácil acceso a servicios básicos como agua y luz. El entorno ofrece cercanía a diversos comercios, restaurantes y centros de entretenimiento, facilitando el día a día de sus habitantes. Además, la zona cuenta con servicios de salud y seguridad privada, brindando tranquilidad a sus residentes.|https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-santa-beatriz-lima-cercado-2-dormitorios-149226121?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=5|2026-03-18
urbania|departamentos|alquiler|Lima Centro|Lima Cercado|"Ca. Sosa Pelaes 1578
Los Jardines De Tingo Maria, Lima Cercado"|S/ 1,300|1300||||"70 m² tot.
2 dorm.
1 baño"|70|2|||¡Alquila el departamento de tus sueños en el cercado de Lima! Este espectacular apartamento de 70 metros cuadrados ofrece el espacio perfecto para ti y tu familia. Con dos acogedoras habitaciones, una amplia sala de estar, un comedor para compartir momentos memorables, una cocina funcional, una zona de lavandería conveniente y un baño completo, este lugar lo tiene todo. Ubicado estratégicamente en el primer piso, este departamento brinda comodidad y accesibilidad. Su proximidad a parques te invita a disfrutar del aire fresco y la naturaleza, mientras que su cercanía a centros comerciales te ofrece la conveniencia de tener todo lo que necesitas a tu alcance. No dejes pasar esta oportunidad de vivir en un lugar que se adapta a tu estilo de vida. ¡Contáctanos ahora para reservar tu visita y descubrir cómo este departamento puede convertirse en tu nuevo hogar en el vibrante cercado de Lima!|https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-los-jardines-de-tingo-maria-lima-cercado-2-dormitorios-145565508?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=6|2026-03-18
urbania|departamentos|alquiler|Lima Centro|Lima Cercado|"Condominio Alameda Central
Lima Cercado, Lima"|S/ 1,900 · USD 558|1900|558||120|"65 m² tot.
3 dorm.
2 baños
1 estac."|65|3|2|1|Hermoso departamento en el nuevo condominio alameda central. excelente ubicación: Ubicado en el Nuevo Condominio Ecoamigable Alameda Central. Av. Oscar R. Benavides 1194 Lima (Ex Av. Colonial) A 1 cuadra del Ministerio de Transportes y Comunicaciones y el ino (Instituto Nacional de Oftalmología) A 1 cuadra de Supermercado Tottus. A 3 cuadras de Maestro Home Center de Naciones Unidas. A 8 cuadras de Plaza Dos de Mayo. Cerca a: Colegios, Universidad Privada del Norte, Makro, Metro, Tottus Parques, Metro, Bancos, Clínicas, restaurantes, peluquerías, bodegas, minimarkets, panaderías, entre otros. A 5 minutos del Centro Histórico de Lima. A 5 minutos del Hospital Loyza y Hospital San Bartolomé. A 5 min de Plaza de la Bandera. A 5 minutos del Real Plaza centro cívico. A 8 minutos del Mall Plaza Bellavista. Descripcion. Área 65 m2, amplio departamento con excelente iluminación natural en todos los ambientes. Piso 1. El Departamento cuenta con sistema de ventanas termo acústicas de vidrio templado. Hermosa Sala – Comedor. La Cocina con conexión a gas natural, con muebles altos y bajos en melamine, tablero de cuarzo, cocina tipo encimera y campana con lavaplatos de acero inoxidable. Área de lavandería cuenta con secadora a gas. 1 Dormitorio Principal cuenta baño completo. 2 Dormitorios secundarios. 1 Baño completo secundario. Terma a gas natural. Griferías de agua fría y caliente. Intercomunicador. Areas comunes: El condominio cuenta con: Seguridad 24/7. Parque privado. Área de parrillas. Salón de Recepción para eventos. Loza deportiva. servicios: Luz, Agua y Gas según consumo con medidores independientes. Mantenimiento S/. 120 soles. Arbitrios. precio alquiler: S/. 1, 900 soles. (1 mes de adelanto y 2 de garantía). Contrato mínimo de 1 año. Requistos: * No encontrarse en centrales de riesgo. * Sustento de ingresos personales o familiares superiores a S/. 5, 000 soles. * no mascotas. * no mascotas. contacto: cristhian roncal. celular: 981*293*854|https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-lima-cercado-lima-3-dormitorios-149160276?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=7|2026-03-18
urbania|departamentos|alquiler|Lima Centro|Lima Cercado|"Manuel Castañeda 237
Santa Beatriz, Lima Cercado"|S/ 2,000|2000|||250|"81 m² tot.
2 dorm.
2 baños
1 estac."|81|2|2|1|Ubicado cerca a la Av Prolongación Iquitos, Juan Pardo de Zela, Arequipa, etc. el flat tiene 2 habitaciones + estudio + 2 baños + una cochera. Ubicado en Piso 4, con vista interior y un Área Total de 81mt2, distribuidos de la siguiente manera: distribución. • Sala Comedor amplia bien iluminada. • 1 habitaciones: - principal: Amplia con clóset e ingresa cama Queen. - 1 secundarias: Amplias e ingresan camas de 1 ½ y clóset incorporado. 1 Cuarto de estudio. • 2 baños completos: - El de la habitación principal y en el pasadizo con. acabados modernos. • Cocina estilo Americana moderna con muebles bajos. • Área de lavado. se acepta una mascota pequeña. 1de garantia Y 1 de adelanto. El flat cuenta además con: • Ascensor • Seguridad 24/7 • Area de Recepcion• Area de Reuniones. cochera 200 adicional. Mantenimiento: 250 soles. **|https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-santa-beatriz-lima-cercado-2-dormitorios-143505678?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=8|2026-03-18
urbania|departamentos|alquiler|Lima Centro|Lima Cercado|"Crepusculo
Asincoop, Lima Cercado"|S/ 2,300|2300|||180|"86 m² tot.
3 dorm.
2 baños"|86|3|2||Hermoso Departamento de 86 m2, Alt. De la 16 de Mariano Cornejo cruce con Av. Alborada. *disponible A partir del 5 de abril* * Excelente zona, muy tránquila y residencial, cerca de colegios, universidades (como San Marcos, Pontificia Universidad Católica del Perú), hospitales (Santa Rosa), clínicas (Stella Maris, Peruano Japonés), restaurantes, mercados, supermercados, centro comercial (Plaza San Miguel). * Edificio de 5 pisos, el depa se ubica en el 2do piso con Ascensor, vista exterior verde (parque). El depa tiene 8 años de antigüedad. No cuenta con cochera, pero en el retiro exterior del edificio se puede estacionar, por lo que el tema de aparcar el vehículo quedaría resuelto. * Acogedor y amplio departamento en inpecables condiciones con techos altos y pisos de porcelanato, cuenta con dos balcones, el balcón principal con vista al parque y mamparas de vidrio templado, *Distribución: 86 m2. - Espaciosa sala y comedor con balcón vista a la calle, con baño de visita, techos altos y piso de porcelanato. - Cocina con muebles altos y bajos casi nuevos. Tablero de granito, cuenta con instalación de gas natural, área de lavandería con balcón con vista al interior, terma eléctrica. - Cuenta con 3 habitaciones amplias todas con closet y cajonería. El dormitorio principal cuenta con baño conmpleto, incorporado y vista a calle. Las otras 2 habitaciones comparten 1 baño completo. Hay un 3er baño de visita al costado de la sala comedor. Video del Departamento: *https: //www. youtube. com/shorts/2uqhaioYlMs? feature=share* *disponibilidad inmediata* Condiciones 2 x 1. Presentar sustentos de ingresos y personales. Contacto Telefono o Whatsapp: Maria Rosa *0991*552*623* + Evelyn: *0930*680*309* *limitarse corredores* *trato directo con propietaria*|https://urbania.pe/inmueble/clasificado/alclappa-alquiler-de-departamento-en-asincoop-lima-cercado-3-dormitorios-145417908?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=9|2026-03-18
urbania|departamentos|alquiler|Lima Centro|Lima Cercado|"Calle Casapalca 1674 – Condominio Amauta
Lima Cercado, Lima"|S/ 1,550|1550|||160|"73 m² tot.
2 dorm.
2 baños"|73|2|2||Vive en un condominio seguro y completo, en una ubicación estratégica a un paso de Breña y Pueblo Libre, con acceso rápido a avenidas principales, mercados, bodegas y todo lo que necesitas para tu día a día. Ubicación: Calle Casapalca 1674 – Condominio Amauta. Referencia: Cdra. 22 de Prolongación Arica, altura fábrica Azaleia. precio de alquiler: S/ 1, 550. - Edificio de 20 pisos 16 dptos. Por piso. - Departamento disponible ubicado en el Tercer piso. - Cuatro ascensores. - Áreas comunes ideales para la familia: Parque interno, juego para niños, salón de eventos, zona de parrilla y piscina. - 73M2. - Sala Comedor con balcón. - Vista al parque del condominio. - kitchenette con muebles altos y bajos, horno y campana empotrada. - Lavandería. 02 Dormitorios. - Principal con baño propio, clóset espacio para cama Queen o de 2 plazas. - Dormitorio Secundario espacio para cama de 1½ o 2 plazas. - 2 baños en toda la propiedad, baño en el cuarto principal y un baño para compartir también con ducha. - Se acepta 01 mascota de raza pequeña. **El departamento se entrega sin amoblar** servicios. - Luz independiente. - Gas independiente. - Mantenimiento mensual: S/ 160 Aprox. - Arbitrios mensuales S/ 25 soles. - 1 mes de garantía y 1 mes de adelanto. requisitos. - Sustentar ingresos (boletas, recibos por honorarios o pdt) - No estar mal reportado en Infocorp. - Contrato mínimo de 1 año|https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-lima-cercado-lima-2-dormitorios-148799372?n_src=Listado&n_pills=Ascensor&n_pg=1&n_pos=10|2026-03-18
