fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
urbania|departamentos|alquiler|Lima Norte|Carabayllo|"AV LOS GALLINAZOS
Costa Del Sol, Carabayllo"|S/ 1,200 · USD 320|1200|320|||"75 m² tot.
3 dorm.
2 baños"|75|3|2||Departamentos en Alquiler – Edificio Moderno en Carabayllo. - Ubicación: Urb. El Sol de Carabayllo – Zona tranquila y de fácil acceso. Edificio de 4 pisos. 2 departamentos por piso (8 en total) Sin ascensor. - Área de cada departamento: 75 m² - Ventanas antisísmicas para mayor seguridad y confort. - Distribución de cada departamento: * 3 dormitorios. * 1 baño completo en el dormitorio principal. * 1 baño completo compartido. * Sala y comedor amplios e iluminados. * Cocina independiente. * Lavandería. - Ideal para familias o parejas. - Edificio seguro y bien distribuido. - Servicios independientes. - Disponibilidad inmediata. Contáctanos para agendar una visita. Leslie Fajardo Ver datos.. . . #inmuebles #alquiler #departamentoencarabayllo #carabayllo #departamentoenalquiler. #urbelsolcarabayllo #inmobiliaria #departamento|https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-costa-del-sol-carabayllo-3-dormitorios-147224143?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=1|2025-12-08
urbania|departamentos|alquiler|Lima Norte|Carabayllo|"Calle os Perales
Carabayllo, Lima"|S/ 730 · USD 200|730|200|||"55 m² tot.
3 dorm.
1 baño"|55|3|||Alquilo departamen en carbayllocondominio club - valle grande carabayllo”? ubicado a 5 min de tottus, plaza vea, promart del ovalo puente piedra. Universidades, colegios y más. cuenta: - 3 dormitorios- sala, comedor, cocina- lavanderia- intercomunicador- medidor de luz independiente- 01 baño- piso 3-áreas comunes: - Piscina - - Hobby- Sala de reuniones- Zona de Juegos para niños - Estacionamiento de bicicletas interno- Estacionamiento de vehículos externo- seguridad? 24 horas - Condominio Privado precio del alquiler 750 soles incluido mantenimiento. Acceso a las áreas comunes: como piscina. no esperes mas agenda tu visita R. U. C Ver datos|https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-carabayllo-lima-3-dormitorios-143132662?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=2|2025-12-08
urbania|departamentos|alquiler|Lima Norte|Carabayllo|"Calle las Araucarias
Carabayllo, Lima"|S/ 700 · USD 180|700|180|||"90 m² tot.
3 dorm.
2 baños"|90|3|2||¡Tu Nuevo Hogar en San Antonio De Carabayllo te Está Esperando! ¡No te pierdas esta increíble oportunidad de alquilar un departamento que lo tiene todo! Ubicado estratégicamente en Santa Antonio de Carabayllo este encantador hogar ofrece la combinación perfecta de tranquilidad y seguridad. Imagina despertarte cada mañana en un entorno rodeado de parques y colegios. Descripción: -Área Construida: 89. 90m2 -Antigüedad: estreno - 3 dormitorios habitación principal con baño- 2 baños -Cocina: americana -Sala / Comedor -Lavadero -Balcón Beneficios para Ti y tu Familia: Seguridad y tranquilidad para tus seres queridosRodeado de parques para ejercitarse y pasar momentos familiares inolvidablesDepartamentos de estreno con diseño moderno y listos para habitarClima ideal y calido todos los dias del año. Ubicación: -Calle las Araucarias 283 a 3 cuadras de la Av. Las Palmeras-A 8 minutos del Ovalo de Puente Piedra -Urbanización segura rodeado de parques, colegios como Innova School, Saco Oliveros y de fácil acceso transporte público y privado. gw-fw -rp2¡Haz de Este Departamento tu Nuevo Hogar! ¡No dejes pasar esta oportunidad única de vivir en un lugar que se adapta a tu estilo de vida universitario o familiar! Contáctanos ahora para más detalles y asegura tu departamento en San Antonio de Carabayllo. Contactame: 9. 5. 8. 9. 2. 6. 0. 5. 2. - Gean Pierre Wilson R. U. C Ver datos|https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-carabayllo-lima-3-dormitorios-144552061?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=3|2025-12-08
urbania|departamentos|alquiler|Lima Norte|Carabayllo|"Urb. San Antonio de Carabayllo
Carabayllo, Lima"|S/ 780 · USD 210|780|210|||"60 m² tot.
3 dorm.
3 baños
1 estac."|60|3|3|1|¡Oportunidad única en Carabayllo! Área: 60 m2direccion: Av. Las Casuarinas Mz. F1 Lote 1 Urb. San Antonio de Carabayllo, distrito de Carabayllo, provincia y distrito de Limadepartamento* hall* sala* cocina con desayunador* 2 dormitorios con baño* 1 dormitorio* 1 baño completocondiciones: 1x1servicios independientes: agua y luzpago % de arbitriosA solo 5 minutos del óvalo de Puente Piedra y cerca de centros comerciales como Plaza Vea, Rocky, Promart, Maestro, Grifo Huaman tanga, Club Campestres de Sonia Morales, restaurantes, colegios y Casa Hacienda El Fortín, esta propiedad de 60 m² es ideal para departamento. Ubicada estratégicamente en Av. Las Casuarinas y Av. José Saco RojasUna opción perfecta para vivir o emprender. ¡Contáctanos y descubre tu próxima inversión en una ubicación privilegiada! R. U. C Ver datos|https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-carabayllo-lima-3-dormitorios-144972535?n_src=Listado&n_pg=1&n_pos=4|2025-12-08
urbania|departamentos|alquiler|Lima Norte|Carabayllo|"Av. Condorcanqui
Carabayllo, Lima"|S/ 800 · USD 217|800|217|||"76 m² tot.
2 dorm.
1 baño"|76|2|||Excelente oportunidad de alquiler en Carabayllo, Hermoso departamento de 76 m², con una impresionante vista panorámica de la Avenida Condorcanqui. Área: 76 M2Ubicado en el 2do piso con ingreso independiente2 habitaciones - La Principal con closet de madera (ingresan camas de 2 plazas) Cocina implementada con muebles de madera altos y bajoLavandería con instalación con lavadora1 baño completoSala y comedor. Espacio para oficina, hall. Aceptan mascotas. Luz natural en todo el departamento. No se paga mantenimientoLuz y agua independienteA tan solo 2 cuadras de la estación Metropolitano (troncal), cerca a la Av. Universitaria, Av. Chimpu Ocllo, colegio Innova School, Mercados, parques y másPrecio de alquiler. S/8002x1R. U. C Ver datos|https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-carabayllo-lima-2-dormitorios-147385228?n_src=Listado&n_pills=Amoblado&n_pg=1&n_pos=5|2025-12-08
urbania|departamentos|alquiler|Lima Norte|Carabayllo|"Av, Condorcanqui
Carabayllo, Lima"|S/ 750 · USD 203|750|203|||"76 m² tot.
2 dorm.
1 baño"|76|2|||Excelente oportunidad de alquiler en Carabayllo, Hermoso departamento de 76 m², con una impresionante vista panorámica de la Avenida Condorcanqui. Área: 76 M2Ubicado en el 3er piso con ingreso independiente (sin ascensor) 2 habitaciones - (ingresan camas de 2 plazas) CocinaLavandería con instalación con lavadora1 baño completoSala y comedor. Espacio para oficina, hall. Luz natural en todo el departamento. No se paga mantenimientoLuz independienteGas cálidaA tan solo 2 cuadras de la estación Metropolitano (troncal), cerca a la Av. Universitaria, Av. Chimpu Ocllo, colegio Innova School, Mercados, enace, Parques y másPrecio de alquiler. S/750. 00Modalidad 2x1No estar reportados en Infocorpsc. rp1R. U. C Ver datos|https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-carabayllo-lima-2-dormitorios-146492431?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=6|2025-12-08
urbania|departamentos|alquiler|Lima Norte|Carabayllo|"Condominio los Parques de Carabayllo al 200
Los Jardines De Carabayllo, Carabayllo"|S/ 800 · USD 211|800|211|||"63 m² tot.
3 dorm.
2 baños
1 estac."|63|3|2|1|Departamento en alquiler en el condominio los jardines de carabayllocaracteristicas: piso 2 departamento 202-Torre 703 habitaciones llenas de confort 02 baños modernoS01 Área de CocinaArea de lavanderia práctica con tendal práctico. Area o hall de estudioSala y comedor ampliaCuenta con cochera El edificio de 4 pisos cuenta con seguridad 24 horas y camaras beneficios: Zona para eventos con bbq - Juegos para niños- Áreas verdes En el interior cuenta con bodegas y restaurantesubicación: A 2 minutos de plaza y del Mercado HuamantangaRodeado de Instituciones EducativasCerca del ovalo de Puente piedraFácil acceso a transporteMantenimiento: 90. (no incluye agua ni luz) previa evaluación de ingresoscondiciones: un mes de adelanto y un mes de garantiaR. U. C Ver datos|https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-los-jardines-de-carabayllo-carabayllo-3-dormitorios-144957112?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=7|2025-12-08
urbania|departamentos|alquiler|Lima Norte|Carabayllo|"Condominio Vista Alegre - Carabayllo
Carabayllo, Lima"|S/ 750 · USD 212|750|212|||"120 m² tot.
3 dorm.
1 baño"|120|3|||El precio es 800 soles mensuales, no incluye mantenimiento, tampoco servicios (luz, agua, gas). • El costo de los servicios es según su consumo ya que cuenta con medidores independientes. Alquiler vía contrato notarial. El pago es un mes adelantado más un mes de garantía (S/1, 000 + S/800). ubicación exacta: Av. Perimétrica Nro. 1503 Condominio Vista Alegre Departamento 401 Cuarto Piso. Carabayllo. Referencia: Av. San Juan frente al Restaurant de Sonia Morales, a 3 minutos del Óvalo de Puente Piedra, Mercado Huamantanga y Maestro de Puente Piedra, y 5 minutos de Tottus de Puente Piedra. requisitos: Sustento de ingresos y estar bien en la central de riesgos. dentro del departamento contiene: 3 habitaciones. Área de lavandería. Área de cocina. 1 baño con acabados. Sala comedor. Alarma contra incendios. Sensor de humo. Intercomunicador con seguridad. Extractor de aire en el baño. áreas comunes: Cámaras de vigilancia las 24 horas. Áreas verdes. Juegos para niños. Estacionamiento para bicicletas. Salón de recepciones. Piscina. Área de parrillas. Seguridad las 24 horas. Extintores. Luces con sensor en los pasadizos. acceso: Universidad Privada del Norte. Colegios. Parques. Mercado Huamantanga. Maestro. Tottus. R. U. C Ver datos|https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-carabayllo-lima-3-dormitorios-145475495?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=8|2025-12-08
urbania|departamentos|alquiler|Lima Norte|Carabayllo|"PARQUE RAMON CASTILLA
Carabayllo, Lima"|S/ 1,600|1600|||1|"145 m² tot.
3 dorm.
2 baños"|145|3|2||Alquiler de Departamento de 145mtr2 en Carabayllo – Frente a Parque Ramón Castilla. Se alquila amplio y cómodo departamento en Carabayllo, con excelente ubicación frente al parque Ramón Castilla y a solo dos cuadras de la avenida Universitaria. Zona tranquila, residencial y con fácil acceso a mercados, tiendas y servicios. Características: • 3 dormitorios (2 de ellos súper amplios, entra cama king/queen sin problema) • 2 baños completos. • Sala comedor amplia con vista al parque. • Pisos de parquet en excelente estado. • Cocina cerrada e independiente. • Ingreso totalmente independiente. • Estacionamiento externo disponible. Ubicado en el 3er piso, bien iluminado y ventilado. Precio de alquiler: S/ 1, 600 (negociable ligeramente) Ideal para familias que buscan comodidad, seguridad y una zona céntrica. Ubicación: Frente al Parque Ramón Castilla, Carabayllo.|https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-carabayllo-lima-3-dormitorios-147608281?n_src=Listado&n_pills=Frente+a+parque&n_pg=1&n_pos=9|2025-12-08
urbania|departamentos|alquiler|Lima Norte|Carabayllo|"VALLE GRANDE CONDOMINIO CLUB, CARABAYLLO
Vista Alegre De Carabayllo, Carabayllo"|S/ 600 · USD 158|600|158||120|"65 m² tot.
3 dorm.
1 baño"|65|3|||Departamento en Alquiler en Carabayllo! Ubicado en Valle Grande Condominio Club - Carabayllo. seguro ideal para tu familia. Cuarto Piso. Características del Departamento. 3 habitaciones. Sala y comedor amplios. Cocina funcional. Área de lavandería. 1 baño completo con ducha. Vigilancia 24 horas para tu tranquilidad. Condiciones de Alquiler. Precio mensual: S/ 800. Condiciones: 1 mes de adelanto + 1 mes de garantía. Mantenimiento: S/ 100 (aproximadamente, incluye el agua) ¡No pierdas esta increíble oportunidad de vivir en un lugar cómodo y seguro! Contáctame para más información y coordinar una visita|https://urbania.pe/inmueble/clasificado/alclapin-alquiler-de-departamento-en-vista-alegre-de-carabayllo-carabayllo-3-dormitorios-147162727?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=10|2025-12-08
