fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
adondevivir|casas|venta|Lima Este|Ate Vitarte|"Calle las Droseras 151
Salamanca De Monterrico, Ate Vitarte"|S/ 1,115,277 · USD 340,000|1115277|340000|||"160 m² tot.
8 dorm.
4 baños
1 estac."|160|8|4|1|Rodeado de todas las comodidades, cerca de avenidas principales como Javier Prado y Circunvalación, a pocos minutos del Jockey Plaza y la Universidad de Lima; con vigilancia 24/7. Esta amplia casa de 160 m² de terreno y 350 m² construidos le ofrece todo lo que necesita para vivir cómodamente en una de las mejores zonas de Salamanca. En el primer piso tiene una acogedora terraza delantera. Al ingresar, se encuentra la sala comedor, baño de visita, estudio, cocina con amplio comedor de diario y un dormitorio. En el segundo piso hay cinco dormitorios, dos con vista externa y tres con vista interna. Dos baños compartidos. Además, hay una escalera que conduce a un cuarto con baño de servicio, depósito y área de lavandería. En el tercer piso se tiene un departamento independiente con dos dormitorios, sala comedor con kitchenette y baño completo. En la azotea hay un baño y proyección para el área de terraza y parrilla. Adicionalmente, la propiedad cuenta con un estacionamiento con puerta levadiza. Para más información y agendar una visita, ¡contáctenos!|https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-de-tres-pisos-mas-azotea-con-ocho-dorm.-en-147026045.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=1|2025-12-24
adondevivir|casas|venta|Lima Este|Ate Vitarte|"Casa en Venta 2 Pisos, Media Cuadra de Parque y Cerca del Colegio la Merced
La Merced, Ate Vitarte"|S/ 907,200 · USD 270,000|907200|270000||1|"180 m² tot.
5 dorm.
3 baños
2 estac."|180|5|3|2|Venta de casa en el distrito de ate, cerca al Colegio La MercedÁrea de terreno: 180 m²Área construida: 198. 80 m²Cochera para dos vehículosPisos: 2, con opción de construir mas pisosDormitorios: 4Baños: 1 baño completo en el primer pisoTerraza amplia en el primer piso, ideal para reuniones, zona de parrilla o ampliaciones futurasEstado: Desocupada y lista para habitarUbicación: A pocos pasos del Colegio La Merced y del Parque La Merced, cerca de la carretera centroPrecio de venta: usd 270, 000|https://www.adondevivir.com/propiedades/clasificado/veclcain-venta-casa-de-dos-pisos-cerca-del-colegio-y-parque-la-148441555.html?n_src=Listado&n_pg=1&n_pos=2|2025-12-24
adondevivir|casas|venta|Lima Este|Ate Vitarte|"El Sol, Santa Clara
Santa Clara, Ate Vitarte"|S/ 1,050,000 · USD 300,000|1050000|300000|||"300 m² tot.
3 dorm.
3 baños
2 estac."|300|3|3|2|Oportunidad. Casa independiente en Santa Clara con 2 frentes, uno con salida directa a parque y otro en Calle Tranquila y Cerrada. Inmueble inscrito en Registros Públicos. Área de Terreno: 300 m2. Área Construida: 200 m2. Distribución: Primer Piso: Hall, sala, comedor, cocina cerrada, jardín. 2 Estacionamientos en línea, jardín frontal. (En la parte de atrás, espacio que se usó como nido antes, ese frontis da al parque) Segundo Piso: 3 Dormitorios, el principal, con clóset y baño incorporado, los 2 secundarios con clóset, comparten un baño completo; sala de estar o escritorio. Azotea súper amplia, con vista al parque “El Sol” Depósito y/o dormitorio de servicio. Tercer Piso: Mínima construcción, una segunda azotea con depósito. A 2 cuadras del parque central de Santa Clara, C. C Qatu Plaza, a 5 min. De Real Plaza Santa Clara. No dejes pasar esta oportunidad.|https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-independiente-frente-a-parque-santa-clara-145328143.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=3|2025-12-24
adondevivir|casas|venta|Lima Este|Ate Vitarte|"SALAMANCA DE MONTERRICO RECAUDADORES
Salamanca De Monterrico, Ate Vitarte"|S/ 875,000 · USD 249,000|875000|249000|||"372 m² tot.
7 dorm.
5 baños"|372|7|5||Hermosa casa de 3 pisos + mini dpto independiente, ocasión frente A parque area de terreno 148m², área construida total 372m², cuenta con vista frontal A lindo parque cerrado Y con vigilancia 24 horas, la casa cuenta con 1er piso; amplia sala comedor, patio, O zona de parrilla, 2 baños completos con ducha, cocina espaciosa Y ventilada, lavandería, Y 1 habitación. 2do piso: 5 dormitorios muy grandes 2 con balcón A la calle vista parque 2 baños completos uno incorporado en el dormitorio principal, cocina. 3er piso: 2 dormitorios grandes sala comedor cocina baño completo, 3er piso por remodelar Y modernizar cuenta también en el primer piso: con un mini departamento completamente independiente de amplia sala comedor cocina con reposteros altos bajos patio 1 baño completo Y 1 dormitorio. Precio us$249, 000 dólares negociables. Parámetros de altura si lo deseara para construir hasta cuatro pisos con azotea, ubicacion privileguiada en salamanca muy cerca av paracas. citas inmediatas Ver datos mayor información Ver datos contacto. ubicación referencial|https://www.adondevivir.com/propiedades/clasificado/veclcain-ocasion-casa-3-pisos-f-parque-7-dorm.-5-banos-145146392.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=4|2025-12-24
adondevivir|casas|venta|Lima Este|Ate Vitarte|"URBANIZACION SANTA CLARA DISTRITO ATE
Ate Vitarte, Lima"|S/ 585,750 · USD 165,000|585750|165000|||"210 m² tot.
4 dorm.
2 baños
1 estac."|210|4|2|1|Descubre esta amplia y acogedora casa en el exclusivo condominio El Remanso de Santa Clara, donde la comodidad y el espacio se combinan a la perfección. Con 120 m² de terreno y 210 m² de área construida, esta propiedad es ideal para familias que buscan calidad de vida en un entorno seguro y tranquilo. Distribución ideal para tu comodidad: Primer piso (90 m²): Amplia sala comedor. Cocina cerrada. Estudio perfecto para home office. Baño completo. Patio para momentos de relax. Escalera de acceso al segundo piso. Segundo piso (90 m²): Dormitorio principal con balcón, baño privado y closet. Sala de estar para compartir en familia. 3 dormitorios adicionales (2 con closet) Baño completo. Un baño por instalar. Escalera a la azotea. Azotea (30. 75 m² construidos y 30 m² libres): Dormitorio de servicio con closet y baño. Lavandería y tendal. Ubicada en un condominio exclusivo, disfrutarás de seguridad, tranquilidad y un ambiente familiar. ¡No pierdas la oportunidad de vivir en la casa que siempre soñaste! Contáctanos para más información y agenda tu visita hoy mismo. Luis silva 9-8-5-2-6-3-1-5-9|https://www.adondevivir.com/propiedades/clasificado/veclcain-venta-de-casa-en-santa-clara-el-remanso-146208728.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=5|2025-12-24
adondevivir|casas|venta|Lima Este|Ate Vitarte|"MAYORAZGO ATE
Mayorazgo, Ate Vitarte"|"S/ 929,500 · USD 275,000
6%"|929500|275000|6%||"200 m² tot.
5 dorm.
3 baños
2 estac."|200|5|3|2|Ocasión casa en venta mayorazgo 3 pisos 3 cocheras. area de terreno 166. 40m² - área construida 200m² 1er piso: sala comedor muy amplia con pisos de parquet en buen estado, cocina independiente con reposteros altos Y bajos Y tableros de granito, patio O terraza interior muy amplia, dormitorio amplio en primer nivel, baño completo compartido para la visita Y el dormitorio, zona de servicio, 2 cocheras muy amplias. 2do piso: 3 dormitorios muy amplios, baño completo compartido, también cuenta con 2 dormitorios mas en el fondo de la casa. 3er piso: terraza. Precio: us$ 275, 000 dólares negociables se escucha oferta. visitas inmediatas sra miluzka martínez al Ver datos mayor información Ver datos. ubicación referencial|https://www.adondevivir.com/propiedades/clasificado/veclcain-ocasion-casa-de-3-pisos-6-dorm.-3-banos-3-cocheras-147407800.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=6|2025-12-24
adondevivir|casas|venta|Lima Este|Ate Vitarte|"X3F9+P4 Ate
Santa Rosita, Ate Vitarte"|S/ 1,277,500 · USD 350,000|1277500|350000|||"240 m² tot.
4 dorm.
6 baños
3 estac."|240|4|6|3|Gran casa de 4 pisos + 02 departamentos con acceso independiente - ideal para familias grandes - también apto para negocio de alquiler de departamentos Y cuartos- casa principal (piso 1 Y 2) con amplios Y acogedores espacios, 4 dormitorios con baño completo cada uno, cocina con comedor de diario, sala, comedor, jardín Y piscina. Estacionamiento para 3 autos. Departamentos independientes en piso 3 Y 4. - *piso1. sala comedor amplio Y bien iluminado. cocina grande con comedor de diario. baño de visita. piscina con jardín. estacionamiento para 3 autos. *piso 2. 4 dormitorios, cada uno con su propio baño, principal con walking closet. *piso 3. departamento independiente de un dormitorio, sala comedor, cocina Y baño completo. lavandería Y zona de tendal. *piso 4. departamento independiente con 2 dormitorios, sala comedor, cocina Y baño completo|https://www.adondevivir.com/propiedades/clasificado/veclcain-gran-casa-en-ate-146186740.html?n_src=Listado&n_pills=Piscina&n_pg=1&n_pos=7|2025-12-24
adondevivir|casas|venta|Lima Este|Ate Vitarte|"LOSS ANGELES
Los Angeles De Vitarte, Ate Vitarte"|S/ 1,095,000 · USD 300,000|1095000|300000|||"160 m² tot.
12 dorm.
7 baños
1 estac."|160|12|7|1|Descubre el hogar perfecto para una familia grande O para inversión en un inmueble con múltiples posibilidades. Esta espaciosa casa de 4 pisos ofrece una estructura sólida Y bien mantenida, la casa está diseñada para aprovechar cada metro cuadrado, ofreciendo áreas de estar cómodas, cocina, zonas de almacenaje Y más. Características: A. T. : 160. 00 M² A. C.: 440. 00 M² 12 habitaciones - amplias para garantizar privacidad Y confort. 7 baños - bien distribuidos para atender las necesidades de cada nivel. 1 estacionamiento - con espacio suficiente para tu vehículo. - 28 años de antigÜedad, bien conservada. - múltiples niveles para diferentes propósitos. - ideal para familias numerosas O para dividir en departamentos. no dejes pasar la oportunidad de visitar esta propiedad con un potencial increíble. ¡ideal para aquellos que buscan espacio Y comodidad en el corazón de ate!|https://www.adondevivir.com/propiedades/clasificado/veclcain-vendo-casa-de-4-pisos-146600095.html?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=8|2025-12-24
adondevivir|casas|venta|Lima Este|Ate Vitarte|"Vendo Local Comercial O Usos Multiples
Salamanca De Monterrico, Ate Vitarte"|S/ 1,776,000 · USD 480,000|1776000|480000|||"280 m² tot.
6 dorm.
5 baños"|280|6|5||"Vendo local comercial O de usos multiples en av. Circunvalación cerca A plaza vea salamancaubicación premium | potencial comercial Y residencial | documentación saneadase vende un edificio comercial/multifamiliar, ubicado estratégicamente en una de las avenidas principales de Salamanca. ¡Una propiedad con alto potencial de rentabilidad y desarrollo! ubicación insuperablela propiedad se encuentra en una zona de alto tránsito, a un paso de Plaza Vea y del emblemático Arco de Salamanca, justo frente al Entel de la avenida. ¡Máxima visibilidad garantizada! Cerca a la facultad de veterinaria de unmsmedificación actual: El inmueble consta de tres pisos más un altillo y ofrece un diseño versátil para usos múltiples: -El Primer Piso funcionaba como una Sauna (ideal para comercio). - El Segundo Piso es un Departamento completo. - El Tercer Piso está habilitado como Restaurante. - El Altillo cuenta con dos habitaciones adicionales. potencial de desarrollo: Esta es una oportunidad única, ya que la zona permite la construcción de hasta cinco pisos según los parámetros. ¡Perfecto para ampliar, remodelar o levantar un nuevo proyecto! precio de venta: $480, 000 dólares a conversar. Venta Directa. Disponibilidad Inmediata. Documentación en regla. ¡no deje pasar esta ocasión! Llama ahora mismo al Ver datos / Ver datos para agendar una visita y obtener más detalles."|https://www.adondevivir.com/propiedades/clasificado/veclcain-ocasion-vendo-local-comercial-salamanca-cerca-plaza-148284319.html?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=9|2025-12-24
adondevivir|casas|venta|Lima Este|Ate Vitarte|"CALLE ATENEA
Olimpo Etapa Iv, Ate Vitarte"|S/ 1,699,200 · USD 480,000|1699200|480000|||"524 m² tot.
5 dorm.
4 baños
2 estac."|524|5|4|2|¡Inversión Estratégica! Casa con Potencial de Terreno en Salamanca. Ubicación: Salamanca, con acceso consolidado y potencial de revalorización. Doble Oportunidad: Se presenta como una casa en venta como terreno, ideal para desarrolladores, o como una propiedad con amplios espacios y hasta 4 pisos más azotea, perfecta para familias multifamiliares. Detalles Constructivos y Espacios: Estructura Sólida: Edificación de 4 pisos más azotea, permitiendo expansión vertical. Planta Baja: Gran potencial comercial y residencial. Incluye Jardín, Tienda (comercial), Hall de ingreso, Estudio, Sala, Comedor, Cocina, Patio y Depósito. Estacionamiento: Espacios disponibles en el primer nivel. Potencial Multifamiliar (Viviendas Independientes): La estructura actual permite segregar o utilizar dos viviendas independientes: Vivienda 1: Sala, Comedor, Cocina, 2 Dormitorios y Baño completo. Vivienda 2: Sala, Comedor, Cocina, 2 Dormitorios y Baño completo. Área de Desarrollo (Azotea): Acceso directo a la Azotea, lista para futura construcción o ampliación. Ideal para Inversionistas que buscan rentabilizar o Familias que necesitan amplitud y proyección. Gestiona: exploria grupo inmobiliario.. . Cod: 1305|https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-en-venta-como-terreno-salamanca-142968142.html?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=10|2025-12-24
