fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
adondevivir|casas|venta|Lima Moderna|Jesus Maria|"Jirón Lloque Yupanqui
Jesús María, Lima"|"S/ 663,000 · USD 195,000
9%"|663000|195000|9%||"145 m² tot.
5 dorm.
2 baños"|145|5|2||Venta Tríplex en Quinta ubicado en Jesús María, a pocos metros de la Av. Salaverry, con acceso rápido a Iglesia San José, comercios, colegios, parques y principales vías. Área de terreno: 58. 16 m² Área construida (superficie): 145. 03 m² distribución: segundo piso: Sala y comedor bien iluminados. Cocina cerrada. 2 dormitorios. 1 baño completo. Tercer piso: 2 dormitorios. Sala de estar. 1 baño completo. cuarto piso: cuarto de servicio. 1 baño. lavandería. cochera deposito. terraza ideal para zona social o descanso. características adicionales: Servicios independientes. luz y agua. intercomunicador. buena iluminación y ventilación natural. ubicación privilegiada, …|https://www.adondevivir.com/propiedades/clasificado/veclcain-venta-de-triplex-jesus-maria-excelente-ubicacion-148862841.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=1|2026-03-18
adondevivir|casas|venta|Lima Moderna|Jesus Maria|"Jirón Gral. Córdova al 1178
Santa Beatriz, Jesús María"|S/ 822,000 · USD 235,000|822000|235000|||116 m² tot.|116||||Casa como terreno de uso comercialexcelente ubicación, Frente a incor en Jesús María. Área de Terreno - 116 m2Linderos: 10. 66 * 10. 15Parámetros: Hasta 4 pisos. Excelente Para Casa y/o oficina con licencia comercial. 2 pisos construidosTrato DirectoCitasEmmy Ródríguez9. 7. 5. 7. 1. 8. 0. 2. 9_________Jessica Tapia - Asociados: Tu socio inmobiliario en PerúTe ayudamos a vender, comprar o alquilar tu propiedad con un servicio personalizado y profesional. Encontramos el comprador, inquilino o inmueble perfecto para ti, asegurando que todo el proceso sea ágil y seguro. Visita nuestra web y haz realidad tus metas inmobiliarias|https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-como-terreno-uso-comercial-148639910.html?n_src=Listado&n_pg=1&n_pos=2|2026-03-18
adondevivir|casas|venta|Lima Moderna|Jesus Maria|"Pablo Bermudez
Jesús María, Lima"|S/ 1,424,000 · USD 400,000|1424000|400000|||"95 m² tot.
4 dorm.
5 baños
1 estac."|95|4|5|1|Venta casa en jesus maria, casa de dos pisos sin aires, ideal para vivienda o empresa, la misma que se encuentra completamente remodelada, manteniendo una estructura e infraestructura de estreno, con amplia iluminación en todos los ambientes. Ubicada a unos pasos del Ministerio de Trabajo, Av. Arenales y Av. Salaverry, cerca de todo tipo de entidades bancarias, comerciales, cerca de Essalud, se encuentra dentro de un hermoso condominio. Primer nivel: - Hall de ingreso. - Sala amplia con techo alto. - Segundo ambiente amplio con techo alto y mamparas de pared a pared. - Baño de visita completo. - Cocina estilo americano con muebles altos y bajos. - Medio baño de visita. - Lavadero para lavandería. - Amplio patio bien iluminado. - Motor y bomba de agua. - Techado: 81. 50 m2 – área ocupada: 100. 72m2. segundo nivel: - Hermosa escalera. - Hall amplio como sala de estar. - 2 dormitorios amplios e iluminados con closet. - 1 dormitorio con baño propio completo. - 1 baño completo para las habitaciones. - Techado: 93. 26 m2 – área ocupada: 116. 90m2. tercer nivel: - Habitación amplia e iluminada con baño completo. - Lavandería con lavadero y zona para lavadora. - Pasadizo amplio. - Techado: 22. 77 m2 – área ocupada: 46. 31m2. cuarto nivel: - 4 habitaciones, construido en Drywall. - 2 centro de lavados. - Amplia terraza. - Techado: 85. 67 m2 – área ocupada: 100. 72m2. otros: - Área de terreno ocupada: 449. 60 m2. - Área techada: 205. 36 m2. - Área de terreno: 95. 25 m2. - Precio venta $ 400, 000 dólares conversable. visita previa cita|https://www.adondevivir.com/propiedades/clasificado/veclcain-venta-casa-en-jesus-maria-147109112.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=3|2026-03-18
adondevivir|casas|venta|Lima Moderna|Jesus Maria|"Av. Gnral Eugenio Garzón 2241
Jesús María, Lima"|S/ 1,462,335 · USD 420,000|1462335|420000|||"160 m² tot.
5 dorm.
1 baño"|160|5|||Terreno en venta en Jesús María – Ideal para proyecto inmobiliario ¡Gran oportunidad de inversión en una de las zonas con mayor demanda de Lima! Se vende terreno de 160 m² con parámetros para construir hasta 5 pisos, ubicado en una zona estratégica y céntrica de Jesús María, a pocos pasos de Av. Brasil, Av. San Felipe, restaurantes, colegios y zonas comerciales. Este terreno ofrece excelente conectividad hacia los principales distritos de la ciudad y está rodeado de parques, universidades y centros comerciales, lo que lo convierte en la opción perfecta para desarrollar un proyecto multifamiliar o comercial. Características principales: - Área total: 160 m²- Parámetros: hasta 5 pisos- Zona residencial y comercial- Fácil acceso a vías principales y transporte públicoInvierte hoy en un terreno con alta rentabilidad y proyección inmobiliariaContáctanos para más información o coordinar una visitaNatalia Carrera9. 8. 7. 9. 0. 3. 2. 9. 1. _________Jessica Tapia - Asociados: Tu socio inmobiliario en PerúTe ayudamos a vender, comprar o alquilar tu propiedad con un servicio personalizado y profesional. Encontramos el comprador, inquilino o inmueble perfecto para ti, asegurando que todo el proceso sea ágil y seguro. Visita nuestra web y haz realidad tus metas inmobiliarias|https://www.adondevivir.com/propiedades/clasificado/veclcain-jesus-maria:-casa-comoterreno-comercial-en-venta-160-148643130.html?n_src=Listado&n_pg=1&n_pos=4|2026-03-18
adondevivir|casas|venta|Lima Moderna|Jesus Maria|"Horacio urteaga
Jesús María, Lima"|S/ 898,000 · USD 268,000|898000|268000|||"250 m² tot.
4 dorm.
2 baños"|250|4|2||¡ocasión！ ❛vendo casa de 3 pisos❜ 90 metros cuadrados de área de terreno, Y 250 metros cuadrados de área construida. Casa situada en jesús maría, ubicado en un pasaje con diseño de condominio, solo cuenta con 10 viviendas, moderno, apacible Y super céntrico. Localizado en la calle horacio urteaga, A 2 cuadras de la rambla de la avenida brasil, A 1 cuadra del campo de marte, Y A 2 cuadras de la avenida salaverry, la ubicación es inmejorable!. ➽primera planta: sala, comedor, cocina, lavandería. 1 baño completo, terraza Y hall de ingreso. ➽segunda planta: 3 dormitorios amplios Y bien iluminados, cuenta con 2 baños, ➽tercera planta: ⤑ minidepartamento con entrada indepediente 《sala- comedor, cocina kitchenette, 1 dormitorio Y 1 baño. ⤑ amplia azotea, cuarto Y baño de servicio. - no cuenta con cochera, no esperes más Y agenda tu visita!, escríbeme al wathsapp.|https://www.adondevivir.com/propiedades/clasificado/veclcain--vendo-casa-en-jesus-maria-146595697.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=5|2026-03-18
adondevivir|casas|venta|Lima Moderna|Jesus Maria|"jesus maria
Jesús María, Lima"|S/ 405,000 · USD 120,800|405000|120800|||"45 m² tot.
3 dorm.
2 baños"|45|3|2||Agente domus; Erika 9. 8. 3. 4. 12. 8. 1. Oportunidad para remodelar. Casa de 2 pisos + aires. 3 habitaciones. 2 baños. ideal para remodelación o inversión. Ubicación céntrica, cerca a todo: comercios, transporte y servicios. precio: S/ 405, 000. excelente opción para vivir o rentabilizar. Contáctame para más info o visita|https://www.adondevivir.com/propiedades/clasificado/veclcain-venta-casa-en-quinta-jesus-maria-149159522.html?n_src=Listado&n_pg=1&n_pos=6|2026-03-18
adondevivir|casas|venta|Lima Moderna|Jesus Maria|"CUBA CON SALAVERRY
Jesús María, Lima"|S/ 1,646,400 · USD 490,000|1646400|490000|||"227 m² tot.
4 dorm.
1 baño
2 estac."|227|4||2|Vive en el corazón de Jesús María: una casa que combina ubicación estratégica y comodidad total. Esta hermosa casa de 2 pisos llega al mercado lista para convertirse en el punto de partida de tu siguiente gran etapa. (cerca de las avenidas Cuba, Salaverry y San Felipe) Distribución diseñada para tu día a día. at: 227. 9 m2. ac: 274. 35 m2. Primer Piso: - Sala y comedor que fluyen con naturalidad, ideales para recibir y compartir. - Cocina empotrada con reposteros altos y bajos, pensada para maximizar eficiencia. - Baño de visita. - Acogedora antesala y un cuarto de estudio perfecto para home office. Segundo Piso: - 3 habitaciones amplias con excelente iluminación. - 1 baño completo con distribución inteligente. Plus adicional. - Habitación de servicio independiente. - Cochera amplia con capacidad para 2 autos, un diferencial clave en la zona. ¿Por qué esta casa es una oportunidad? Está ubicada en pleno corazón de Jesús María, uno de los distritos más demandados de Lima y valorado por su accesibilidad, seguridad y entorno familiar. Una propuesta ideal para quienes buscan comodidad, proyección y un estilo de vida equilibrado. Activa tu visita hoy mismo y descubre por qué esta puede ser la casa que estabas esperando.|https://www.adondevivir.com/propiedades/clasificado/veclcain-hermosa-casa-en-venta-en-jesus-maria-148368124.html?n_src=Listado&n_pg=1&n_pos=7|2026-03-18
adondevivir|casas|venta|Lima Moderna|Jesus Maria|"Jiron Pachacutec al 1700
Salaverry Et.2, Jesús María"|S/ 1,504,150 · USD 449,000|1504150|449000|||"320 m² tot.
4 baños
1 estac."|320||4|1|"Casa a precio de terreno– Jesús María cèntricoUbicación estratégica + Potencial corporativo + Oportunidad de inversiónEn el corazón de Jesús María, uno de los distritos más céntricos y de mayor conectividad de Lima, ideal tanto para uso empresarial como para proyecto de inversión inmobiliaria. Con años de sólida construcción, esta propiedad combina carácter, estructura firme y espacios amplios que permiten múltiples posibilidades de uso. Al lado del I. E. teresa gonzalez de fanning Cerca a senami, colegios, restaurantes, hospitales, comisaria, av. salaverry, etc. Distribución funcional y versátil: primer nivel: *Sala amplia*hall*comedor amplio*cocina independiente*almacen*cochera, *lavanderia*2 baños completossegundo nivel*1er Dormitorio con clóset baño incorporado, vista a la calle*2do dormitorio con closet vista a la calle*3er dormitorio con closet vista a la calle*4to domitorio balcón con vista interna. *1 baño completotercer nivel: *Dos habitaciones pequeñas adicionales. *Baño completo. *Lavanderia. ¿Por qué esta propiedad es una oportunidad realUbicación privilegiada en zona céntrica con acceso inmediato a principales avenidas. Al costado de I. E. &quot;Teresa González de Fanning&quot; | LimaEspacios perfectamente adaptables para oficinas administrativas, consultorios, estudios profesionales, centro educativo, coworking o sede corporativa. Alto potencial para convertir en negocio de renta por pisos o minidepartamentos independientes. Ideal para inversionistas que buscan flujo de ingresos constante en zona de alta demanda. Perfecta para: Empresas medianas o grandesInstituciones educativas o médicasFirmas profesionalesInversionistas que buscan rentabilidad por alquilerUna propiedad con historia, estructura sólida y un enorme potencial de valorización en una de las zonas más demandadas de Lima. Consultar con el Agente Inmobiliario encargado para mayor información Ver datos."|https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-a-la-venta-en-jesus-maria-149112463.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=8|2026-03-18
adondevivir|casas|venta|Lima Moderna|Jesus Maria|"Avenida Arnaldo Márquez
Jesús María, Lima"|S/ 1,837,000 · USD 550,000|1837000|550000|||"500 m² tot.
6 dorm.
4 baños"|500|6|4||Amplia casa de dos pisos, area de terreno 269m2 inmejorable ubicacion cuatro dormitorios, cuatro baños, sala comedor, cocina, lavanderia, area de servicio. Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas casas en venta. Comunicate con nosotros y encuentra la propiedad ideal para ti!|https://www.adondevivir.com/propiedades/clasificado/veclcain-venta-de-casa-como-terreno!-148818881.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=9|2026-03-18
adondevivir|casas|venta|Lima Moderna|Jesus Maria|"CALLE LLOQUE YUPANQUI
Jesús María, Lima"|S/ 1,091,500 · USD 295,000|1091500|295000|||"110 m² tot.
7 dorm.
5 baños"|110|7|5||Casa de 3 Pisos en Venta – Jesús María (Lloque Yupanqui) Precio: $295, 000. Descubre esta amplia casa en Jesús María, ideal para familias grandes o proyectos de remodelación. Con parámetros para construir hasta 4 pisos, esta propiedad ofrece un gran potencial en una ubicación estratégica dentro de un condominio de solo 3 casas. Características: Primer Piso: -Amplia sala iluminada. -Cocina espaciosa. -Recibidor. -Baño de visita. -2 baños. -Patio interno con lavandería. -2 escaleras de acceso: una desde la sala y otra desde la entrada principal. Segundo Piso: -Sala adicional para mayor comodidad. -5 dormitorios amplios. -2 baños completos. Tercer Piso: -Azotea ideal para expansión o área social. -2 dormitorios. -Área de Servicio. -1 baño. ¡No pierdas esta oportunidad de inversión en una de las zonas más céntricas y accesibles de Jesús María! Contáctanos para más información y agenda tu visita.|https://www.adondevivir.com/propiedades/clasificado/veclcain-venta-de-amplia-y-espaciosa-casa-en-jesus-maria-145032860.html?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=10|2026-03-18
