fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
urbania|casas|venta|Lima Moderna|Jesus Maria|"Jr. Brigadier Mateo Pumacahua
Jesús María, Lima"|S/ 809,200 · USD 238,000|809200|238000|||"200 m² tot.
4 dorm.
3 baños"|200|4|3||Linda casa en venta en Jesús María – Jr. Brigadier PumacahuaUbicada dentro de una tranquila y segura quinta de solo 8 propiedades, esta acogedora casa ofrece comodidad, privacidad y una excelente ubicación en el corazón de Jesús María. La vivienda cuenta con espacios amplios y bien distribuidos. En el segundo nivel se encuentran tres cómodos dormitorios, ideales para toda la familia, acompañados de dos baños completos, además de una luminosa sala, comedor y cocina, pensados para disfrutar momentos únicos en el día a día. En el tercer nivel, la propiedad sorprende con una amplia terraza, perfecta para reuniones sociales, que incluye zona de parrilla, así como un dormitorio con baño incorporado, ideal para área de invitados u oficina privada. Una excelente oportunidad para quienes buscan vivir en un entorno residencial, tranquilo y bien conectado, sin renunciar al confort y a espacios ideales para compartir en familia.|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-jesus-maria-lima-4-dormitorios-148635289?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=1|2026-02-01
urbania|casas|venta|Lima Moderna|Jesus Maria|"Av. Gnral Eugenio Garzón 2241
Jesús María, Lima"|S/ 1,410,866 · USD 420,000|1410866|420000|||160 m² tot.|160||||Terreno en venta en Jesús María – Ideal para proyecto inmobiliario ¡Gran oportunidad de inversión en una de las zonas con mayor demanda de Lima! Se vende terreno de 160 m² con parámetros para construir hasta 5 pisos, ubicado en una zona estratégica y céntrica de Jesús María, a pocos pasos de Av. Brasil, Av. San Felipe, restaurantes, colegios y zonas comerciales. Este terreno ofrece excelente conectividad hacia los principales distritos de la ciudad y está rodeado de parques, universidades y centros comerciales, lo que lo convierte en la opción perfecta para desarrollar un proyecto multifamiliar o comercial. Características principales: - Área total: 160 m²- Parámetros: hasta 5 pisos- Zona residencial y comercial- Fácil acceso a vías principales y transporte públicoInvierte hoy en un terreno con alta rentabilidad y proyección inmobiliariaContáctanos para más información o coordinar una visitaNatalia Carrera9. 8. 7. 9. 0. 3. 2. 9. 1. _________Jessica Tapia - Asociados: Tu socio inmobiliario en PerúTe ayudamos a vender, comprar o alquilar tu propiedad con un servicio personalizado y profesional. Encontramos el comprador, inquilino o inmueble perfecto para ti, asegurando que todo el proceso sea ágil y seguro. Visita nuestra web y haz realidad tus metas inmobiliarias|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-jesus-maria-lima-148643122?n_src=Listado&n_pg=1&n_pos=2|2026-02-01
urbania|casas|venta|Lima Moderna|Jesus Maria|"Pablo Bermudez
Jesús María, Lima"|S/ 1,424,000 · USD 400,000|1424000|400000|||"95 m² tot.
4 dorm.
5 baños
1 estac."|95|4|5|1|Venta casa en jesus maria, casa de dos pisos sin aires, ideal para vivienda o empresa, la misma que se encuentra completamente remodelada, manteniendo una estructura e infraestructura de estreno, con amplia iluminación en todos los ambientes. Ubicada a unos pasos del Ministerio de Trabajo, Av. Arenales y Av. Salaverry, cerca de todo tipo de entidades bancarias, comerciales, cerca de Essalud, se encuentra dentro de un hermoso condominio. Primer nivel: - Hall de ingreso. - Sala amplia con techo alto. - Segundo ambiente amplio con techo alto y mamparas de pared a pared. - Baño de visita completo. - Cocina estilo americano con muebles altos y bajos. - Medio baño de visita. - Lavadero para lavandería. - Amplio patio bien iluminado. - Motor y bomba de agua. - Techado: 81. 50 m2 – área ocupada: 100. 72m2. segundo nivel: - Hermosa escalera. - Hall amplio como sala de estar. - 2 dormitorios amplios e iluminados con closet. - 1 dormitorio con baño propio completo. - 1 baño completo para las habitaciones. - Techado: 93. 26 m2 – área ocupada: 116. 90m2. tercer nivel: - Habitación amplia e iluminada con baño completo. - Lavandería con lavadero y zona para lavadora. - Pasadizo amplio. - Techado: 22. 77 m2 – área ocupada: 46. 31m2. cuarto nivel: - 4 habitaciones, construido en Drywall. - 2 centro de lavados. - Amplia terraza. - Techado: 85. 67 m2 – área ocupada: 100. 72m2. otros: - Área de terreno ocupada: 449. 60 m2. - Área techada: 205. 36 m2. - Área de terreno: 95. 25 m2. - Precio venta $ 400, 000 dólares conversable. visita previa cita|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-jesus-maria-lima-4-dormitorios-147108688?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=3|2026-02-01
urbania|casas|venta|Lima Moderna|Jesus Maria|"Jirón Gral. Córdova al 1178
Santa Beatriz, Jesús María"|S/ 822,000 · USD 235,000|822000|235000|||116 m² tot.|116||||Casa como terreno de uso comercialexcelente ubicación, Frente a incor en Jesús María. Área de Terreno - 116 m2Linderos: 10. 66 * 10. 15Parámetros: Hasta 4 pisos. Excelente Para Casa y/o oficina con licencia comercial. 2 pisos construidosTrato DirectoCitasEmmy Ródríguez9. 7. 5. 7. 1. 8. 0. 2. 9_________Jessica Tapia - Asociados: Tu socio inmobiliario en PerúTe ayudamos a vender, comprar o alquilar tu propiedad con un servicio personalizado y profesional. Encontramos el comprador, inquilino o inmueble perfecto para ti, asegurando que todo el proceso sea ágil y seguro. Visita nuestra web y haz realidad tus metas inmobiliarias|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-santa-beatriz-jesus-maria-148639898?n_src=Listado&n_pg=1&n_pos=4|2026-02-01
urbania|casas|venta|Lima Moderna|Jesus Maria|"CUBA CON SALAVERRY
Jesús María, Lima"|S/ 1,646,400 · USD 490,000|1646400|490000|||"227 m² tot.
4 dorm.
1 baño
2 estac."|227|4||2|Vive en el corazón de Jesús María: una casa que combina ubicación estratégica y comodidad total. Esta hermosa casa de 2 pisos llega al mercado lista para convertirse en el punto de partida de tu siguiente gran etapa. (cerca de las avenidas Cuba, Salaverry y San Felipe) Distribución diseñada para tu día a día. at: 227. 9 m2. ac: 274. 35 m2. Primer Piso: - Sala y comedor que fluyen con naturalidad, ideales para recibir y compartir. - Cocina empotrada con reposteros altos y bajos, pensada para maximizar eficiencia. - Baño de visita. - Acogedora antesala y un cuarto de estudio perfecto para home office. Segundo Piso: - 3 habitaciones amplias con excelente iluminación. - 1 baño completo con distribución inteligente. Plus adicional. - Habitación de servicio independiente. - Cochera amplia con capacidad para 2 autos, un diferencial clave en la zona. ¿Por qué esta casa es una oportunidad? Está ubicada en pleno corazón de Jesús María, uno de los distritos más demandados de Lima y valorado por su accesibilidad, seguridad y entorno familiar. Una propuesta ideal para quienes buscan comodidad, proyección y un estilo de vida equilibrado. Activa tu visita hoy mismo y descubre por qué esta puede ser la casa que estabas esperando.|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-jesus-maria-lima-4-dormitorios-148368106?n_src=Listado&n_pg=1&n_pos=5|2026-02-01
urbania|casas|venta|Lima Moderna|Jesus Maria|"JIRON NAZCA/ELIZABETH JORGE
Jesús María, Lima"|S/ 899,000 · USD 269,000|899000|269000|||"250 m² tot.
4 dorm.
2 baños"|250|4|2||Se vende A precio de ocasion amplia casa de 3 pisos!! Conoce esta amplia casa que tiene de area de terreno 90M2 Y area construida 250M2. casa ubicada en condominio, con un lindo pasaje donde se encuentran 10 viviendas. Zona centrica. ubicada en: 2 cdra de la rambla av brasil, A 2 cuadras de la avenida salaverry. Cerca A centros comericales. banco, iglesias. Primer nivel: - sala. - comedor. - cocina. - lavanderia. - 1 baño completo. - terraza Y hall de ingreso. segundo nivel: - 3 dormitorios amplios. - 2 baños. tercer nivel: tiene un minidepartamento entrada independiente. - sala comedor. - cocina abierta. - 1 dormitorio. - 1 baño. - amplia azotea Y cuarto Y baño de servicio. sin cochera. documentos en regla! Agenda visita!|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-jesus-maria-lima-4-dormitorios-147722949?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=6|2026-02-01
urbania|casas|venta|Lima Moderna|Jesus Maria|"Horacio urteaga
Jesús María, Lima"|S/ 880,000 · USD 269,000|880000|269000|||"250 m² tot.
4 dorm.
2 baños"|250|4|2||¡ocasión！ ❛vendo casa de 3 pisos❜ 90 metros cuadrados de área de terreno, Y 250 metros cuadrados de área construida. Casa situada en jesús maría, ubicado en un pasaje con diseño de condominio, solo cuenta con 10 viviendas, moderno, apacible Y super céntrico. Localizado en la calle horacio urteaga, A 2 cuadras de la rambla de la avenida brasil, A 1 cuadra del campo de marte, Y A 2 cuadras de la avenida salaverry, la ubicación es inmejorable!. ➽primera planta: sala, comedor, cocina, lavandería. 1 baño completo, terraza Y hall de ingreso. ➽segunda planta: 3 dormitorios amplios Y bien iluminados, cuenta con 2 baños, ➽tercera planta: ⤑ minidepartamento con entrada indepediente 《sala- comedor, cocina kitchenette, 1 dormitorio Y 1 baño. ⤑ amplia azotea, cuarto Y baño de servicio. - no cuenta con cochera, no esperes más Y agenda tu visita!, escríbeme al wathsapp.|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-jesus-maria-lima-4-dormitorios-146595647?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=7|2026-02-01
urbania|casas|venta|Lima Moderna|Jesus Maria|"CALLE LLOQUE YUPANQUI
Jesús María, Lima"|S/ 1,091,500 · USD 295,000|1091500|295000|||"110 m² tot.
7 dorm.
5 baños"|110|7|5||Casa de 3 Pisos en Venta – Jesús María (Lloque Yupanqui) Precio: $295, 000. Descubre esta amplia casa en Jesús María, ideal para familias grandes o proyectos de remodelación. Con parámetros para construir hasta 4 pisos, esta propiedad ofrece un gran potencial en una ubicación estratégica dentro de un condominio de solo 3 casas. Características: Primer Piso: -Amplia sala iluminada. -Cocina espaciosa. -Recibidor. -Baño de visita. -2 baños. -Patio interno con lavandería. -2 escaleras de acceso: una desde la sala y otra desde la entrada principal. Segundo Piso: -Sala adicional para mayor comodidad. -5 dormitorios amplios. -2 baños completos. Tercer Piso: -Azotea ideal para expansión o área social. -2 dormitorios. -Área de Servicio. -1 baño. ¡No pierdas esta oportunidad de inversión en una de las zonas más céntricas y accesibles de Jesús María! Contáctanos para más información y agenda tu visita.|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-jesus-maria-lima-5-a-mas-dormitorios-145032840?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=8|2026-02-01
urbania|casas|venta|Lima Moderna|Jesus Maria|"Avenida Arnaldo Márquez
Jesús María, Lima"|S/ 1,837,000 · USD 550,000|1837000|550000|||"500 m² tot.
6 dorm.
4 baños"|500|6|4||Amplia casa de dos pisos, area de terreno 269m2 inmejorable ubicacion cuatro dormitorios, cuatro baños, sala comedor, cocina, lavanderia, area de servicio. Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas casas en venta. Comunicate con nosotros y encuentra la propiedad ideal para ti!|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-jesus-maria-lima-5-a-mas-dormitorios-148818834?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=9|2026-02-01
urbania|casas|venta|Lima Moderna|Jesus Maria|"Av.Horacio Urteaga / Deisy Celis
Jesús María, Lima"|S/ 899,000 · USD 269,000|899000|269000|||"88 m² tot.
4 dorm.
3 baños"|88|4|3||Vendo Céntrica y Linda Casa en Jesús María❞ ¡ocasión！ ❛vendo casa de 3 pisos❜ 90 metros cuadrados de área de terreno, Y 200 metros cuadrados de área construida. Casa situada en jesús maría, ubicado en un pasaje con diseño de condominio, solo cuenta con 10 viviendas, moderno, apacible Y super céntrico. Localizado en la calle horacio urteaga, A 2 cuadras de la rambla de la avenida brasil, A 1 cuadra del campo de marte, Y A 2 cuadras de la avenida salaverry, la ubicación es inmejorable!. ➽primera planta: sala, comedor, cocina, lavandería. 1 baño completo, terraza Y hall de ingreso. ➽segunda planta: 3 dormitorios amplios Y bien iluminados, cuenta con 2 baños, ➽tercera planta: ⤑ minidepartamento con entrada indepediente 《sala- comedor, cocina kitchenette, 1 dormitorio Y 1 baño. ⤑ amplia azotea, cuarto Y baño de servicio. No esperes más Y agenda tu visita!, escríbeme al wathsapp.|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-jesus-maria-lima-4-dormitorios-145650078?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=10|2026-02-01
