fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
urbania|casas|venta|Lima Sur|Chorrillos|"AV. SAN JUAN
Chorrillos, Lima"|S/ 1,190,000 · USD 350,000|1190000|350000|||"250 m² tot.
4 dorm.
3 baños
2 estac."|250|4|3|2|Venta de bonita casa en excelente ubicación, san juan - chorrillos.. Área Total: 250 M2. características generales: . Casa en buen estado de conservación. . Casa con parámetros de 6 pisos. . Casa de 02 pisos. . Años de antigüedad: 40 años. Distribución general de la casa: - Amplia e iluminada sala comedor con linda vista al jardín. - Área de estudio/ escritorio. - Área de cocina independiente con lindo comedor diario. - Baño de visitas. - 04 dormitorios amplios. - 03 baños completos. - 01 departamento con ingreso independiente y terraza. Nota: La casa a sido completamente remodelada internamente(como tuberías de agua y desagüe, el cableado eléctrico y el termo magnético complementan nuevos) ubicación Y referencia: . Casa ubicada en San Juan - Chorrillos. A 07 cuadras de Huaylas y a 01 cuadra de Belisario Suárez. Documentos en regla, inmueble totalmente saneado y sin carga legal. Precio de venta de la casa: us$ 350, 000 Dólares (Incluye cochera para 02 autos) negociable. contacto: hellen salazar cabrera / 936*961*375. ** **|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-chorrillos-lima-4-dormitorios-148308666?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=1|2025-12-08
urbania|casas|venta|Lima Sur|Chorrillos|"la Encantada
La Encantada De Villa, Chorrillos"|S/ 1,960,400 · USD 580,000|1960400|580000|||"342 m² tot.
4 dorm.
3 baños
2 estac."|342|4|3|2|Linda casa en la Encantada Villa de estilo Barranquino, con un patio central y muy iluminada- Tiene 342 mts de A. O. y 326 metros de área construida. En el primer nivel hay 228 metros de área construida y en el segundo 98 mts- Consta de amplia sala comedor, baño de visita, linda y amplia cocina con comedor de diario, 3 dormitorios, el principal con baño incorporado, los otros dos comparten un baño completo, terraza jardín y patio central. En el segundo piso tiene una sala de estar con terraza y un ambiente amplio con un baño completo, que podría ser usado como 4to dormitorio o un estudio amplio. 2 cocheras. precio negociable|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-la-encantada-de-villa-chorrillos-4-dormitorios-147344199?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=2|2025-12-08
urbania|casas|venta|Lima Sur|Chorrillos|"Las Tortugas 100
Los Cedros De Villa, Chorrillos"|S/ 665,900 · USD 195,000|665900|195000|||"215 m² tot.
4 dorm.
3 baños
1 estac."|215|4|3|1|"Vive en Condominio Privado de 4 casas | 3 pisos con terraza, jardin y family room. 3. 5 baños y 1 cochera cómoda para camioneta. 4 Dorm | 3. 5 baños| Terraza | Jardin | 1 cochera. Distribución de la propiedad: Nivel 1 (Ingreso): • Área ocupada: 87. 9m2, Área techada 45m2. • Sala amplia en esquina con vista a jardín. • Comedor c/ triple altura, amplitud y luz natural. • Cocina cerrada con muebles altos y bajos. • Medio baño de visitas. • Área de Jardin. • 1 estacionamiento. Nivel 2: • Área techada y ocupada: 52. 6m2. •Dorm. Principal en esquina c/ balcón, baño y clóset (King) •Dorm. Secundario o estudio c/ balcón (1. 5 plazas) •Dorm. Secundario con vista a la calle (1. 5 plazas) y clóset. •Baño completo compartido para los dorm. Secundarios. Nivel 3: • Área techada: 34m2 y ocupada: 52. 6m2. •Habitación adicional o Family room. •Cuarto y baño de servicio. •Lavandería techada. •Amplia terraza privada. Características del condominio: • Exclusivo condominio de 4 viviendas. • Acceso a la casa y cochera con acceso directo. • Condominio en esquina con excelente iluminación. Características de la zona: • upc Campus Villa. • Principales colegios Pamer, Innova School. • Cercania a parques a 2 cuadras. • Supermercados cercanos: Tottus y Plaza Vea. • Smartfit a 3 cuadras. • Cercanía a restaurantes y comercios. • Zona residencial, privada y segura."|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-los-cedros-de-villa-chorrillos-4-dormitorios-147899413?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=3|2025-12-08
urbania|casas|venta|Lima Sur|Chorrillos|"ALAMEDA DE LA NIÑA DEL MAR
La Encantada De Villa, Chorrillos"|S/ 3,293,000 · USD 890,000|3293000|890000|||"784 m² tot.
5 dorm.
4 baños
3 estac."|784|5|4|3|Encantada de villa - alameda de la niña del mar. ⁂ Área Total: 783. 85 m² ⁂ Área Construida: 483 m² Distribución: • Sala comedor. • Terraza. • 5 dormitorios. • 3 dormitorios con baño incorporado y closets grandes. • Dormitorio principal con sala, walk-in closet y baño grande con ducha y tina. • Family room en segundo piso. • Cocina. • Lavandería. • Cuarto y baño de servicio. ✓ Precio de Venta: usd 890, 000. Caza Inmobiliaria, tu propiedad en la mira.|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-la-encantada-de-villa-chorrillos-5-a-mas-dormitorios-4513397?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=4|2025-12-08
urbania|casas|venta|Lima Sur|Chorrillos|"Alameda DEL Sereno 190
La Encantada De Villa, Chorrillos"|S/ 1,584,000 · USD 450,000|1584000|450000||510|"349 m² tot.
3 dorm.
3 baños
2 estac."|349|3|3|2|Se escuchan propuestas:) área terreno: 349. 11 M2. / área construida: 202. 10 M2. Hermosa casa de 2 pisos, impecable, en condominio de 8 casas, pero con ingreso totalmente independiente desde la calle, tanto peatonal como vehicular. La casa está ubicada la moderna Y segura urbanización encantada de villa, chorrillos. Muy cerca de st. George college, colegio villa alarife, colegio innova Y al cambridge college. También esta cerca del country club villa Y las playas el faro, villa Y las brisas de villa. Frente al bello parque las hadas, esta zona se caracteriza por ser super residencial Y tranquila. Primer nivel: lindo jardín delantero. 2 estacionamientos en paralelo. Escritorio U oficina amplia, que podría ser usada también como un dormitorio adicional. Medio baño de visitas. Sala comedor amplios, con hermosa vistas hacia el jardín delantero Y posterior, techos altos, con mucha iluminación natural. Terraza con techo sol Y sombra, jardin Y área de parrilla. Cocina grande con reposteros altos Y bajos, granito Y comedor de diario. Zona de lavandería, cuarto Y baño de servicio. Depósito adicional que podría funcionar como alacena para la cocina. Sistema centralizado de gas A balón, que alimenta A la cocina, terma de agua Y secadora. Segundo nivel: sala de estar con salida A pequeño balcón que tiene vista al parque central del condominio. Dormitorio principal grande con walk in closet Y baño incorporado, tiene vista A parque. 2 dormitorios secundarios ambos con closet Y baño incorporado, amplios. La urbanización cuenta hasta con 4 tranqueras de vigilancia Y seguridad para controlar el acceso. Se paga 160 soles de mantenimiento en el condominio Y 350 soles por la seguridad de la urbanización. Tus mascotas son bienvenidas.|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-la-encantada-de-villa-chorrillos-3-dormitorios-147264524?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=5|2025-12-08
urbania|casas|venta|Lima Sur|Chorrillos|"Alameda Poeta DE LA Rivera
Chorrillos, Lima"|S/ 2,340,000 · USD 650,000|2340000|650000||300|"1200 m² tot.
3 dorm.
2 baños
4 estac."|1200|3|2|4|Alameda poeta de la rivera - la encantada de villa. Area Terreno: 1, 150m2. Area Construida: 280m2. Antiguedad 37 años. Hall de ingreso, Sala con techos altos y vista al jardín, comedor, sala de estar con salida al jardín, baño de visita, cocina con comedor de diario, lavanderia, cuarto y baño de servicio. 3 dormitorios (el principal con baño incorporado y walk in closet), los otros dos dormitorios comparten baño. En un segundo piso hay otra sala de estar con vista a la sala. 4 cocheras en total (2 adentro y 2 afuera) Pago asociación: S/. 300 soles aprox. Precio venta: us 650, 000. informes: inmobiliaria la villanueva. fon0: 9 81 50 4 2 43. fono: 99 9 4 44 51 0. Correo: Ver datos|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-chorrillos-lima-3-dormitorios-145208052?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=6|2025-12-08
urbania|casas|venta|Lima Sur|Chorrillos|"Calle Barrio Nuevo N°xxx
Chorrillos, Lima"|S/ 1,725,000 · USD 487,200|1725000|487200|||"336 m² tot.
1 dorm.
1 baño"|336|1|||Casa como terrenomuy bien ubicada cerca en malecon grauexcelente para construir oficinastotal de las 2 casas at. 336 mts $487, 200 ( 1, 450 X M2) se venden dos casas juntascasa 1: 213 x 1, 450 = $ 308, 850casa 2: 123 x 1, 400 = $ 178, 350|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-chorrillos-lima-1-dormitorio-147247250?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=7|2025-12-08
urbania|casas|venta|Lima Sur|Chorrillos|"Calle Alameda del Premio Real 840, Chorrillos
La Encantada De Villa, Chorrillos"|S/ 2,477,900 · USD 710,000|2477900|710000|||"976 m² tot.
4 dorm.
3 baños
3 estac."|976|4|3|3|"Ubicada en una de las zonas más exclusivas y tranquilas de Chorrillos, esta casa en La Encantada de Villa ofrece un estilo de vida ideal para familias. Con un terreno de 973 m², amplias áreas verdes, piscina, terrazas y zona de parrilla con horno de leña, está rodeada de colegios reconocidos como Cambridge College Lima, St. George College Villa, Nido Encantada y la Casa de Cartón. A media cuadra de la Alameda de la Encantada y de la Alameda de los Molinos, a una cuadra del Parque Las Hadas. at: 973 m² | ac: 320 m² | 4 dormitorios | 3 baños completos | Piscina | 2 terrazas | Jardín interno + jardín principal | Cocina cerrada con salida al jardín | Bar + sala con chimenea| Hall de doble altura | Lavandería | Cuarto de servicio | Depósito amplio | 3 estacionamientos internosDistribución: Primer nivel: - Hall de ingreso con techos de doble altura. - Sala principal con chimenea de estilo rústico y vista al jardín. - Área de bar integrada. - Comedor amplio con salida al jardín. - Cocina cerrada con acceso al jardín, a la zona de parrillas y a la lavandería. - Dormitorio en primer nivel (ideal para personas mayores o como estudio). - Baño completo (junto al dormitorio, también usado como baño de visitas). - Jardín frontal interno y gran jardín posterior con piscina. - 2 terrazas y zona de parrilla con horno de leña y fuente de piedra para paella. - Área de lavandería, cuarto de servicio. - Amplio depósito en drywall al final del gran jardín posterior. - 3 estacionamientos internos. Segundo nivel: - Dormitorio principal amplio con vista a la piscina y jardín, chimenea, techos altos de madera, walk-in closet, baño con jacuzzi, ducha y doble lavamanos. - Dormitorio secundario 1 con vista a la fachada y espacio para cama queen o king. - Dormitorio secundario 2 con vista al jardín y espacio para cama queen o King- Baño completo compartido por los dos dormitorios secundarios. Características principales y de la zona: - 18 años de antigüedad. - Techos altos, buena iluminación y ventilación. - Zona residencial muy segura y tranquila. - Cercanía a colegios de prestigio y parques. - Amplios espacios exteriores e interiores ideales para familias numerosas o para recibir invitados. - Pisos de madera."|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-la-encantada-de-villa-chorrillos-4-dormitorios-146717694?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=8|2025-12-08
urbania|casas|venta|Lima Sur|Chorrillos|"Alameda DE LOS Molinos Cdra. 2
La Encantada De Villa, Chorrillos"|S/ 3,060,000 · USD 850,000|3060000|850000|||"1000 m² tot.
4 dorm.
4 baños
4 estac."|1000|4|4|4|Casa en villa con piscina Y jardín cerca al malecon cedros de villa. alameda de los molinos cdra. 2, la encantada de villa. Ref.: cerca avds. Principales, universidades, etc. Área Terreno: 1003 m2. Área Construido: 389 m2. Antigüedad: 16 años aprox. Remodelada recientemente (cocina Y baños con griferias marca kohler) 4 dormitorios, 4. 5 baños, 4 cocheras, depósito. 1er piso: Hall de ingreso, sala con techo doble altura, comedor y sala de estar con salida y vista al jardìn, escritorio, bar, baño de visita y cocina amplia con comedor de diario. Terraza, jardín amplio, piscina grande y jacuzzi al lado de la piscina, baño completo para la piscina de jardín. Parrilla con zona de bar. Área de servicio completo: 2 cuartos, un baño y lavanderìa. 2do piso: Una sala de estar amplia. Dormitorio principal con 2 walk in closet, baño incorporado. 3 dormitorios secundarios con walk in closet cada uno, un dormitorio secundario con baño incorporado y los otros 2 comparten un baño. Venta: usd 850, 000|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-la-encantada-de-villa-chorrillos-4-dormitorios-145863578?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=9|2025-12-08
urbania|casas|venta|Lima Sur|Chorrillos|"LA ENCANTADA DE VILLA
La Encantada De Villa, Chorrillos"|S/ 1,680,013 · USD 499,900|1680013|499900|||"390 m² tot.
3 dorm.
3 baños
2 estac."|390|3|3|2|"En el corazón de La Encantada de Villa, uno de los sectores residenciales más exclusivos y tranquilos de Chorrillos, se encuentra esta casa de estreno diseñada para quienes valoran el espacio, la privacidad y un estilo de vida cerca al mar. La ubicación es privilegiada: cerca del Country Club El Bosque, Lima Marina Club, colegios, como el Cambridge, Villa Alarife, St. George’s, etc, áreas verdes, cafés, restaurantes y con accesos cómodos hacia Alameda Sur, Huaylas y la Panamericana Sur. Un entorno seguro, ordenado y de baja densidad, ideal para vivir con calma sin renunciar a la conectividad. Una casa pensada para vivir mejor. Área de terreno: 190. 00 m² Área construida: 220. 60 m² Área ocupada: 390. 40 m² Primer piso – espacios amplios que se integran al exterior. La casa recibe con una sala y comedor de muy buena iluminación, conectados mediante mamparas a la terraza y al jardín. La cocina abierta ofrece una distribución moderna con tableros de granito blanco, reposteros de alta calidad y un diseño práctico que combina estética y funcionalidad. Incluye baño de visitas, escritorio y estacionamiento para dos autos dentro de la propiedad. Cabe resaltar que este nivel cuenta con una altura de 3. 00mts de piso a techo, logrando una sensación de amplitud y confort, los ambientes se sienten más grandes y elegantes. Segundo piso – zona privada bien distribuida. Cuenta con tres dormitorios cómodos, donde el dormitorio principal destaca por su baño incorporado y amplio walk-in closet. Los secundarios tienen también baño incorporado. Una sala de estar central complementa el diseño, ideal como family room o área de estudio. Tercer piso – el espacio perfecto para disfrutar. Un nivel pensado para reunir y relajarse: gran terraza social con comedor exterior donde se puede apreciar el mar, zona de descanso y una kitchenette que permite aprovecharla todo el año. Además, incluye sala multiuso, lavandería, cuarto y baño de servicio. ________________________________________. un condominio exclusivo. Solo 10 casas en total, con arquitectura contemporánea, accesos controlados y un diseño interno que prioriza el orden y la tranquilidad. El ingreso vehicular y peatonal está cuidadosamente planteado para ofrecer privacidad y seguridad. La casa en venta es la número 9. ________________________________________. Una casa de estreno en La Encantada de Villa, dentro de un condominio moderno, con amplios ambientes, una terraza excepcional y una distribución que acompaña cada etapa de la vida, es la combinación que muchos buscan y pocos encuentran disponible. Una oportunidad ideal si deseas mudarte a una zona exclusiva, segura y con la calidad de vida que tu familia merece. No paga Alcabala por ser de estreno. Entrega enero 2026. ""Disponemos de un recorrido virtual en 3D que permite apreciar todos los ambientes de manera íntegra"""|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-la-encantada-de-villa-chorrillos-3-dormitorios-148280011?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=10|2025-12-08
