fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
urbania|casas|venta|Lima Top|Miraflores|"Calle Italia 260
Miraflores, Lima"|S/ 638,000 · USD 183,000|638000|183000|||"28 un.
1 a 3 dorm.
68 a 141 m² tot."|68 a 141|1 a 3|||Rodas combina lujo, comodidad y modernidad en cada detalle. Disfruta de la cercanía al malecón, a restaurantes de renombre y a las mejores tiendas, todo a pocos pasos de tu hogar. Este es el lugar donde la vida urbana se encuentra con la tranquilidad y la belleza de la costa limeña. ¡Haz de Miraflores tu nuevo hogar!|https://urbania.pe/inmueble/proyecto/ememvein-proyecto-edificio-rodas-lima-miraflores-inmobiliaria-macaria-sac-146732781?n_src=Listado&n_pg=1&n_pos=1|2026-01-03
urbania|casas|venta|Lima Top|Miraflores|"Calle Enrique del Horme al 200
Miraflores, Lima"|S/ 1,809,000 · USD 540,000|1809000|540000|||"282 m² tot.
3 dorm.
3 baños
2 estac."|282|3|3|2|Urban houses – vive el estilo Y confort en mirafloresurban Houses es un exclusivo condominio de 3 casas que combina diseño moderno, funcionalidad y ubicación privilegiada en el corazón de Miraflores. Dirección: Calle Enrique del Horme, Miraflores. A espaldas de Av. 28 de Julio. Cerca de Tottus, Wong, Plaza Vea y prestigiosos colegios. Rodeado de parques, restaurantes y servicios. Distribución principal: Primer nivel: 2 estacionamientos, depósito y hall de ingreso. Segundo nivel: Sala y comedor con salida al jardín, cocina con comedor de diario y baño de visitas. Tercer nivel: Dormitorio principal con baño incorporado, walk-in closet y terraza + 2 dormitorios secundarios con baño privado. Cuarto nivel: Sala de tv, terraza con zona de parrilla, piscina privada, lavandería y cuarto de servicio. Características: Casas de 280 m² aprox. Area de Terreno: 105 m2 la casa 1 y las otras dos de 104 m2 Area de Construccion: Primera casa de 282 m2 y las otras dos de 315 m2 Terrazas de 56 m2 Ambientes amplios, iluminados y ventilados. Piscina y área social privada en cada unidad. Contado: desde us$ 540, 000|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-miraflores-lima-3-dormitorios-147571418?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=2|2026-01-03
urbania|casas|venta|Lima Top|Miraflores|"LA Aurora
Miraflores, Lima"|S/ 2,250,000 · USD 750,000|2250000|750000|||"393 m² tot.
5 dorm.
3 baños
4 estac."|393|5|3|4|Casa en venta en La Aurora, Miraflores – 3 niveles con jardín, chimenea y 4 cocherasUbicada en una de las zonas residenciales más tranquilas y agradables de Miraflores, esta casa de tres niveles se encuentra cerca de parques, colegios, tiendas y cafés. La ubicación privilegiada de La Aurora ofrece un estilo de vida cómodo y funcional, ideal para familias que desean tranquilidad sin alejarse de los servicios y áreas verdes. Distribución de la vivienda• Primer piso: Sala, comedor con chimenea, escritorio independiente, jardín con terraza y área de parrilla, cocina con comedor de diario y cochera para 4 autos. • Segundo piso: Amplio family room, 5 dormitorios y 3 baños completos. • Tercer piso: Área de lavandería, cuarto y baño de servicio, amplio depósito. Además, la casa se encuentra a pocos pasos de un parque, lo que invita a disfrutar de actividades al aire libre y momentos de relajación en un entorno seguro y familiar. Beneficios• Ambientes amplios y luminosos: La distribución permite que cada espacio sea funcional y acogedor. • Zona residencial y segura: La cercanía a parques y servicios hace que la vivienda se ubique en una de las áreas más buscadas de Miraflores. • Estacionamiento cómodo: Cochera con capacidad para cuatro vehículos, facilitando la logística familiar. ContáctanosSi deseas más información o quieres programar una visita, no dudes en contactarnos. Esta casa en La Aurora combina comodidad, ubicación y amplitud: ¡un hogar ideal para tu familia! El precio publicado en soles es referencial y puede variar según el tipo de cambio vigente al momento de la transacción.|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-miraflores-lima-5-a-mas-dormitorios-148537403?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=3|2026-01-03
urbania|casas|venta|Lima Top|Miraflores|"Av de La Aviacion
Miraflores, Lima"|S/ 1,581,000 · USD 465,000|1581000|465000|||"175 m² tot.
3 dorm.
2 baños
1 estac."|175|3|2|1|Área de terreno: 175. 40 m² Área construida: 230. 70 m² Antigüedad: 82 años. Dormitorios: 3. Estacionamiento: 1 garaje. Linderos: Frente de 7. 45 ml. Derecha de 19. 30 ml y 4. 40 ml. Izquierda de 19 ml y 11. 20 ml. Fondo de 3. 75 ml. Descripción: Primer piso: • Jardín exterior ideal para disfrutar de la naturaleza. • Elegante sala de recibo que conecta con la amplia sala y comedor, ambos con pisos de parquet en excelente estado. • Medio baño de visitas convenientemente ubicado. • Cocina espaciosa con reposteros altos y bajos, área de comedor de diario e ingreso de servicio independiente. • Patio interior con medio baño, acceso directo al garaje y escalera auxiliar al segundo piso. Segundo piso: • Salita de distribución con acceso a las habitaciones. • Dormitorio principal con una encantadora terracita privada. • 2 dormitorios secundarios de buen tamaño. • Baño completo compartido por los dormitorios, con acceso directo a la azotea. • Sala de estar o estudio que podría funcionar como un dormitorio adicional. • Dos habitaciones pequeñas utilizadas actualmente como depósitos. Azotea: • Patio y lavandería con tendal. • Cuarto y baño de servicio. Información adicional: • Estado: Casa para remodelar, ideal para personalizar al gusto. • Zonificación: rdm. • Frentes: La propiedad cuenta con dos frentes. • Pisos: Los pisos de la sala y comedor son de parquet; en el segundo nivel, los pisos de los dormitorios y depósitos son de madera, y en la sala de estar también de parquet. • Excelente ubicación, a cuadra y media del malecón, en una zona tranquila y cerca de la Av. Pardo, con parques a poca distancia. Esta casa es una oportunidad única para remodelar y disfrutar de la tranquilidad y el encanto de Miraflores, con todas las comodidades y una ubicación privilegiada cerca del malecón. También contamos con otras alternativas bastante similares en la misma zona y presupuesto, para nosotros será un gusto enviarle un listado para que Ud. Escoja ¿cuál sería de su interés? (con características similares a esta propiedad) a su correo, así facilitamos su búsqueda y si desea comuníquese con nosotros al 9. 9. 4. 2. 0. 7. 8. 6. 0. Será un gusto atenderlos!|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-miraflores-lima-3-dormitorios-143618730?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=4|2026-01-03
urbania|casas|venta|Lima Top|Miraflores|"Av. Roca Boloña, al 500
Aurora, Miraflores"|S/ 3,654,000 · USD 1,050,000|3654000|1050000|||"360 m² tot.
6 dorm.
5 baños
6 estac."|360|6|5|6|Oportunidad Inversionistas Ideal Proyecto Inmobiliario Vendo Casa en Miraflores Se encuentra en una Zona Residencial y segura de Miraflores Área Terreno: 476. 00 m²Área Construida: 390. 00 m²Zonificación rdb Parámetros para 5 pisos6 Habitaciones 5 Baños 6 Cocheras 30 años de Antigüedad Primer Piso: - 3 habitaciones o ambientes amplias- 3 baños- área de cocina- Patio con jardines- Ambientes separadas con mamparas de pared a paredSegundo Nivel: - 4 ambientes - 2 baños- con vista exterior- Cuenta con 6 estacionamientosUbicación: - Estupenda ubicación en la Av. Roca y Boloña, Urb. Aurora- A cuatro cuadras del Centro Comercial Aurora (Wong, Starbucks, entidades financieras, farmacias. - Ubicado cerca a la Av. Tomas MarsanoPrecio: us$ 1´050, 000Sujeto a tipo de cambio sbs Para más información contactarme vía WhatsApp al +5. 1. 9. 8. 6. 6. 0. 0. 6. 9. 3 Carmen Lucia CastroR. U. C Ver datos|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-aurora-miraflores-5-a-mas-dormitorios-148548370?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=5|2026-01-03
urbania|casas|venta|Lima Top|Miraflores|"Calle Gomez Sanchez 100 Urb. LA Aurora
Miraflores, Lima"|S/ 3,121,000 · USD 830,000|3121000|830000|||"507 m² tot.
3 dorm.
3 baños
4 estac."|507|3|3|4|Remodelada hace 12 años primer piso: aquiler con linea blancasala con techo doble altura, 1 recibo½ baño de visita1 escritorio con chimenea1cocina con comedor de diario3 despensas: 1 chica, 1 mediana Y una muy amplia2 salas, una con chimenea1 comedor1 terraza Y jardinera1 dormitorio principal, amplio walking closet, baño completo conjacuzzi1 closet adicional1 sótano: cava de vinos Y depósito maletero / otrossegundo piso: 1 sala familiar amplia2 terrazas techadas1 zona de parrilla Y horno de barro con lavadero2 dormitorios, cada uno con closets Y baño incorporado1 closet de ropa blanca1 área de lavandería Y planchado1 lavadero Y tendaltercer piso: 1 cuarto amplio de servicio Y baño completo1 area de usos múltiples (puede ser oficina, escritorio, cuarto dehuéspedes, depósito, etc) 1 terraza amplia1 tendal principalcocheras paralelas sin techardormitorio principal Y secundario con baño incorporado, el tercer dormitorio tiene baño al costado|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-miraflores-lima-3-dormitorios-142155183?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=6|2026-01-03
urbania|casas|venta|Lima Top|Miraflores|"CALLE GUILLERMO GASTAÑETA
Aurora, Miraflores"|S/ 3,905,000 · USD 1,100,000|3905000|1100000|||"444 m² tot.
4 dorm.
5 baños
2 estac."|444|4|5|2|Calle guillermo gastañeta cdra. 1 – la aurora, miraflores. Ref: altura cdra. 19 de av. Miraflores, cerca a Wong de La Aurora, a media cdra de Villaran. A. Terreno: 444m2. A. Construida: 590m2. Antigüedad: 15 años remodelada totalmente ( tuberías y sistema eléctrico y en el 2017 el 2do piso, terraza, piscina y gimnasio) Casa de 2 pisos. 4 dormitorios, 5. 5 baños, piscina, 2 cocheras paralelas. 1er piso: Hall de ingreso, 2 salas, comedor, escritorio, baño de visitas, terraza con jardín (techo sol y sombra), cocina cerrada y patio. 3 dormitorios: El principal con walk in closet, aire acondicionado y baño incorporado con jacuzzi, los dormitorios secundarios con baño incorporado cada uno. 2 cocheras tipo paralelas. 2do piso: Dormitorio con baño, sala de estar con tv, ecran, proyector y sonido, gimnasio amplio con gran depósito y un baño completo afuera, lavandería, 2 cuartos de servicio y un baño. Segunda terraza con techo sol y sombra, piscina y parrilla. Pisos de porcelanato en área social y privada. Precio venta: us$ 1’100, 000|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-aurora-miraflores-4-dormitorios-147616463?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=7|2026-01-03
urbania|casas|venta|Lima Top|Miraflores|"Francisco Quiñones Lastres
Miraflores, Lima"|S/ 4,250,000 · USD 1,250,000|4250000|1250000|||"520 m² tot.
5 dorm.
4 baños
3 estac."|520|5|4|3|Ubicada en una tranquila calle de una sola cuadra, a pasos de la parroquia Santa Rita de Casia y del parque José Gálvez Barrenechea, esta hermosa casa combina elegancia, funcionalidad y un estilo contemporáneo ideal para disfrutar en familia. Primer Nivel: Un acogedor jardín frontal con estacionamiento para hasta tres autos da la bienvenida a esta amplia residencia. Al ingresar, encontramos un elegante recibo, dos amplias salas y un comedor con techo de doble altura, bar con cava y baño de visitas. El área social se integra a un encantador jardín interior con zona de parrilla, piscina y baño completo, perfecto para reuniones y momentos de relax. La moderna cocina, equipada con línea blanca empotrada, cuenta con una práctica isla central, muebles altos y bajos, tableros de granito y comedor de diario. Segundo Nivel: Un amplio hall de distribución conduce a un escritorio y a una sala de estar con aire acondicionado. En esta planta se ubican cuatro dormitorios: dos con baño incorporado y dos que comparten un baño. Uno de ellos también cuenta con aire acondicionado. Tercer Nivel: El dormitorio principal es un verdadero refugio privado: muy espacioso, con balcón, walk-in closet, gran baño, aire acondicionado y sauna con ducha española. Este nivel incluye además un gimnasio, área de lavandería y zona de servicio completa (cuarto y baño). La casa ofrece una excelente distribución, ambientes amplios y luminosos, y acabados de primera calidad. Es ideal para quienes buscan confort, privacidad y una ubicación privilegiada en una de las zonas más exclusivas y residenciales de Miraflores.|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-miraflores-lima-5-a-mas-dormitorios-147859963?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=8|2026-01-03
urbania|casas|venta|Lima Top|Miraflores|"Miguel Aljovin al 385, Miraflores
Miraflores, Lima"|S/ 2,544,619 · USD 690,000|2544619|690000|||"321 m² tot.
3 dorm.
2 baños
2 estac."|321|3|2|2|Linda y acogedora casa zona tranquila, excelente ubicación, cerca a principales avenidas como Av. Rep. De Panamá Av. 28 de Julio, cerca a parques y área comercial. Esquina con calle Honduras. Cerca a principales colegios como Carmelitas, Pestalozzi, Saint George, Santa Rita de Casia, entre otroscaracteristicas: - 321 m2- 3 dormitorios- 2 1/2 baños- Jardín con terraza- Garage para 2 autos- Área de servicio completacaracteristicas generales: Es una linda casa, con buena iluminación, con un jardín, terraza y parrilla, ideal para compartir con familia y amigos. Queda en una esquina con la calle Honduras y tiene un amplio frente de 18mts para estacionar 5 autos. distribución: Se ingresa a un hall de distribución, hacia el lado izquierdo está el baño de visitas, sigue la sala y comedor, ambos tienen mamparas con vista al jardín, lo cual permite integrarlos a la terraza y a la parrilla. La cocina es cerrada, con espacio para comedor de diario. Hay una sala bar con una barra, el mismo que podría ser un family room o salita de estar. Subiendo 5 escalones tenemos la zona independiente de dormitorios, el dormitorio principal tiene baño incorporado, los otros 2 dormitorios comparten un baño. Todos cuentan con closets. El garage es para 2 autos, tiene 2 puertas de garage. La zona de servicio es amplia y consta de cuarto y baño de servicio así como una lavanderia con tendal y closets de depósito. Contacto: Ana Maria Zumaeta9. 9. 9. 0. 9. 0. 9. 7. 0. _________Jessica Tapia - Asociados: Tu socio inmobiliario en PerúTe ayudamos a vender, comprar o alquilar tu propiedad con un servicio personalizado y profesional. Encontramos el comprador, inquilino o inmueble perfecto para ti, asegurando que todo el proceso sea ágil y seguro. Visita nuestra web y haz realidad tus metas inmobiliarias|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-miraflores-lima-3-dormitorios-146277657?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=9|2026-01-03
urbania|casas|venta|Lima Top|Miraflores|"Calle Tnt Crn Gustavo Escudero Otero 228 Miraflores
Alexander Von Humboldt, Miraflores"|S/ 1,948,800 · USD 580,000|1948800|580000|||"397 m² tot.
5 dorm.
5 baños
5 estac."|397|5|5|5|Descripción de la propiedad mínimo 130 palabras: Venta de casa en Miraflores 397 mts2, tres pisos. Venta de casa para remodelar. Antigüedad 38 años. Primer nivel. Estacionamiento para 5 carros. Sala, comedor, escritorio, baño de visita, amplia cocina cerrada, jardín, dormitorio con dos ambientes y baño incorporado, lavandería. Segundo nivel. 4 dormitorios. Dormitorio principal con baño incorporado y walking closet amplio. Segundo dormitorio con baño incorporado. Los otros dos dormitorios comparten baño. Hall de distribución amplio. Tercer nivel. Mini departamento. Cocina, sala, comedor baño completo, dos dormitorios y zona de lavandería|https://urbania.pe/inmueble/clasificado/veclcain-venta-de-casa-en-alexander-von-humboldt-miraflores-5-a-mas-dormitorios-147516733?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=10|2026-01-03
