fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
adondevivir|departamentos|venta|Lima Centro|Lima Cercado|"Av. Oscar R. Benavides 1740
Mirones, Lima Cercado"|"Departamentos y habitaciones desde
S/ 185,700"|185700|||200|"245 un.
1 a 3 dorm.
31 a 127 m² tot."|31 a 127|1 a 3|||"En un mundo re+acelerado, anhelamos espacios que nos permitan re+conectar con lo que realmente importa: Nuestra familia. Este proyecto te ofrece ese re+fugio en el corazón de Cercado de Lima. Albamar | Re+, ofrece un espacio re+distribuido para familias con una vida llena de propósito y satisfacción, re+conectando con áreas comunes que impulsan a re+compartir con tu familia y amigos, espacios verdes que invitan a re+lajarte y departamentos pensados para re+adaptarse a tu estilo de vida. Este proyecto cuenta con 23 pisos + Azotea donde podrás encontrar flats desde 31 m2 hasta 66 m2 de 1, 2 y 3 dormitorios diseñados para tu comodidad y la de tu familia. Visita nuestra sala de ventas y depa piloto en Av. Óscar R. Benavides (ex colonial)"|https://www.adondevivir.com/propiedades/proyecto/ememhvin-albamar-re-144109153.html?n_src=Listado&n_pg=1&n_pos=1|2026-03-18
adondevivir|departamentos|venta|Lima Centro|Lima Cercado|"Av. Arequipa 1444
Santa Beatriz, Lima Cercado"|"Departamentos desde
S/ 193,894"|193894|||300|"303 un.
1 a 2 dorm.
23 a 75 m² tot."|23 a 75|1 a 2|||Nuestro nuevo y próximo proyecto busca brindarles a nuestros clientes, la simplicidad de vivir en familia.|https://www.adondevivir.com/propiedades/proyecto/ememefin-minimal-santa-beatriz-en-construccion!-142580290.html?n_src=Listado&n_pg=1&n_pos=2|2026-03-18
adondevivir|departamentos|venta|Lima Centro|Lima Cercado|"Av Colonial 2200
Lima Cercado, Lima"|"Departamentos desde
S/ 168,092"|168092||||"311 un.
1 a 3 dorm.
35 a 65 m² tot."|35 a 65|1 a 3|||¡descubre el proyecto cedro 33 en lanzamiento! Ven Y conoce nuestros 3 departamentos pilotos. ¡Tu nuevo depa está en Cedro 33! Ubicado en la zona residencial de la Avenida Colonial en el Cercado de Lima, Cedro 33 es un proyecto que te ofrecerá calidad de vida en un entorno seguro para ti y tu familia, en ella encontrarás 14 áreas comunes (Gimnasio, Sala de Reuniones, Zona de parrillas, una increible piscina panoramica y muchas más) Su estratégica ubicación te permitirá conectarte con los diferentes distritos a través de vías principales, muy cerca a parques, colegios, universidades, mercados y supermercados, Visítanos en nuestra Sala de Venta y conoce nuestros 3 departamentos pilotos. **Precios publicados incluyen descuentos de acuerdo con la campaña vigente y se encuentra sujeto a disponibilidad.|https://www.adondevivir.com/propiedades/proyecto/ememvein-cedro-33-144570211.html?n_src=Listado&n_pg=1&n_pos=3|2026-03-18
adondevivir|departamentos|venta|Lima Centro|Lima Cercado|"Av. República de Venezuela 1821, Cercado de Lima
Lima Cercado, Lima"|"Departamentos desde
S/ 241,500"|241500||||"326 un.
1 a 3 dorm."||1 a 3|||"Albamar | Flex llega a Cercado de Lima para que tu primer depa sea posible: 28 pisos, 326 depas y diseños flexibles que se adaptan a ti, todo en la mejor ubicación y a un precio que sí puedes alcanzar. Elige como vivir, elige Flex de Albamar Grupo Inmobiliario"|https://www.adondevivir.com/propiedades/proyecto/ememvein-albamar-flex-147800148.html?n_src=Listado&n_pg=1&n_pos=4|2026-03-18
adondevivir|departamentos|venta|Lima Centro|Lima Cercado|"Av. Petit Thouars 980
Santa Beatriz, Lima Cercado"|"Departamentos desde
S/ 193,784"|193784||||"436 un.
1 a 3 dorm.
25 a 70 m² tot."|25 a 70|1 a 3|||Un proyecto multifamiliar pensando en ti y tu familia. Abril Grupo inmobiliario te invita a conocer Tulipán. A pasos del parque de las aguas y parque de la exposición ubicado en la Av. Petit Thouars 980, encontrarás áreas sociales como zona de parrillas para disfrutar con los tuyos, gimnasio equipado para continuar tu rutina sin salir del edificio, terraza amplia, sala de usos múltiples, pet spa y una piscina. Si buscas invertir o tener un estilo de vida por confort y comodidad, Tulipán te espera.|https://www.adondevivir.com/propiedades/proyecto/ememvein-tulipan-142996399.html?n_src=Listado&n_pg=1&n_pos=5|2026-03-18
adondevivir|departamentos|venta|Lima Centro|Lima Cercado|"Jr. Teodoro Cárdenas 645
Santa Beatriz, Lima Cercado"|"Departamentos desde
S/ 301,900"|301900||||"112 un.
1 a 2 dorm.
40 a 94 m² tot."|40 a 94|1 a 2|||Los Cerezos es un proyecto moderno con departamentos de 01 y 02 dormitorios + áreas comunes como lobby, coworking, área de parrillas, bike parking, salón gourmet y terraza diseñados para tu comodidad y tu ritmo. Elige Los Cerezos y vive cerca de las principales avenidas, parques, ciclovía de la Av. Arequipa, colegios, bancos, centros comerciales y más en el barrio tradicional de Santa Beatriz. Los Cerezos cuenta con certificación sostenible edge. Además, podrás acceder a los beneficios del programa Mí vivienda para comprar tu primer hogar.|https://www.adondevivir.com/propiedades/proyecto/ememefin-los-cerezos-142735323.html?n_src=Listado&n_pg=1&n_pos=6|2026-03-18
adondevivir|departamentos|venta|Lima Centro|Lima Cercado|"Av. Venezuela 2305
Lima Cercado, Lima"|"Departamentos desde
S/ 241,021"|241021||||"232 un.
2 a 3 dorm.
49 a 68 m² tot."|49 a 68|2 a 3|||Roble te invita a disfrutar de una vida plena y la oportunidad de crear una historia que perdurará en el tiempo. Lo mejor de tu nuevo hogar es que tendrás muy cerca universidades y centros de trabajo donde podrás disfrutar tus mañanas y llegar a casa sin problemas. Estás bienvenido a crear los recuerdo más memorables con la mejor decisión al elegir Roble.|https://www.adondevivir.com/propiedades/proyecto/ememvein-roble-145932213.html?n_src=Listado&n_pg=1&n_pos=7|2026-03-18
adondevivir|departamentos|venta|Lima Centro|Lima Cercado|"Av. Venezuela 2505
Lima Cercado, Lima"|"Departamentos desde
S/ 278,100"|278100||||"1260 un.
2 a 3 dorm.
64 a 144 m² tot."|64 a 144|2 a 3|||Centriqo Club es un nuevo proyecto ecoamigable de Besco, inmobiliaria con más de 26 años de experiencia y 22, 000 departamentos entregados. Este condominio contará con 1, 260 departamentos distribuidos en 8 torres y ofrece un estilo de vida moderno y sostenible. Ofrecemos departamentos desde 65 m² hasta 141m², con áreas comunes diseñadas para toda la familia: • Piscina. • Sala de usos múltiples. • Gimnasio. • Zona de parrillas. • Áreas verdes. • Juegos para niños. • Losas multideportivas. • Casa club. • Estacionamientos para bicicletas. El proyecto está cerca de universidades, centros comerciales y principales vías de la ciudad, lo que lo convierte en una excelente opción para quienes buscan un hogar en una ubicación estratégica|https://www.adondevivir.com/propiedades/proyecto/ememcein-centriqo-club-143663242.html?n_src=Listado&n_pg=1&n_pos=8|2026-03-18
adondevivir|departamentos|venta|Lima Centro|Lima Cercado|"Calle Urubamba 446
Mariscal Oscar R Benavides, Lima Cercado"|"Departamentos desde
S/ 294,000"|294000||||"10 un.
2 a 4 dorm.
66 a 141 m² tot."|66 a 141|2 a 4|||Residencial Urubamba es nuestro nuevo proyecto frente a parque en el Cercado de Lima, muy cerca a universidades San Marcos y Catolica, avenidas principales. Cuenta con 8 departamentos flats de 2 y 3 dormitorios y 2 duplex con terrazas, 4 estacionamientos, estacionamientos de bicibletas y un moderno ascensor Schindler de ultima generacion. Accede al Bono de buen pagador de S/ 7, 600 soles que te otorga el fondo mi vivienda.|https://www.adondevivir.com/propiedades/proyecto/ememefin-residencial-urubamba-143809170.html?n_src=Listado&n_pg=1&n_pos=9|2026-03-18
adondevivir|departamentos|venta|Lima Centro|Lima Cercado|"Av.Mariano Cornejo 1604
Lima Cercado, Lima"|"Departamentos desde
S/ 239,500"|239500|||250|"130 un.
1 a 3 dorm.
31 a 73 m² tot."|31 a 73|1 a 3|||Edificio en construccion, con departamentos de 1, 2 y 3 dormitorios, proyecto ecoamigable con + de 8 àreas comunes, cuenta con grupo electrogeno para constante funcionamiento del asensor y evitar el corte de agua, asi halla o no halla luz. Tenemos depas con cuotas desde S/. 1, 840. Visítanos de Lunes a Domingo de 10 am a 7 pm. Dirección: Av. Mariano Cornejo 1604 (entre la pucp y la plaza de la bandera)|https://www.adondevivir.com/propiedades/proyecto/ememvein-evolution-148887647.html?n_src=Listado&n_pg=1&n_pos=10|2026-03-18
