fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
adondevivir|departamentos|venta|Lima Moderna|Jesus Maria|"Av. 28 de Julio 232
Jesús María, Lima"|"Departamentos desde
S/ 228,279"|228279||||"270 un.
1 a 3 dorm.
34 a 68 m² tot."|34 a 68|1 a 3|||Ubicado estratégicamente sobre una avenida y a solo dos cuadras del emblemático Campo de Marte, Torre Nápoles te ofrece la combinación perfecta de conectividad, naturaleza y vida urbana. Disfruta de un hogar rodeado de parques, colegios reconocidos y centros comerciales como La Rambla Brasil, todo a pocos minutos caminando. Además, este proyecto cuenta con certificación edge, garantizando eficiencia energética, ahorro de agua y un compromiso real con la sostenibilidad. Una propuesta pensada para quienes valoran la ubicación, el bienestar y la proyección de su inversión.|https://www.adondevivir.com/propiedades/proyecto/ememefin-torre-napoles-148541698.html?n_src=Listado&n_pg=1&n_pos=1|2026-02-01
adondevivir|departamentos|venta|Lima Moderna|Jesus Maria|"Av. San Felipe 1190
Salaverry Et.2, Jesús María"|"Departamentos desde
S/ 481,000"|481000||||"131 un.
1 a 3 dorm.
52 a 77 m² tot."|52 a 77|1 a 3|||La oportunidad de vivir a tu manera en San Felipe 1190. Proyecto con áreas comunes como piscina, zonas de parrilla, zona pet, sum de niños. Además está cerca a centros comerciales, universidades, restaurantes y conectado a avenidas principales.|https://www.adondevivir.com/propiedades/proyecto/ememefin-san-felipe-1190-144712904.html?n_src=Listado&n_pg=1&n_pos=2|2026-02-01
adondevivir|departamentos|venta|Lima Moderna|Jesus Maria|"Av. Salaverry 1082, Jesus Maria
Salaverry Et.2, Jesús María"|"Departamentos desde
S/ 269,314"|269314|||350|"84 un.
1 a 3 dorm.
38 a 73 m² tot."|38 a 73|1 a 3|||Proyecto ubicado en la mejor zona de Jesus Maria|https://www.adondevivir.com/propiedades/proyecto/ememefin-salaverry-1082-145189518.html?n_src=Listado&n_pg=1&n_pos=3|2026-02-01
adondevivir|departamentos|venta|Lima Moderna|Jesus Maria|"Jr. Coronel Zegarra 1045 - 1057
Jesús María, Lima"|"Departamentos desde
S/ 519,006"|519006||||"36 un.
2 dorm.
69 m² tot."|69|2|||¡Descubre monterosso! ¡Últimos departamentos disponibles! Departamentos en entrega inmediata con 9 pisos ubicada en una de las zonas más privilegiadas de Jesús María, a solo unos pasos de la Municipalidad de Jesús María y la Plaza San José, rodeado de todo lo que necesitas para una vida plena. A pocos minutos de centros comerciales, universidades, colegios y parques, todo al alcance de tu mano. El edificio cuenta con Lobby, un ascensor para tu comodidad, jardín botánico en último piso, zona de parrilla y la posibilidad de disfrutar de la comodidad del gas Cálida en tus espacios, además de acabados modernos. ¡Ahora puedes conocer nuestro departamento piloto! ¡Agenda tu cita hoy! Nuestra sala de ventas: Jr. Coronel Zegarra 1045 - 1057, Jesús María|https://www.adondevivir.com/propiedades/proyecto/ememvein-monterosso-142546910.html?n_src=Listado&n_pg=1&n_pos=4|2026-02-01
adondevivir|departamentos|venta|Lima Moderna|Jesus Maria|"Jirón Inca Ripac 338
Jesús María, Lima"|"Departamentos desde
S/ 337,304"|337304|||290|"49 un.
1 a 3 dorm.
38 a 139 m² tot."|38 a 139|1 a 3|||¡Descubre Vernazza, tu próximo departamento en zona residencial! Proyecto en construcción de 10 pisos, ubicado en Jesús María, en el límite con San Isidro. Contarás con lobby y estacionamiento para bicicletas. Vernazza te ofrece la oportunidad de vivir rodeado de parques, universidades, colegios, centros comerciales y una amplia variedad de restaurantes, todo al alcance de tu nuevo hogar. Estarás a solo 5 cuadras del centro comercial Real Plaza Salaverry, y muy cerca de lugares como la residencial San Felipe, la Universidad del Pacífico y la upc. Contamos con departamentos flat y dúplex en preventa con excelentes acabados, desde 38. 50 m² hasta 167. 22 m², con opciones de 1, 2 y hasta 3 dormitorios. ¡No pierdas la oportunidad única de ser parte de este exclusivo proyecto! Visítanos en nuestra sala de ventas: Jr. Inca Rípac N. ° 338, Jesús María|https://www.adondevivir.com/propiedades/proyecto/ememvein-vernazza-143380492.html?n_src=Listado&n_pg=1&n_pos=5|2026-02-01
adondevivir|departamentos|venta|Lima Moderna|Jesus Maria|"Av San Felipe 1110
Jesús María, Lima"|"Departamentos desde
S/ 269,542"|269542||||"460 un.
1 a 3 dorm.
35 a 89 m² tot."|35 a 89|1 a 3|||¡Tu nuevo hogar te espera en Gran Manzano! Descubre tu nuevo hogar en el corazón de Jesús María, una ubicación estratégica que te conecta con todo lo que necesitas. A solo minutos de centros comerciales como Real Plaza Salaverry, a la Universidad del Pacífico y upc y con la vía principal Av. San Felipe, que te permitirá estar conectado a los principales distritos de Lima. Este proyecto te ofrece una combinación perfecta de cultura y comodidad. Elige entre nuestros departamentos de 1, 2 y 3 dormitorios, diseñados para adaptarse a tu estilo de vida. El proyecto está en lanzamiento. ¡Ven a visitarnos y descubre tu futuro hogar! **Precios publicados incluyen descuentos de acuerdo con la campaña vigente y se encuentra sujeto a disponibilidad.|https://www.adondevivir.com/propiedades/proyecto/ememvein-gran-manzano-145898550.html?n_src=Listado&n_pg=1&n_pos=6|2026-02-01
adondevivir|departamentos|venta|Lima Moderna|Jesus Maria|"Av. San Felipe
Jesús María, Lima"|S/ 1,224,000 · USD 360,000|1224000|360000||200|"190 m² tot.
4 dorm.
2 estac."|190|4||2|Hermoso duplex en jesús mariaárea total = 190m² Área cubierta = 140m² Área semi cubierta= 50m²Este departamento se encuentra ubicado dentro de un condominio que ofrece excelentes comodidades, como piscina para adultos y niños, zona de parrillas, y áreas interactivas para adultos, jóvenes y los más pequeños del hogar. Está situado en la reconocida Av. San Felipe, una de las zonas más cómodas, residenciales, seguras y accesibles de Jesús María. La ubicación es privilegiada: a pocos minutos de la Universidad del Pacífico (up), Real Plaza Salaverry, Metro de Pershing, del Teatro Peruano Japonés y de la Clínica Peruano Japonesa. Todo lo que necesitas está realmente cerca. Distribución: Al ingresar al departamento, encontramos el comedor con piso de porcelanato tipo madera, seguido de la sala con centro de entretenimiento empotrado y acceso a un balcón con mamparas, que aporta luz natural y ventilación. A un lado se ubica un espacio versátil, ideal como zona de bar, estudio o sala de estar. Frente a este ambiente está la cocina, amplia, ventilada e iluminada, con encimera de mármol, cajonería de melamina y espacio para refrigeradora de dos puertas. También cuenta con un baño de visitas moderno. Primer piso – Zona privadaIncluye un dormitorio principal, amplio e iluminado, con clóset moderno de puertas de vidrio, baño propio y un pequeño rincón ideal para lectura. Además, tiene un dormitorio secundario con clóset y un tercer dormitorio más pequeño, perfecto para visitas o estudio. Segundo pisoEn este nivel encontramos un dormitorio grande y ventilado, un baño completo en el pasadizo y una terraza amplia con excelente vista, ideal para reuniones y parrilladas. Finalmente, cuenta con área de servicio con lavandería y dormitorio de servicio. No lo pienses demasiado, este dúplex te espera. ¡Agenda tu visita ahora!|https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-jesus-maria-148671271.html?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=7|2026-02-01
adondevivir|departamentos|venta|Lima Moderna|Jesus Maria|"Av. Gral. Eugenio Garzón al 2000
Jesús María, Lima"|S/ 332,000 · USD 98,516|332000|98516|||"41 m² tot.
1 dorm.
1 baño"|41|1|||Edificio moderno con una ubicación estratégica que te permite estar cerca de todo lo que necesitas para vivir cómodamente, en espacios creados con mucho estilo que se adaptan al ritmo de vida de hoyNuestro proyecto es el equilibrio entre lo céntrico y residencial. Muy cerca de dos centros comerciales, supermercados, colegios, parques, centros de salud y mucho más. Principales Características Área: 41, 70m2Dorm: 1 (tipo loft) Piso: 7 y 8 Vista.: Interior iluminada Combinación de espacio y comodidad para tu hogar• Sala - Comedor con buen ingreso de iluminación y ventilación• Cocina estilo americana con muebles altos y bajos (incluye campa, horno y encimera) • Closet de lavandería (incluye terma) • Espacio para una cama de 2 plazas o queen • Baño completo con cajonería Tu nuevo depa con las mejores áreas comunes para disfrutar y compartir• Lobby de Ingreso• Zona de Parrillas• Zona de Niños• Coworking• Bike Parking• Lavandería• Pat SpaAdicionales • Cocheras desde S/. 55, 000 • Financiado por el bcp Tipo de cambio referencial. El precio es el soles agenda tu visita Y aprovecha esta excelente oportunidad de vivir en una de las mejores zonas de lima|https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-moderno-departamento-de-1-dorm-a-minutos-de-la-148126910.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=8|2026-02-01
adondevivir|departamentos|venta|Lima Moderna|Jesus Maria|"Luis Milguel Sanchez Cerro
Oyague, Jesús María"|S/ 770,000 · USD 229,000|770000|229000|||"143 m² tot.
3 dorm.
4 baños
1 estac."|143|3|4|1|Vendo amplio dpto en 2do piso con ascensor, amplia sala y comedor baño de visita completo. Cocina remodelada, lavandería, cuarto y baño de servicio. 3 habitaciones. Principal con baño incorporado 2 baños secundarios completos, todos remodelados. Cerca a la Av. San felipe. Altura de la universidad del Pacífico, upc. Hospital Rebagliati, Circulo Militar, Canal 2. Residencial San Felipe, Centro comercial Salaverry. Excelente ubicación. 1 cochera. Venta o alquiler. Citas al WhatsApp Ver datos|https://www.adondevivir.com/propiedades/clasificado/veclapin-amplio-dpto-remodelado-cerca-a-universidades-pacifico-142422347.html?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=9|2026-02-01
adondevivir|departamentos|venta|Lima Moderna|Jesus Maria|"Parque Pedro la Rosa 119
Jesús María, Lima"|S/ 650,000 · USD 193,452|650000|193452|||"102 m² tot.
3 dorm.
2 baños
1 estac."|102|3|2|1|Despierta cada día con una vista relajante, aire puro y la tranquilidad que solo un entorno rodeado de naturaleza puede ofrecer. Este departamento es más que un espacio. Es calidad de vida. * Características destacadas: -3 dormitorios ideales para toda la familia- 2 baños completos + 1 baño de visita -Sala y comedor amplios, con luz natural y ventilación- Moderna cocina de concepto abierto-Zona de lavandería independiente -Excelentes acabados en todo el departamento- Vista interna para mayor privacidad y silencio- 1 cochera incluida ¡Frente a parque! El plus perfecto para quienes buscan naturaleza, seguridad y bienestar Ubicado en una de las zonas más tranquilas y seguras de Jesús María. A pasos de colegios, universidades, centros comerciales y todo lo que necesitas. ¿Te imaginas viviendo aquí? Contáctame y agenda tu visita hoy mismo. ¡Haz que este sea tu próximo hogar! T. C. 3. 50Tipo de cambio referencial, sujeto a variación diaria por fluctuación del mercado|https://www.adondevivir.com/propiedades/clasificado/veclapin-vive-frente-a-un-parque-en-jesus-maria!-vista-147955737.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=10|2026-02-01
