fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"Depa 1er Piso, Urb. Santo Domingo Etapa 10, Carabayllo
Carabayllo, Lima"|S/ 248,000 · USD 69,000|248000|69000|||"92 m² tot.
2 dorm.
2 baños
1 estac."|92|2|2|1|Depa 1er piso C/ patioárea: 92. 5m2 ¡La cocina de tus sueños está aquí, y sí, viene con el depa incluido! Este edificio de estreno con concepto minimalista, cuenta con los depas más elegantes de Santo Domingo =D*Ubicado muy cerca del cruce de las Av. Trapiche y Av. U, accesible para encontrar buses de la línea El Rápido, Salamanca etc. *A tan sólo 5 min de la estación Chimpuocllo del Metropolitano*Edificio al lado de un lindo parque*Cerca a muy buenos colegios: Bertold Bretch, Innova School, entre otros. distribución: -Cocina super amplia: amoblada de piso a techo, con muebles de melamina antihumedad y encimeras con placas de cuarzo blanco, lavadero en acero inoxidable, estufa empotrada y campana extractora+ gas natural-Sala y comedor amplia con ventanas grandes, pisos en porcelanato gris claro- 2 dormitorios con closets(dormitorio principal con baño) -Lavandería con punto para terma-Patio/Jardín trasero-2 baños completos (ducha con puertas de vidrio templado) y grifería de la mejor calidadSobre el edificio: *Cada departamento tiene partida registral independizada en Sunarp*Urbanización con vigilancia las 24hrs*Construcción reforzada antisísmica (placas de concreto y fierro), cajas de luz independiente y pozo tierra *Escaleras anchas y descansadas*Edificio de 5 pisosPrecio: $69, 000 dólares (tc 3. 60) Cochera independiente en sótano-14m2: $11, 000*Bono mi vivienda*¡No dejes pasar esta oportunidad y agenda tu visita! Contacto: Daisy Díaz *927*682*707*|https://www.adondevivir.com/propiedades/clasificado/veclapin-los-depas-mas-exclusivos-en-santo-domingo-carabayllo-148026614.html?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=1&n_pos=1|2026-03-18
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"C. los Robles 663
Carabayllo, Lima"|S/ 224,400 · USD 66,000|224400|66000|||"120 m² tot.
2 dorm.
2 baños"|120|2|2||Ubicada en un Edificio de 5 pisos Bonita vista a parque En calle los Robles de la Urbanización Santa María en Carabayllo, a cuatro cuadras de la avenida Santa MariaUn lugar muy tranquilo para vivir con acceso de movilidad a todo destino a 8 minutos del Ovalo de Puente Piedra Plaza Vea, Tottus. Al rededor del departamento centro comercial, mercados, agentes, minimarkets, gimnasios, boticas, recreación para niños, loza deportiva, tiendas Mass, restaurantes, centros de belleza, colegios. Departamento con espacios muy bien distribuidoS con excelente iluminacion natural por sus amplias ventanasIngreso y salida independiente Área 123 m2 Escaleras amplias IndependizadoHabitaciones 3, una habitacion con baño incluidoCocina con reposteros bajosAmplia sala comedor Amplio hallPiso porcelanato Baños 2Área de lavandería Tanque de Agua Luz y agua independienteContactame y visita este lindo y acogedor departamentoR. U. C Ver datos|https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-de-departamento-en-estreno-santa-maria-147972720.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=2|2026-03-18
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"Urb. Santo Domimgo Etapa 10, Carabayllo a 5 min de la Estación del Metropolitano
Santo Domingo, Carabayllo"|S/ 248,400 · USD 69,000|248400|69000|||"89 m² tot.
3 dorm.
2 baños
1 estac."|89|3|2|1|¡¡los depas +top de carabayllo!! ¡La cocina de tus sueños está aquí, y sí, viene con el depa incluido! Este edificio de estreno con concepto minimalista, cuenta con los depas más elegantes de la Urb. Santo Domingo =D*Ubicado muy cerca del cruce de las Av. Trapiche y Av. U, accesible para encontrar buses de la línea El Rápido, Salamanca etc. *A tan sólo 5 min de la estación Chimpuocllo del Metropolitano*Edificio al lado de un lindo parque*Cerca a muy buenos colegios: Bertold Bretch, Innova School, entre otros. Área: 89. 5m2distribución: -Cocina super amplia: amoblada de piso a techo, con muebles de melamina antihumedad y encimeras con placas de cuarzo blanco, lavadero en acero inoxidable, estufa empotrada y campana extractora+ gas natural-Sala y comedor amplia con ventanas grandes, pisos en porcelanato gris claro- 3 dormitorios con closets(dormitorio principal con baño) -Lavandería con punto para terma-2 baños completos (ducha con puertas de vidrio templado) y grifería de la mejor calidadSobre el edificio: *Cada departamento tiene partida registral independizada en Sunarp*Urbanización con vigilancia las 24hrs*Construcción reforzada antisísmica (placas de concreto y fierro) *Escaleras anchas y descansadas*Edificio de 5 pisosPrecios: 2do piso = $69, 5003er piso = $69, 5004to piso = $69, 0005to piso =$69, 000Cochera en sótano= $11, 000(tc 3. 60) *Accede al Bono mi vivienda*¡No dejes pasar esta oportunidad y agenda tu visita! Contacto: Daisy Díaz *927*682*707*-|https://www.adondevivir.com/propiedades/clasificado/veclapin-los-departamentos-mas-top-de-carabayllo-a-5-min-de-la-148928665.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=3|2026-03-18
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"4x86+p58, Carabayllo 15318, Perú
Carabayllo, Lima"|Consultar precio|||||"120 m² tot.
3 dorm.
2 baños"|120|3|2||Vendo Departamento en Urb. Residencial Lucyana de Carabayllo frente a parque, de 103m2Edificio de 5 PisosUn Departamento x PisoDepartamento Ubicado en 4to Piso03 habitaciones, habitación principal con bañoUn baño de visitaCuarto de lavanderíaCocina americanaSalaComedorBalcónDepósito en el 6to pisoVista al parqueCuenta con Servicios de Luz y Gas calidda son IndependienteEl agua viene un solo recibo, cada piso tiene su medidor interno. Referencia: Cerca a la estación chimpu ocllo del Metropolitano, cerca colegios, mercados y establecimientos de salud. Entre avenidas Condorcanqui y Señor de Caudivilla. Limite con ComasPropiedad Inscrita en Registro Público lista para la Venta. Agenda tú visita YaR. U. C Ver datos|https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-de-departamento-4to-piso-103-m-sup2--en-la-148051352.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=4|2026-03-18
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"Condominio Real Torre A3 Piso 3
Santa Ines, Carabayllo"|S/ 112,000|112000||||"55 m² tot.
3 dorm.
1 baño"|55|3|||Departamento en Venta – Condominio Real, Carabayllo&amp;gt;&amp;gt;&amp;gt; Excelente ubicación en la misma Av. Juan de Dios y a solo 5 min del Óvalo de Puente Piedra. &amp;gt;&amp;gt;&amp;gt; Excelente precio a tan sólo 112, 000 solesDescubre este acogedor departamento de 55 m² ubicado en un tercer piso dentro del tranquilo y seguro Condominio Real en Carabayllo. **Cuenta con 2 habitaciones medianas, 1 estudio ideal para home office o cuarto adicional**Sala-comedor bien iluminada con vista al parque**Cocina independiente**1 Baño completo&amp;gt;&amp;gt;&amp;gt; El condominio ofrece vigilancia 24/7, amplias áreas verdes, lindos parques con juegos para niños y un ambiente familiar y muy tranquilo. ¡Perfecto para quienes buscan comodidad, seguridad y buena ubicación! No esperes más y ten tu propio espacio&amp;gt;&amp;gt;agenda tu cita con Daisy Díaz al 927//682//707//-|https://www.adondevivir.com/propiedades/clasificado/veclapin-depa-en-carabayllo-condominio-real-torre-a3-147968076.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=5|2026-03-18
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"santo domigo , carabayllo
Santo Domingo, Carabayllo"|S/ 161,250 · USD 43,000|161250|43000|||"64 m² tot.
2 dorm.
1 baño"|64|2|||Acogedor Departamento, en estreno, muy bien iluminado. Sala comedor amplio. 2 dormitorios ambos con vista ala calle. 1 baño. Cocina. Lavandería. a un paso de 2 parques. Zona muy tranquila, segura y vigilada.|https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-en-estreno-2-dorm.-carabayllo.-65151293.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=6|2026-03-18
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"Loma Bella Carabayllo
Carabayllo, Lima"|S/ 142,000 · USD 40,000|142000|40000|||"66 m² tot.
2 dorm.
1 baño"|66|2|||Contacto pedro naldos telefono 9. 9. 6. 5. 9. 7. 4. 4. 6. ¡Oportunidad única en Urb. Esmeralda, Carabayllo! ¿Buscas un departamento acogedor, bien ubicado y listo para mudarte? ¡Este es para ti! Departamento de 66 m² en excelente estado, con distribución funcional y muy buena iluminación natural. Ubicado en una zona tranquila y segura, cerca del Centro de Salud San Pedro, colegios, parques, restaurantes y hoteles. Todo lo que necesitas, ¡a solo unos pasos! Características destacadas: • Ubicación estratégica en Urb. Esmeralda – Carabayllo • Ambientes iluminados y ventilados • Sala comedor con vista a la calle • Cocina equipada con muebles altos y bajos • Área de lavandería independiente • 1 baño completo • 2 cómodos dormitorios El edificio es de solo 4 pisos, con tan solo 8 años de antigüedad, ideal para quienes buscan un entorno residencial tranquilo y moderno. Ideal para vivir o invertir, ya que la zona tiene alta demanda y crecimiento urbano. ¡No dejes pasar esta oportunidad! Coordina tu visita hoy mismo y enamórate de tu próximo hogar.|https://www.adondevivir.com/propiedades/clasificado/veclapin-urb.-esmeralda-carabayllo-venta-bonito-departamento-de-147791703.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=7|2026-03-18
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"4xm2+qf6, Carabayllo 15121
San Antonio, Carabayllo"|S/ 194,880 · USD 58,000|194880|58000|||"120 m² tot.
4 dorm.
3 baños
1 estac."|120|4|3|1|"Departamento con cochera de 120 m2 en venta ubicado en Urb. San Antonio de Carabayllo con cochera, y espacio exclusivo en terraza cada una independizada, más áreas comunes. 3 dormitorios | 2 baños | 1 Estudio | Sala comedor | Cocina cerrada + área de lavandería | Terraza privada | Piso 3 caracteristicas de la propiedad: - Área total: 120 m2 - Dormitorio principal con closet y baño privado. - 2 dormitorios secundarios - 1 sala de estudio (puede funcionar como 4ta habitación) - Sala comedor con vista externa y pequeño balcón - Una amplia cocina independiente con muebles altos y bajos (Horno, encimera y campana) y lavandería con terma. - Espacio para terraza exclusivo con su propio baño y ducha. Con áreas comunes para parrillas y lavandería. Caracteristicas del condominio: - Ubicado en el piso 3 - 6 años de antigüedad del edificio - Gas natural y Therma - Cuenta con 5 pisos en total + terraza caracteristicas de la zona: - Cerca a parques - Cerca a colegios como el Innova Schools - A 7 minutos de la panamericana norte y la Av. Tupac Amaru - A 5 minutos de restaurantes como polleria Norkys, entre otros. - A 5 minutos de Plaza Vea y maestro. *Estacionamiento por $ 7, 000* (Único del edificio) ¡Construyendo tus sueños! Evita el estrés, nosotros vendemos tu propiedad Encuéntranos por las redes sociales como &#39;&#39;grupo rentabilizarme&#39;&#39;"|https://www.adondevivir.com/propiedades/clasificado/veclapin-vendo-departamento-en-carabayllo-con-cochera-145329134.html?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=8|2026-03-18
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"Urb. Esmeralda 1 Etapa
Carabayllo, Lima"|S/ 187,000 · USD 55,000|187000|55000|||"109 m² tot.
3 dorm.
2 baños
1 estac."|109|3|2|1|Venta de departamento en urb. Esmeralda 1 etapa de estreno -carabayllovive con estilo, luz natural y ambiente tranquilodisponible- 1piso de 109M2 con cochera $55, 000- 5 piso aires con dos habitaciones A $35, 000 Características del departamento: * 3 habitaciones con excelente iluminación* Sala–comedor amplia y moderna* Cocina abierta estilo americano * 2 baños completo* Edificio es sin ascensor* De estreno: acabados premiumUn espacio pensado para quienes buscan comodidad y diseñokv-16A|https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-flat-148547381.html?n_src=Listado&n_pg=1&n_pos=9|2026-03-18
adondevivir|departamentos|venta|Lima Norte|Carabayllo|"Urb. Santo Domingo - Carabayllo
Santo Domingo, Carabayllo"|S/ 195,700 · USD 51,500|195700|51500|||"110 m² tot.
3 dorm.
2 baños"|110|3|2||Oportunidad única en Santo Domingo- Carabayllo Departamento en venta en segundo piso con vista externa- 3 habitaciones- 2 baños- Sala comedor amplia - Cocina estilo americana - Referencia a espalda de la Av. Condorcanqui Antiguedad: 9 añosPrecio: $52, 500Tu oportunidad de independizarte o invertir está aquí! kv-09|https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-departamento-en-2-piso-carabayllo-147016749.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=10|2026-03-18
