fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
adondevivir|departamentos|venta|Lima Top|Miraflores|"Av. del Ejercito 1194
Santa Cruz, Miraflores"|"Departamentos desde
S/ 387,569"|387569|||370|"174 un.
1 a 3 dorm.
44 a 120 m² tot."|44 a 120|1 a 3|||Grupo TyC presenta el proyecto Mandra, un proyecto ideado para que cada momento sea disfrutado al máximo, tanto en el mismo proyecto como en su hermoso entorno, espacios de alto estándar, tecnología de vanguardia y preocupación por el medio ambiente convierte hoy a Mandra en la alternativa más potente para vivir en Miraflores. En Mandra y sus atractivos espacios podrás tener vistas despejadas a la costa de Lima y a sus puestas de sol inolvidables. Cercano a diversos servicios como supermercados, bancos y comercios. Mandra cuenta con 16 pisos y áreas de 44 hasta 103 m2, cuyos espacios invitan al relajo y comodidad, para que puedas descubrir un estilo de vida hecho a tu medida. **|https://www.adondevivir.com/propiedades/proyecto/ememefin-mandra-en-entrega-inmediata!-142580280.html?n_src=Listado&n_pg=1&n_pos=1|2026-02-23
adondevivir|departamentos|venta|Lima Top|Miraflores|"Avenida Roca y Boloña 675
Aurora, Miraflores"|"Departamentos desde
S/ 725,400 · USD 201,500"|725400|201500||500|"16 un.
2 a 4 dorm.
100 a 278 m² tot."|100 a 278|2 a 4|||Boloña 675 está en Av. Roca y Boloña 675, La Aurora – Miraflores: un edificio de solo 7 pisos y 16 departamentos, todos con vista exterior. Flats y dúplex de 100 m² a 278 m², pensados para una vida luminosa, tranquila y práctica. Aquí el barrio hace el trabajo: parques (Ramón Castilla y alrededores), Wong La Aurora, colegios Markham, Pestalozzi y Carmelitas; y una conexión directa a ejes como República de Panamá, Tomás Marsano y Benavides. Y un plus real: certificación edge, con ahorro de al menos 20% en energía, agua y materiales. Café Agatha para empezar el día, Almacén de Pizzas para cerrar la semana: vivir en La Aurora es tener rituales cerca. Tdc, construimos tu lugar en el mundo.|https://www.adondevivir.com/propiedades/proyecto/ememefin-roca-y-bolona-675-146981456.html?n_src=Listado&n_pg=1&n_pos=2|2026-02-23
adondevivir|departamentos|venta|Lima Top|Miraflores|"Av. Benavides 541 esquina con Alcanfores 495
Leuro, Miraflores"|"Departamentos desde
S/ 432,425 · USD 120,118"|432425|120118||990|"71 un.
1 a 3 dorm.
51 a 214 m² tot."|51 a 214|1 a 3|||Green Living Miraflores es un exclusivo proyecto residencial ubicado en la cuadra 5 de la Av. Benavides, con calle Alcanfores a una cuadra de Av. Larco y a solo tres del Parque Kennedy, en el corazón de Miraflores. Su ubicación privilegiada te conecta con los principales hoteles, restaurantes, cafés y zonas comerciales más importantes de la ciudad, en un entorno seguro, moderno y lleno de vida. El proyecto nace de la reinvención de un edificio corporativo sólido, transformado íntegramente en un conjunto de departamentos modernos, confortables y eficientes. Gracias a una arquitectura inteligente y sostenible, Green Living logra ofrecer precios hasta 25% más accesibles que los proyectos tradicionales, sin comprometer calidad, diseño ni ubicación. Cada unidad cuenta con nuevas instalaciones, acabados contemporáneos y una distribución optimizada que aprovecha la luz natural y la ventilación. Green Living Miraflores representa una nueva forma de vivir en la ciudad: un espacio pensado para quienes valoran la practicidad, la sostenibilidad y la inversión inteligente. Departamentos de 1, 2 y 3 dormitorios, con vistas externas, al jardín y vista interior, te esperan para disfrutar la mejor experiencia de vida urbana en una de las zonas más exclusivas de Lima. El complejo de vivienda cuenta con 71 departamentos, que se elevan en una imponente torre en el centro de Miraflores desde el piso 4 hasta el piso 7. Los departamentos de 1 dormitorio van desde los 50 hasta los 57 m2. Los de 2 dormitorios van desde 63 hasta 84 m2; y los de tres dormitorios van desde los 88 hasta los 214 (duplex) m2. El edifico tendrá una certificación edge que garantiza eficiencia energética y la sostenibilidad del edificio. También se cuenta con estacionamientos desde us$ 14, 000 cada uno en el sótano 3 y depósitos en los pisos 4 y 5 desde us$ 3, 450. Sin duda este es una de las mejores opciones de inversión inmobiliaria del momento en la ciudad, con precios de lanzamiento por debajo del mercado, ideal para invertir o vivir en un lugar seguro, elegante y moderno. Formas de pago: 1) Financiamiento Directo y sin intereses hasta la entrega. 2) Credito Hipotecario con Desembolso a la entrega/independización, cuota inicial mínima 25% pagaderos en 3 partes. Para mayor información llamar al Ver datos, con Cesar Aguero. Fecha de entrega: 4T-2026|https://www.adondevivir.com/propiedades/proyecto/ememvein-green-living-miraflores:-desde-us$1-789-m-sup2-.-1-2-143027218.html?n_src=Listado&n_pg=1&n_pos=3|2026-02-23
adondevivir|departamentos|venta|Lima Top|Miraflores|"Mal. Cisneros 1220, Miraflores 15074
Miraflores, Lima"|"Departamentos desde
S/ 887,400 · USD 261,000"|887400|261000||550|"128 un.
1 a 3 dorm.
74 a 165 m² tot."|74 a 165|1 a 3|||The Wave: Elegancia frente al mar. The Wave es un proyecto residencial de lujo ubicado en el Malecón Cisneros, donde la arquitectura vanguardista y las vistas al océano se fusionan para crear un estilo de vida único. Con una fachada original y sofisticada, este edificio ofrece departamentos diseñados con acabados de alta gama y espacios que aprovechan la luz natural y la brisa marina. Cada detalle ha sido pensado para brindar confort y distinción. Vive la serenidad del mar y la modernidad de un diseño excepcional en The Wave, donde cada amanecer se convierte en un lujo cotidiano. The Wave: Tu horizonte de lujo|https://www.adondevivir.com/propiedades/proyecto/ememhvin-the-wave-147172152.html?n_src=Listado&n_pg=1&n_pos=4|2026-02-23
adondevivir|departamentos|venta|Lima Top|Miraflores|"Lord cochrane 366
Miraflores, Lima"|"Departamentos desde
S/ 717,500 · USD 205,000"|717500|205000||350|"32 un.
2 a 3 dorm.
80 a 189 m² tot."|80 a 189|2 a 3|||Lord Cochrane 366, en Miraflores, es un edificio de 9 pisos y 32 departamentos (flats y dúplex desde 80 m² hasta 230 m²), pensado para una vida cómoda y caminable: parques cerca y lugares del día a día como Pastelería San Antonio, Híbrido Coffee Bar, la pasarela gastronómica de Av. Dasso, Wong Óvalo Gutiérrez y Cineplanet Alcázar.|https://www.adondevivir.com/propiedades/proyecto/ememefin-lord-cochrane-366-145879448.html?n_src=Listado&n_pg=1&n_pos=5|2026-02-23
adondevivir|departamentos|venta|Lima Top|Miraflores|"Av Larco 1036 Miraflores
Miraflores, Lima"|"Departamentos desde
S/ 699,958 · USD 199,998"|699958|199998||350|"46 un.
1 a 2 dorm.
64 a 161 m² tot."|64 a 161|1 a 2|||Un lugar donde el pasado y el presente coexisten sin esfuerzo. En su diseño se han integrado los estilos Wabi Sabi y Japandi, que celebran lo que perdura, como parte esencial del diseño, aportando simplicidad, funcionalidad y una belleza que se manifiesta en los detalles y los materiales expuestos como: la honestidad de la piedra, la calidez de la madera y la generosidad de la luz. En Larco 1036, el nuevo proyecto de Libre + Hygge no hay exceso ni artificio, solo el diálogo constante entre lo artesanal, lo tradicional y lo moderno.|https://www.adondevivir.com/propiedades/proyecto/ememvein-larco-1036-atemporal-flats-miraflores-145353244.html?n_src=Listado&n_pg=1&n_pos=6|2026-02-23
adondevivir|departamentos|venta|Lima Top|Miraflores|"Calle Alcanfores 136
Miraflores, Lima"|"Departamentos desde
S/ 297,053"|297053|||716|"120 un.
1 dorm.
24 a 40 m² tot."|24 a 40|1|||Departamentos lofs + 1 dormitorio. Proyecto en Pre venta|https://www.adondevivir.com/propiedades/proyecto/ememvein-alcanfores-harmony-sold-out!-145861947.html?n_src=Listado&n_pg=1&n_pos=7|2026-02-23
adondevivir|departamentos|venta|Lima Top|Miraflores|"Av.Paseo de la Republica 6143
Miraflores, Lima"|"Departamentos desde
S/ 409,357"|409357|||750|"363 un.
1 a 3 dorm.
40 a 150 m² tot."|40 a 150|1 a 3|||Urban Heights es el nuevo proyecto de Edifica ubicado en Miraflores, con departamentos de 1 y 2 dormitorios desde 40m2, áreas comunes de primer nivel y una ubicación inigualable.|https://www.adondevivir.com/propiedades/proyecto/ememhvin-urban-heights-142538322.html?n_src=Listado&n_pg=1&n_pos=8|2026-02-23
adondevivir|departamentos|venta|Lima Top|Miraflores|"Avenida José Pardo 1010
Miraflores, Lima"|"Departamentos desde
S/ 470,775"|470775|||1,500|"130 un.
1 a 2 dorm.
50 a 66 m² tot."|50 a 66|1 a 2|||Un nuevo proyecto en el corazón de. Miraflores en dónde descubrirás una nueva manera de vivir con libertad.|https://www.adondevivir.com/propiedades/proyecto/ememefin-pardo-coast-67045376.html?n_src=Listado&n_pg=1&n_pos=9|2026-02-23
adondevivir|departamentos|venta|Lima Top|Miraflores|"Av Paseo de la República 6230
Miraflores, Lima"|"Departamentos desde
S/ 422,144"|422144|||1,400|"1 un.
1 a 2 dorm.
40 a 79 m² tot."|40 a 79|1 a 2|||Conectividad y diseño en un proyecto inspirador. Ubicado en una zona privilegiada de Miraflores, cerca de todo lo que te motiva. Affinity te ofrece confort y funcionalidad en un entorno que se identifica con tu estilo de vida|https://www.adondevivir.com/propiedades/proyecto/ememhvin-affinity-144867296.html?n_src=Listado&n_pg=1&n_pos=10|2026-02-23
adondevivir|departamentos|venta|Lima Top|Miraflores|"Av José Pardo 674
Miraflores, Lima"|S/ 662,670 · USD 199,000|662670|199000||380|"116 m² tot.
2 dorm.
3 baños
1 estac."|116|2|3|1|&quot;Vive la Vida con Estilo en Miraflores&quot; ¿Buscas un hogar de ensueño en uno de los distritos más exclusivos de Lima? ¡Tenemos el departamento perfecto para ti! Ubicado en el piso 4 de un edificio seguro y moderno, este departamento de 114m2 ofrece: - 2 dormitorios amplios y luminosos con espacios generosos - Cocina cerrada con reposteros altos y bajos - Sala comedor espaciosa con buena iluminación y ventilación - Área de lavandería con espacio para tendales más baño de servicio - 2 baños completos con acabados de primera - Área adicional para sala de estar o estudio, perfecta para relajarte o trabajar - Estacionamiento privado para tu vehículo Departamento Remodelado con Estilo y Comodidad - Acabados de alta calidad y diseño moderno - Iluminación y ventilación natural en todos los ambientes - Distribución funcional y espaciosa para una vida cómoda Seguridad y Comodidad - Vigilancia 24/7 para tu seguridad y tranquilidad - Ascensor para un acceso fácil y rápido Ubicación Privilegiada - Ubicado en el corazón de Miraflores, cerca de restaurantes, tiendas y servicios - Acceso fácil a transporte público y principales vías de la ciudad ¡No te pierdas esta oportunidad de vivir en uno de los departamentos más exclusivos de Miraflores! Mi nombre es Lucero Guerrero, contáctame hoy mismo para agendar una visita y hacer de este departamento tu nuevo hogar|https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-de-precioso-departamento-en-miraflores-con-2d-y-147855211.html?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=11|2026-02-23
