fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
urbania|departamentos|venta|Lima Moderna|Jesus Maria|"Av. San Felipe 1190
Salaverry Et.2, Jesús María"|S/ 481,000|481000||||"131 un.
1 a 3 dorm.
52 a 77 m² tot."|52 a 77|1 a 3|||La oportunidad de vivir a tu manera en San Felipe 1190. Proyecto con áreas comunes como piscina, zonas de parrilla, zona pet, sum de niños. Además está cerca a centros comerciales, universidades, restaurantes y conectado a avenidas principales.|https://urbania.pe/inmueble/proyecto/ememefin-proyecto-san-felipe-1190-jesus-maria-salaverry-et2-v-v-grupo-inmobiliario-65755974?n_src=Listado&n_pg=1&n_pos=1|2026-01-05
urbania|departamentos|venta|Lima Moderna|Jesus Maria|"Av. Salaverry 1082, Jesus Maria
Salaverry Et.2, Jesús María"|S/ 269,314|269314|||450|"84 un.
1 a 3 dorm.
38 a 73 m² tot."|38 a 73|1 a 3|||Proyecto ubicado en la mejor zona de Jesus Maria|https://urbania.pe/inmueble/proyecto/ememefin-proyecto-salaverry-1082-jesus-maria-salaverry-et2-sembra-inmobiliaria-145184760?n_src=Listado&n_pg=1&n_pos=2|2026-01-05
urbania|departamentos|venta|Lima Moderna|Jesus Maria|"Av. 28 de Julio 232
Jesús María, Lima"|S/ 228,279|228279|||250|"270 un.
1 a 3 dorm.
34 a 68 m² tot."|34 a 68|1 a 3|||Ubicado estratégicamente sobre una avenida y a solo dos cuadras del emblemático Campo de Marte, Torre Nápoles te ofrece la combinación perfecta de conectividad, naturaleza y vida urbana. Disfruta de un hogar rodeado de parques, colegios reconocidos y centros comerciales como La Rambla Brasil, todo a pocos minutos caminando. Además, este proyecto cuenta con certificación edge, garantizando eficiencia energética, ahorro de agua y un compromiso real con la sostenibilidad. Una propuesta pensada para quienes valoran la ubicación, el bienestar y la proyección de su inversión.|https://urbania.pe/inmueble/proyecto/ememefin-proyecto-torre-napoles-lima-jesus-maria-cygnus-grupo-inmobiliario-148541417?n_src=Listado&n_pg=1&n_pos=3|2026-01-05
urbania|departamentos|venta|Lima Moderna|Jesus Maria|"Jirón Inca Ripac 338
Jesús María, Lima"|S/ 337,304|337304||||"49 un.
1 a 3 dorm.
38 a 139 m² tot."|38 a 139|1 a 3|||¡Descubre Vernazza, tu próximo departamento en zona residencial! Proyecto en construcción de 10 pisos, ubicado en Jesús María, en el límite con San Isidro. Contarás con lobby y estacionamiento para bicicletas. Vernazza te ofrece la oportunidad de vivir rodeado de parques, universidades, colegios, centros comerciales y una amplia variedad de restaurantes, todo al alcance de tu nuevo hogar. Estarás a solo 5 cuadras del centro comercial Real Plaza Salaverry, y muy cerca de lugares como la residencial San Felipe, la Universidad del Pacífico y la upc. Contamos con departamentos flat y dúplex en preventa con excelentes acabados, desde 38. 50 m² hasta 167. 22 m², con opciones de 1, 2 y hasta 3 dormitorios. ¡No pierdas la oportunidad única de ser parte de este exclusivo proyecto! Visítanos en nuestra sala de ventas: Jr. Inca Rípac N. ° 338, Jesús María|https://urbania.pe/inmueble/proyecto/ememvein-proyecto-vernazza-lima-jesus-maria-toratto-grupo-inmobiliario-143364136?n_src=Listado&n_pg=1&n_pos=4|2026-01-05
urbania|departamentos|venta|Lima Moderna|Jesus Maria|"Jr. Coronel Zegarra 1045 - 1057
Jesús María, Lima"|S/ 519,006|519006|||180|"36 un.
2 dorm.
69 m² tot."|69|2|||¡Descubre monterosso! ¡Últimos departamentos disponibles! Departamentos en entrega inmediata con 9 pisos ubicada en una de las zonas más privilegiadas de Jesús María, a solo unos pasos de la Municipalidad de Jesús María y la Plaza San José, rodeado de todo lo que necesitas para una vida plena. A pocos minutos de centros comerciales, universidades, colegios y parques, todo al alcance de tu mano. El edificio cuenta con Lobby, un ascensor para tu comodidad, jardín botánico en último piso, zona de parrilla y la posibilidad de disfrutar de la comodidad del gas Cálida en tus espacios, además de acabados modernos. ¡Ahora puedes conocer nuestro departamento piloto! ¡Agenda tu cita hoy! Nuestra sala de ventas: Jr. Coronel Zegarra 1045 - 1057, Jesús María|https://urbania.pe/inmueble/proyecto/ememvein-proyecto-monterosso-lima-jesus-maria-toratto-grupo-inmobiliario-8002727?n_src=Listado&n_pg=1&n_pos=5|2026-01-05
urbania|departamentos|venta|Lima Moderna|Jesus Maria|"Av. Mello Franco 341
Jesús María, Lima"|S/ 360,666|360666||||"194 un.
2 a 3 dorm.
57 a 67 m² tot."|57 a 67|2 a 3|||Girasol, un proyecto multifamiliar ubicado en Av. Mello Franco 341, en el distrito de Jesús Maria. Su excelente ubicación, áreas sociales y distribución, lo convierte en el proyecto ideal si estás en busca de un inmueble para inversión. Sala lounge, coworking, zona de parrillas, gimnasio, terraza y una amplia piscina panorámica para que puedas disfrutar de cada espacio de tu nuevo departamento. Girasol, más que un proyecto, el inicio de tu nueva vida.|https://urbania.pe/inmueble/proyecto/ememvein-proyecto-girasol-lima-jesus-maria-abril-grupo-inmobiliario-142878930?n_src=Listado&n_pg=1&n_pos=6|2026-01-05
urbania|departamentos|venta|Lima Moderna|Jesus Maria|"JESUS MARIA
Jesús María, Lima"|S/ 771,000 · USD 230,200|771000|230200|||"82 m² tot.
2 dorm."|82|2|||Descubre este moderno apartamento en venta en Jesús María, Lima, ideal para quienes buscan confort y seguridad en una ubicación estratégica. Con un precio de U$D 230, 200, esta propiedad de 82 m² cuenta con una disposición pensada para el máximo aprovechamiento del espacio. Disfruta de dos acogedores dormitorios y dos baños, además de un balcón perfecto para relajarte al aire libre. La cocina amoblada con elegante encimera de cuarzo es un sueño para cualquier amante de la gastronomía. La tecnología se encuentra al alcance de tu mano con iluminación inteligente, cerradura smart y un sistema de videovigilancia avanzada que garantiza la seguridad de tu hogar. Ubicado cerca de colegios, restaurantes, clínicas y avenidas principales, este apartamento ofrece una vida práctica y dinámica. Si requieres cochera, existe la opción de adquirir una por U$D 19, 000. Adicionalmente, el edificio cuenta con gas natural, ascensor y un espacio de coworking, brindando opciones versátiles para trabajar desde casa. No pierdas la oportunidad de vivir en un entorno donde la modernidad y la comodidad se encuentran en perfecta armonía. Juliana montes 9 9 9 8 9 2 7 9 7. evelin acasuzo 9 2 0 1 0 5 2 8 2|https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-148208362?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=7|2026-01-05
urbania|departamentos|venta|Lima Moderna|Jesus Maria|"av. san felipe 1128
Jesús María, Lima"|S/ 645,000 · USD 190,000|645000|190000|||"80 m² tot.
2 dorm.
2 baños"|80|2|2||Vive la experiencia de un nuevo estilo de vida en un proyecto moderno y exclusivo, diseñado por la reconocida arquitecta Karim Chamán, quien pensó en cada detalle para brindar confort, funcionalidad y bienestar. Ubicación privilegiada: En el corazón de Jesús María, a pocos pasos de la Universidad del Pacífico, la Cámara de Comercio de Lima, centros comerciales, parques, restaurantes y cafeterías. área: 79. 55 m² Departamentos del 805, 905, 1005, 1105, 1205, 1305 y 1405 con excelente iluminación natural y vista agradable. distribucion: • Sala - Comedor. • Cocina abierta moderna equipada con muebles altos y bajos y tableros de cuarzo. • 3 puntos de gas natural. • Lavandería independiente. • 1 Dormitorio principal amplio y luminoso, con walk in closet y baño incorporado. • 1 Dormitorio secundario con closet. • 1 sala de estar o de estudio. • Ambientes funcionales y bien distribuidos. áreas comunes para disfrutar: • Lobby estilo hotelero de doble altura con elegante sala de espera. • Rooftop con piscina, zona de parrillas, salón de juegos y amplias áreas de recreación. Tu nuevo hogar te espera, listo para estrenar. ¡Contáctame y agenda tu visita hoy mismo.!|https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-148260853?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=8|2026-01-05
urbania|departamentos|venta|Lima Moderna|Jesus Maria|"MELLO FRANCO 630 JESUS MARIA
Jesús María, Lima"|S/ 489,000|489000||||"70 m² tot.
3 dorm.
2 baños"|70|3|2||Imagina despertar cada mañana en el piso 15, abrir el balcón y sentir la ciudad a tus pies. No es solo un departamento… es un estilo de vida. Ubicación estratégica y deseada: Zona residencial moderna, rodeada de todo lo que te conecta con la vida: centros comerciales, supermercados, colegios, parques, cafés y vías principales para moverte con facilidad. ¿Por qué este departamento es para ti? • 2 dormitorios con clóset + 1 oficina (ideal para home office o 3er dormitorio) • Balcón con vista panorámica que enamora día y noche. • Cocina cerrada equipada. • 2 baños completos. • Sala comedor con luz natural imposible de ignorar. • Lavandería con terma. Un edificio creado para disfrutar: • Piscina para relajarte cuando quieras. • Gimnasio equipado: tu rutina en casa. • Zona de parrillas + sala social para compartir momentos memorables. • Juegos infantiles. • Pet Friendly. • Seguridad 24/7 + Ascensor. Tu hogar en las alturas, donde la comodidad se encuentra con la inspiración. Ideal para quienes buscan vivir mejor, sin renunciar a nada. ¡Agenda tu visita ahora! Los lugares que generan emociones se venden rápido. No te quedes viéndolo solo en fotos… ven a vivirlo.|https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-3-dormitorios-148019676?n_src=Listado&n_pills=Parrilla&n_pg=1&n_pos=9|2026-01-05
urbania|departamentos|venta|Lima Moderna|Jesus Maria|"Huascar al 5500
Jesús María, Lima"|S/ 548,100 · USD 156,600|548100|156600|||"67 m² tot.
2 dorm.
2 baños"|67|2|2||&quot;Vive en Jesús María con Estilo y Confort&quot;¿Buscas tu nuevo hogar en una zona céntrica, segura y rodeada de todo lo que necesitas? Este departamento flat en Jesús María es tu oportunidad de vivir en una de las zonas más exclusivas y conectadas de Lima. *Ubicación PrivilegiadaA pasos de la Av. Salaverry, Av. San Felipe, tendrás acceso inmediato a: cc Real Plaza SalaverryUniversidades: Pacífico y upccolegios: Sophianum, Los Álamos y San Antonio de PaduaConexión rápida con todo Lima*Departamento 6to piso – 67m²Sala-comedor amplia y con vista externa, iluminada y ventilada naturalmente. 2 dormitorios: principal con baño privado y closet; secundarios con closets amplios. 1 estudio ideal para home office o habitación adicional. 2 baños completos modernos. Kitchenette equipado con mesón de granito, encimera, campana extractora y muebles de melamina de alta calidad. Lavandería con lavadero y espacio para lavadora o lava-seca. *Edificio ExclusivoSolo 28 departamentos (máxima privacidad, 2 vecinos por piso). 10 pisos con ascensor Schindler. Recepción con baño de visita. Sala de coworking ideal para el trabajo remoto. Escaleras de emergencia. *Precio venta: S/ 548, 100Entrega inmediataBanco Sponsor: ScotiabankNo dejes pasar esta excelente oportunidad de inversión o vivienda. ¡Agenda tu visita y descubre tu nuevo hogar hoy mismo! rp1-ma R. U. C Ver datos|https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-2-dormitorios-148420105?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=10|2026-01-05
