fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
urbania|departamentos|venta|Lima Sur|Chorrillos|"Icaro 164 Chorrillos
Chorrillos, Lima"|S/ 195,114|195114||||"310 un.
1 a 3 dorm.
40 a 117 m² tot."|40 a 117|1 a 3|||Bienvenido a Ícaro 164. Aquí, la confianza no es un extra, es el punto de partida. Aquí, cada espacio ha sido diseñado para que la vida fluya con naturalidad. Aquí, la calidad no es una etiqueta, sino la certeza de que todo está bien hecho. Este es un hogar para quienes creen que lo bueno debe estar al alcance de todos. Para quienes buscan y valoran la tranquilidad de haber tomado la mejor decisión. Nos preocupamos por cada detalle en el espacio, funcionalidad y diseño, porque tú y tu familia merecen más que un departamento. Merecen un hogar. 310 departamentos, flats, duplex, estacionamientos para autos y bicicletas. 01 local comercial. Lobby. Gym. Zona Pet. Zona de niños. Area de parrillas. Sala Lounge. Salon de Juegos. Jardin Contemplativo|https://urbania.pe/inmueble/proyecto/ememvein-proyecto-icaro-164-chorrillos-lima-chorrillos-libre-inmobiliaria-147636946?n_src=Listado&n_pg=1&n_pos=1|2025-12-08
urbania|departamentos|venta|Lima Sur|Chorrillos|"Olaya 535
Chorrillos, Lima"|S/ 248,336|248336|||200|"146 un.
1 a 3 dorm.
36 a 128 m² tot."|36 a 128|1 a 3|||Un proyecto cerca del malecón y las playas de la Costa Verde que ofrece encanto costero y conveniencia con mercados, colegios y centros comerciales cerca. Su accesibilidad a vías de transporte conecta la calma del océano con el dinamismo urbano en una ubicación que combina lo mejor de ambos mundos.|https://urbania.pe/inmueble/proyecto/ememhvin-proyecto-olaya-535-lima-chorrillos-frontera-inmobiliaria-143523715?n_src=Listado&n_pg=1&n_pos=2|2025-12-08
urbania|departamentos|venta|Lima Sur|Chorrillos|"Av. Chorrillos 360
Chorrillos, Lima"|S/ 194,000|194000||||"181 un.
1 a 3 dorm.
25 a 74 m² tot."|25 a 74|1 a 3|||Liv 360 es el nuevo proyecto inmobiliario en Chorrillos que te brinda la posibilidad de vivir una experiencia única con vista al mar. Con un moderno edificio de 21 pisos ubicado a pocos pasos del malecón, cada día estará rodeado de tranquilidad, frescura y una conexión especial con el océano. Un espacio diseñado para quienes desean relajarse, disfrutar de las vistas y dejar que el sonido del mar marque el ritmo de su vida.|https://urbania.pe/inmueble/proyecto/ememvein-proyecto-liv-360-lima-chorrillos-tale-inmobiliaria-148118850?n_src=Listado&n_pg=1&n_pos=3|2025-12-08
urbania|departamentos|venta|Lima Sur|Chorrillos|"Mal. Costa Sur 356
Chorrillos, Lima"|S/ 1,280,200 · USD 346,000|1280200|346000|||"129 m² tot.
3 dorm.
2 baños"|129|3|2||Vista maria es una residencial de 13 pisos, en la primera fila del malecon una zona muy exclusiva privada Y segura A pocas cuadras del parque municipal de barranco. modelo tipo X05-sala comedor-terraza-cocina tipo americana concepto abierto con acabados de primera-lavanderia-baño de visita-salita de staro -dos dormitorios cada uno con closet-1 baño completo-dormitorio principal con baño incorporado, closetareas sociales-lobby de ingreso-gimnasio equipado-sala de juegos para niños-sala bar-terraza comunentrega estimada segundo trimestre del 2024T. C. 3. 50Tipo de cambio referencial, sujeto a variación diaria por fluctuación del mercado|https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-3-dormitorios-145081276?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=4|2025-12-08
urbania|departamentos|venta|Lima Sur|Chorrillos|"Calle Los Meteoros La Campiña Chorrillos
La Campiña, Chorrillos"|S/ 408,000 · USD 118,000|408000|118000||250|"135 m² tot.
3 dorm.
2 baños
1 estac."|135|3|2|1|Departamento en Primer Piso con Patio Amplio y Cochera en La Campiña – Tu espacio ideal en ChorrillosContáctame: Ibis Ingaruca – 9. 9. 3. 5. 9. 6. 1. 4. 8Vive en un departamento luminoso, acogedor y funcional donde cada ambiente invita al confort y al bienestar. Aquí encontrarás la armonía perfecta entre amplitud, privacidad y una vida familiar tranquila. Disfruta el privilegio de tener un gran patio que transforma tu día a día en un espacio más libre, fresco y versátil. características: Área ocupada: 135. 5 m²Área techada: 76. 96 m²Área libre: 58. 54 m² (patio/terraza) Piso: pisoDormitorios: 3Baños: 2Cochera techada: 12. 60 m²Antigüedad: 15 añosPrecio: us$ 118, 000descripción: Al ingresar, una sala comedor amplia e iluminada te recibe con una sensación inmediata de hogar. La cocina cerrada, práctica y bien distribuida, cuenta con reposteros altos y bajos que facilitan tu día a día. Los tres dormitorios incluyen closet; el principal destaca por su baño incorporado que te brinda mayor comodidad. El patio/terraza es el protagonista: un ambiente perfecto para bbq, reuniones, jardín o un espacio seguro para tus mascotas. La lavandería y el tendal están ubicados de manera estratégica para mantener el orden y la funcionalidad del hogar. Ubicado en una de las zonas más tranquilas y accesibles de La Campiña, a una cuadra de la Av. El Sol y muy cerca de la Av. Guardia Civil. Vivirás conectado con supermercados, colegios, bancos, transporte público y centros comerciales como Plaza Vea y Real Plaza Guardia Civil. Un entorno seguro y práctico, ideal para familias que buscan comodidad sin perder cercanía con todo. Imagina cada mañana disfrutando de la luz natural, el aire fresco y un patio que te regala libertad. Este es el hogar que estabas esperando. Contáctame para más información y agenda tu visita hoy mismo.|https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-campina-chorrillos-3-dormitorios-147856754?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=5|2025-12-08
urbania|departamentos|venta|Lima Sur|Chorrillos|"malecon costasur
Chorrillos, Lima"|S/ 567,800 · USD 167,000|567800|167000|||"46 m² tot.
1 dorm.
1 baño
1 estac."|46|1||1|Frente al mar, este acogedor departamento ofrece un diseño funcional, ambientes iluminados y conexión directa con la naturaleza gracias a sus balcones con vista exterior. ⁂ Área total: 46 m² Distribución: • Cocina abierta. • Sala / comedor. • Balcón. • Closet de lavandería. • Dormitorio con balcón, closet y baño incorporado. ✓ oportunidad: usd 167, 000. ✓ Incluye 1 estacionamiento. Caza Inmobiliaria, tu propiedad en la mira.|https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-1-dormitorio-148325906?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=6|2025-12-08
urbania|departamentos|venta|Lima Sur|Chorrillos|"Dario Torres al 157
Costa Sur, Chorrillos"|S/ 800,000 · USD 234,000|800000|234000|||"128 m² tot.
3 dorm.
3 baños
2 estac."|128|3|3|2|"Vive en el único condominio privado de Chorrillos, Costa SurTen amplia terraza, ideal para hacer parrilla y descansarPara familias o inversionistas que valoran comodidad, ubicación y plusvalíaEdificio boutique con sólo 12 departamentos modernosA 1 cuadra del Malecón Costa Sur, Malecón Pedro de Osma y de Barranco128 m² | Terraza | 3 Dorms + Area de servicio completa | 3. 5 baños | 2 estacionamientos paralelos | Condominio Privadodistribución• Hall de ingreso• Sala y comedor c/ salida directa a la terraza• Terraza c/ espacio para parrilla y zona de descanso• Cocina independiente con doble ingreso, • Dorm principal c/ baño incorporado (cama king) • 2 Dorm sec: 1 cama queen + escritorio. • Lavandería independiente• Baño de visitas• Área de servicio completa: cama 1. 5 plz y baño. características• Excelente iluminación y ventilación natural en todos los ambientes• Pisos laminados en área social y dormitorios• Cocina con muebles altos y bajos• Edificio moderno y bien conservado• Solo 12 departamentos, lo que garantiza tranquilidad• Seguridad 24/7 y servicio de limpiezaedificio• Recepción y seguridad 24/7• Acceso con rampa para discapacitados • Pocas unidades, ideal para familiasubicación• A 5 minutos del Lima Marina Club y del Club Regatas• A 1 cuadra del malecón Costa Sur• A media cuadra de Barranco y cerca del malecón Pedro de Osma• Cercano a parques, avenidas principales y Costa Verde• Acceso rápido a principales colegio de Chorrillos• Zona residencial tranquila y altamente demandadaContáctame y agendemos tu visita."|https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-costa-sur-chorrillos-3-dormitorios-148178287?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=7|2025-12-08
urbania|departamentos|venta|Lima Sur|Chorrillos|"Vive a Pasos de Malecón Costa Sur - Cerca al mar
Costa Sur, Chorrillos"|S/ 515,900 · USD 154,000|515900|154000|||"88 m² tot.
2 dorm.
2 baños
1 estac."|88|2|2|1|Exclusivo condominio privado de solo 14 departamentos, ubicado a unos pasos de Malecón Costa Sur - Chorrillos - cerca a clínica Maison de Sante, límite con Barranco. Espacio que brinda la tranquilidad de la naturaleza del mar y la seguridad de una urbanización privada. departamento 2 dormitorios con sala de estar- Vista externa - ligera vista al mar- Piso 4- Incluye estacionamiento - No áreas comunes• Sala de estar • Dos baños completos• Cocina equipada y lavandería• Sala comedor• Balcón parrilleroDisfrutar poder contemplar la vista directa al Mar a unos pasos de tu departamento. **hoy Precio de Liquidación: $154, 000 con estacionamiento**! Contáctanos para más información o para coordinar una visita! **Entrega: Inmediata**financia: bbvatc: referencial 3, 35no áreas comunes|https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-costa-sur-chorrillos-2-dormitorios-148367261?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=8|2025-12-08
urbania|departamentos|venta|Lima Sur|Chorrillos|"Puerto Chicama, Chorrillos
Los Cedros De Villa, Chorrillos"|S/ 418,750 · USD 125,000|418750|125000||150|"210 m² tot.
8 dorm.
8 baños"|210|8|8||Departamento Dúplex con vista panorámica en Chorrillos – ideal para vivir o invertirDescubre este amplio y versátil dúplex ubicado en el quinto y último piso de un edificio en una zona tranquila de Chorrillos, con una hermosa vista panorámica hacia dos parques. Una propiedad perfecta para quienes buscan un hogar cómodo y espacioso, o una inversión rentable con ingresos inmediatos. Con una área total de 210. 50 m², este dúplex combina amplitud, independencia y una distribución inteligente que permite aprovechar cada espacio al máximo. Distribución del inmueble: - 5 habitaciones con baño completo. - 2 habitaciones con baño completo y sala privada, ideales para mayor comodidad. - 1 habitación con baño completo y cocina integrada, perfecta para uso independiente o alquiler. - 2 cocinas independientes totalmente funcionales. - Área de lavandería amplia y bien distribuida. - Terraza panorámica en el nivel superior, ideal para disfrutar reuniones, descanso o como zona común con una vista privilegiada hacia las áreas verdes. Características destacadas: - Excelente iluminación natural y ventilación en todos los ambientes. - Vista panorámica a dos parques. - Propiedad en el último nivel, brindando privacidad y tranquilidad. - Espacios amplios, bien conservados y funcionales. Ideal para familias grandes o inversionistas que buscan una propiedad con alta rentabilidad. Ventajas para inversionistas: - Distribución perfecta para alquiler por habitaciones o Airbnb. - Cuenta con inquilinos activos, lo que garantiza renta inmediata. - Ubicada en una zona residencial con alta demanda de alquiler. - Gran potencial de valorización gracias a su vista, amplitud y ubicación. Este dúplex ofrece lo mejor de ambos mundos: un hogar amplio y acogedor para vivir o una oportunidad sólida de inversión con retorno inmediato. Contáctame hoy mismo para agendar una visita y conocer de cerca esta excelente propiedad en Chorrillos - Claudia Villa / Asesora InmobiliariaConsultar con el Agente Inmobiliario encargado para mayor información Ver datos.|https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-los-cedros-de-villa-chorrillos-5-a-mas-dormitorios-148231312?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=9|2025-12-08
urbania|departamentos|venta|Lima Sur|Chorrillos|"AV FERNANDO TERAN XXX
Chorrillos, Lima"|S/ 539,000 · USD 155,000|539000|155000||750|"134 m² tot.
3 dorm.
2 baños
2 estac."|134|3|2|2|Excelente ubicación frente a parque, a media cuadra de la estación Terán del Metropolitano. Cerca de Tottus y Plaza Lima Sur. -Precio de venta: usd 154, 000 (precio negociable) - Área total: 134. 46 m² - Antigüedad: 14 años. - 2 cocheras. - Ubicado en 2. º piso (sin ascensor) Características del departamento: -3 dormitorios amplios. -2 baños completos (en el segundo nivel) -1 baño de visita. -Sala comedor amplia y bien iluminada. -Cocina cerrada y espaciosa. -Lavandería cerrada. -Terraza con vista a la calle. -Piso de porcelanato. -Vista directa a parque. Detalles adicionales: -Edificio de 5 pisos, 2 departamentos por piso. -Sin hipoteca. -Zona tranquila y segura, con excelente conectividad. Oportunidad ideal para familia o inversión. ¡Contáctanos para coordinar una visita!|https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-3-dormitorios-148100304?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=10|2025-12-08
