fuente|inmueble|operacion|zona|distrito|direccion|precio|soles|dolares|variacion|mantenimiento|caracteristica|area|dormitorio|baños|estacionamientos|detalle|enlace|fecha
urbania|departamentos|venta|Lima Top|Miraflores|"Av. del Ejercito 1194
Santa Cruz, Miraflores"|S/ 387,569|387569|||1,800|"174 un.
1 a 3 dorm.
44 a 120 m² tot."|44 a 120|1 a 3|||Grupo TyC presenta el proyecto Mandra, un proyecto ideado para que cada momento sea disfrutado al máximo, tanto en el mismo proyecto como en su hermoso entorno, espacios de alto estándar, tecnología de vanguardia y preocupación por el medio ambiente convierte hoy a Mandra en la alternativa más potente para vivir en Miraflores. En Mandra y sus atractivos espacios podrás tener vistas despejadas a la costa de Lima y a sus puestas de sol inolvidables. Cercano a diversos servicios como supermercados, bancos y comercios. Mandra cuenta con 16 pisos y áreas de 44 hasta 103 m2, cuyos espacios invitan al relajo y comodidad, para que puedas descubrir un estilo de vida hecho a tu medida. **|https://urbania.pe/inmueble/proyecto/ememefin-proyecto-mandra-en-entrega-inmediata-miraflores-santa-cruz-grupo-tyc-66592028?n_src=Listado&n_pg=1&n_pos=1|2026-01-03
urbania|departamentos|venta|Lima Top|Miraflores|"Av. Pardo 669, Miraflores
Miraflores, Lima"|S/ 410,000|410000|||700|"55 un.
1 a 2 dorm.
34 a 78 m² tot."|34 a 78|1 a 2|||VyV Grupo Inmobiliario les presenta el proyecto pardo 669, ubicado en el distrito de Miraflores. Está pensado y diseñado para quienes disfrutan de la comodidad y seguridad. El sueño de tener tu propio departamento en Miraflores a un precio accesible, ya es una realidad.|https://urbania.pe/inmueble/proyecto/ememefin-proyecto-pardo-669-lima-miraflores-v-v-grupo-inmobiliario-64372569?n_src=Listado&n_pg=1&n_pos=2|2026-01-03
urbania|departamentos|venta|Lima Top|Miraflores|"Av.Paseo de la Republica 6143
Miraflores, Lima"|S/ 409,357|409357|||650|"363 un.
1 a 3 dorm.
40 a 150 m² tot."|40 a 150|1 a 3|||Urban Heights es el nuevo proyecto de Edifica ubicado en Miraflores, con departamentos de 1 y 2 dormitorios desde 40m2, áreas comunes de primer nivel y una ubicación inigualable.|https://urbania.pe/inmueble/proyecto/ememhvin-proyecto-urban-heights-lima-miraflores-edifica-inmobiliaria-142073574?n_src=Listado&n_pg=1&n_pos=3|2026-01-03
urbania|departamentos|venta|Lima Top|Miraflores|"Av. Pardo 1453
Miraflores, Lima"|S/ 633,017|633017||||"151 un.
2 a 3 dorm.
60 a 112 m² tot."|60 a 112|2 a 3|||Un refugio donde la serenidad del malecón y las playas de la Costa Verde se fusiona con la energía de Miraflores. Descubre el arte de vivir en armonía en un lugar donde el estrés se disuelve, las ideas fluyen y la paz se encuentra en cada rincón.|https://urbania.pe/inmueble/proyecto/ememhvin-proyecto-pardo-1453-lima-miraflores-frontera-inmobiliaria-143536380?n_src=Listado&n_pg=1&n_pos=4|2026-01-03
urbania|departamentos|venta|Lima Top|Miraflores|"Avenida General Mendiburu 573
Santa Cruz, Miraflores"|S/ 699,000|699000||||"40 un.
2 a 3 dorm.
94 a 138 m² tot."|94 a 138|2 a 3|||Barrio verde: ¡El malecón de Miraflores a tu alcance! Edificio ubicado en la zona con mayor revalorización de Miraflores: el tradicional barrio de Santa Cruz, a 3 cuadras del Malecón de la Marina y a pasos del centro gastronómico, comercial y empresarial de la Av. La Mar. A continuación, mencionamos algunas ventajas de nuestro proyecto: equipamiento: - Entregamos la cocina equipada con horno, horno microondas, y campana extractora. - Entregamos encimera y calentador a gas natural. - Los dormitorios se entregan con closets con cajonera, maletera y colgador de ropa. - Grifería fv con garantía de Rivelsa en baños principales y secundarios. - El lobby y la sala de estudio se entregan equipadas con WiFi. - Ventanas con marco de aluminio permiten mayor confort térmico y acústico con menor ingreso de polvo. Ecologia Y ahorro: Nuestro edificio contará con conexión de gas natural (Calidda), además de paneles solares que alimentarán parcialmente de energía a las áreas comunes. Minihuerto con especies aromáticas en azotea, junto a la parrilla, además de contar con riego por goteo en todas las áreas verdes de espacios comunes. Todos los departamentos contarán con griferías ahorradoras, pasillos comunes con luminaria activados con sensores de movimiento. Así como ascensores de última generación (8 pasajeros cada uno) de bajo consumo de energía y estacionamientos para bicicletas de libre uso. Seguridad: Barrio Verde contará con 16 cámaras que serán monitoreadas de forma remota, así como un kit de alarmas interconectados desde el Lobby, desde donde el conserje podrá solicitar asistencia en caso de alerta policial, médica o de bomberos. Ubicacion Y entorno: Además de la ubicación privilegiada por su cercania al malecón y al mar, la zona cuenta con abundantes áreas verdes tanto en el malecón como en los parques cerrados ubicados a menos de tres cuadras (Gral Cordova). Facilidad de acceso a la ciclovia del malecón, una de las más seguras y agradables de Lima. Barrio Verde tiene rápida conexión a restaurantes, pastelerías y panaderías, bancos, colegios de prestigio, surtidos mercados de abastos, tiendas orgánicas, supermercados (Vivanda, Wong), entre otras muchas facilidades. Areas comunes: El edificio contará en la azotea con una terraza habilitada con una zona de parrilla en medio de un jardín paisajístico y minihuerto, y adicionalmente una zona gourmet. Mini gimnasio en el primer nivel y un extenso patio con jardín que conectarán la sala de lectura, sala de juego para niños y sala de estudio y coworking, este último se entregará equipada con una pc, WiFi, pizarra necesarios para que los propietarios puedan reunirse y realizar trabajos en grupo. Áreas Comunes. ________________________________________. • Minigimnasio. • Área de juegos para niños. • Areas verdes con riego por goteo. • Jardin de niños. • Jardin interior. • Lobby. • Sala de Internet. • Sala de usos Múltiples. • Techos Ecológicos. • Terraza. • Video vigilancia. • Zona de Lavandería. • Zona de Parrilla. • Otros|https://urbania.pe/inmueble/proyecto/ememvein-proyecto-barrio-verde-miraflores-santa-cruz-belgica-edificaciones-4258415?n_src=Listado&n_pg=1&n_pos=5|2026-01-03
urbania|departamentos|venta|Lima Top|Miraflores|"Av. Benavides 541 esquina con Alcanfores 495
Leuro, Miraflores"|S/ 432,425 · USD 120,118|432425|120118||600|"71 un.
1 a 3 dorm.
51 a 214 m² tot."|51 a 214|1 a 3|||Green Living Miraflores es un exclusivo proyecto residencial ubicado en la cuadra 5 de la Av. Benavides, con calle Alcanfores a una cuadra de Av. Larco y a solo tres del Parque Kennedy, en el corazón de Miraflores. Su ubicación privilegiada te conecta con los principales hoteles, restaurantes, cafés y zonas comerciales más importantes de la ciudad, en un entorno seguro, moderno y lleno de vida. El proyecto nace de la reinvención de un edificio corporativo sólido, transformado íntegramente en un conjunto de departamentos modernos, confortables y eficientes. Gracias a una arquitectura inteligente y sostenible, Green Living logra ofrecer precios hasta 25% más accesibles que los proyectos tradicionales, sin comprometer calidad, diseño ni ubicación. Cada unidad cuenta con nuevas instalaciones, acabados contemporáneos y una distribución optimizada que aprovecha la luz natural y la ventilación. Green Living Miraflores representa una nueva forma de vivir en la ciudad: un espacio pensado para quienes valoran la practicidad, la sostenibilidad y la inversión inteligente. Departamentos de 1, 2 y 3 dormitorios, con vistas externas, al jardín y vista interior, te esperan para disfrutar la mejor experiencia de vida urbana en una de las zonas más exclusivas de Lima. El complejo de vivienda cuenta con 71 departamentos, que se elevan en una imponente torre en el centro de Miraflores desde el piso 4 hasta el piso 7. Los departamentos de 1 dormitorio van desde los 50 hasta los 57 m2. Los de 2 dormitorios van desde 63 hasta 84 m2; y los de tres dormitorios van desde los 88 hasta los 214 (duplex) m2. El edifico tendrá una certificación edge que garantiza eficiencia energética y la sostenibilidad del edificio. También se cuenta con estacionamientos desde us$ 14, 000 cada uno en el sótano 3 y depósitos en los pisos 4 y 5 desde us$ 3, 450. Sin duda este es una de las mejores opciones de inversión inmobiliaria del momento en la ciudad, con precios de lanzamiento por debajo del mercado, ideal para invertir o vivir en un lugar seguro, elegante y moderno. Formas de pago: 1) Financiamiento Directo y sin intereses hasta la entrega. 2) Credito Hipotecario con Desembolso a la entrega/independización, cuota inicial mínima 25% pagaderos en 3 partes. Para mayor información llamar al Ver datos, con Cesar Aguero. Fecha de entrega: 4T-2026|https://urbania.pe/inmueble/proyecto/ememvein-proyecto-green-living-miraflores:-desde-us$1-789-m-sup2--1-2-y-3-dorm-miraflores-leuro-agility-capital-peru-sa-60363750?n_src=Listado&n_pg=1&n_pos=6|2026-01-03
urbania|departamentos|venta|Lima Top|Miraflores|"Alfredo Leon 130
Miraflores, Lima"|S/ 790,000 · USD 219,500|790000|219500||500|"20 un.
2 dorm.
101 m² tot."|101|2|||"Ultimos 3 departamentos de 101m2! Nuestro proyecto ""León"" está ubicado a poca distancia del segundo óvalo de Pardo y cerca al Malecón Cisneros. Consta de 20 departamentos distribuidos en 11 pisos. 2 flats con terrazas en segundo piso. 16 flats desde el piso 3 al piso 10. 2 dúplex en el piso 11 y 12. Todos con vista exterior. Ascensor directo. 24 estacionamientos en sótanos. Financia Banco de Crédito del Perú (bcp). Con los precios más bajos de la zona y manteniendo la calidad de siempre!"|https://urbania.pe/inmueble/proyecto/ememefin-proyecto-leon-en-miraflores-ultimos-departamentos-lima-miraflores-morgenstern-inmobiliaria-144476636?n_src=Listado&n_pg=1&n_pos=7|2026-01-03
urbania|departamentos|venta|Lima Top|Miraflores|"Av Benavides 474
Miraflores, Lima"|S/ 596,572|596572|||750|"329 un.
2 a 3 dorm.
60 a 75 m² tot."|60 a 75|2 a 3|||En Legacy, la conectividad y el diseño se unen para ofrecerte un estilo de vida moderno y lleno de energía. Ubicado en el corazón de Miraflores, nace un proyecto pensado para quienes buscan espacios funcionales con estilo y proyección en cada detalle.|https://urbania.pe/inmueble/proyecto/ememhvin-proyecto-legacy-lima-miraflores-edifica-inmobiliaria-148367270?n_src=Listado&n_pg=1&n_pos=8|2026-01-03
urbania|departamentos|venta|Lima Top|Miraflores|"Av Paseo de la República 6230
Miraflores, Lima"|S/ 422,144|422144||||"1 un.
1 a 2 dorm.
40 a 79 m² tot."|40 a 79|1 a 2|||Conectividad y diseño en un proyecto inspirador. Ubicado en una zona privilegiada de Miraflores, cerca de todo lo que te motiva. Affinity te ofrece confort y funcionalidad en un entorno que se identifica con tu estilo de vida|https://urbania.pe/inmueble/proyecto/ememhvin-proyecto-affinity-lima-miraflores-edifica-inmobiliaria-144854039?n_src=Listado&n_pg=1&n_pos=9|2026-01-03
urbania|departamentos|venta|Lima Top|Miraflores|"Mal. Cisneros 1220, Miraflores 15074
Miraflores, Lima"|S/ 1,130,500 · USD 323,000|1130500|323000||500|"128 un.
1 a 3 dorm.
74 a 165 m² tot."|74 a 165|1 a 3|||The Wave: Elegancia frente al mar. The Wave es un proyecto residencial de lujo ubicado en el Malecón Cisneros, donde la arquitectura vanguardista y las vistas al océano se fusionan para crear un estilo de vida único. Con una fachada original y sofisticada, este edificio ofrece departamentos diseñados con acabados de alta gama y espacios que aprovechan la luz natural y la brisa marina. Cada detalle ha sido pensado para brindar confort y distinción. Vive la serenidad del mar y la modernidad de un diseño excepcional en The Wave, donde cada amanecer se convierte en un lujo cotidiano. The Wave: Tu horizonte de lujo|https://urbania.pe/inmueble/proyecto/ememhvin-proyecto-the-wave-lima-miraflores-tale-inmobiliaria-147162401?n_src=Listado&n_pg=1&n_pos=10|2026-01-03
